time	V(vds)	V(n001)
0.000000000000000e+000	9.623473e-002	5.000000e+000
1.000099999993662e-008	9.623473e-002	5.000000e+000
1.000129999997879e-008	9.151205e-002	3.500000e+000
1.000169999989045e-008	8.513531e-002	1.500000e+000
1.000199999993262e-008	8.079863e-002	0.000000e+000
1.000207999995832e-008	8.025774e-002	0.000000e+000
1.000363922867792e-008	7.968841e-002	0.000000e+000
1.000519845739752e-008	7.924445e-002	0.000000e+000
1.000675768611712e-008	7.892587e-002	0.000000e+000
1.000831691483673e-008	7.873267e-002	0.000000e+000
1.000987614355633e-008	7.866484e-002	0.000000e+000
1.001143537227593e-008	7.872238e-002	0.000000e+000
1.001299460099553e-008	7.890530e-002	0.000000e+000
1.003818723791060e-008	8.042485e-002	0.000000e+000
1.006337987482568e-008	8.207471e-002	0.000000e+000
1.008857251174076e-008	8.385487e-002	0.000000e+000
1.011376514865583e-008	8.576533e-002	0.000000e+000
1.013895778557091e-008	8.780610e-002	0.000000e+000
1.016415042248598e-008	8.997717e-002	0.000000e+000
1.018934305940106e-008	9.227855e-002	0.000000e+000
1.023934305941811e-008	9.793736e-002	0.000000e+000
1.028934305943516e-008	1.055902e-001	0.000000e+000
1.033934305945221e-008	1.169461e-001	0.000000e+000
1.038934305946926e-008	1.353184e-001	0.000000e+000
1.043329607365758e-008	1.631008e-001	0.000000e+000
1.047103186991617e-008	2.058135e-001	0.000000e+000
1.051253280108001e-008	2.829727e-001	0.000000e+000
1.055280596001969e-008	3.891018e-001	0.000000e+000
1.060280596003674e-008	5.486180e-001	0.000000e+000
1.065280596005379e-008	7.206740e-001	0.000000e+000
1.070280596007084e-008	8.974314e-001	0.000000e+000
1.075280596008789e-008	1.075906e+000	0.000000e+000
1.080280596010494e-008	1.255378e+000	0.000000e+000
1.085280596012199e-008	1.435626e+000	0.000000e+000
1.090280596013904e-008	1.616540e+000	0.000000e+000
1.095280596015609e-008	1.798046e+000	0.000000e+000
1.100280596017314e-008	1.980087e+000	0.000000e+000
1.105280596019019e-008	2.162615e+000	0.000000e+000
1.110280596020724e-008	2.345593e+000	0.000000e+000
1.115280596022429e-008	2.528991e+000	0.000000e+000
1.120280596024134e-008	2.712780e+000	0.000000e+000
1.125280596025839e-008	2.896941e+000	0.000000e+000
1.130280596027544e-008	3.081452e+000	0.000000e+000
1.135280596029249e-008	3.266294e+000	0.000000e+000
1.140280596030954e-008	3.451449e+000	0.000000e+000
1.145280596032659e-008	3.636895e+000	0.000000e+000
1.150280596034364e-008	3.822612e+000	0.000000e+000
1.155280596036069e-008	4.008579e+000	0.000000e+000
1.160280596037774e-008	4.194775e+000	0.000000e+000
1.165280596039479e-008	4.381176e+000	0.000000e+000
1.170280596041184e-008	4.567765e+000	0.000000e+000
1.175280596042889e-008	4.754520e+000	0.000000e+000
1.180280596044595e-008	4.941423e+000	0.000000e+000
1.185280596046300e-008	5.128459e+000	0.000000e+000
1.190280596048005e-008	5.315611e+000	0.000000e+000
1.200280596051415e-008	5.690217e+000	0.000000e+000
1.210280596054825e-008	6.065150e+000	0.000000e+000
1.220280596058235e-008	6.440360e+000	0.000000e+000
1.235280596063350e-008	7.003587e+000	0.000000e+000
1.247423453210348e-008	7.459845e+000	0.000000e+000
1.259566310357346e-008	7.916232e+000	0.000000e+000
1.271709167504344e-008	8.372747e+000	0.000000e+000
1.283852024651342e-008	8.829391e+000	0.000000e+000
1.295994881798340e-008	9.286163e+000	0.000000e+000
1.308137738945337e-008	9.743064e+000	0.000000e+000
1.320280596092335e-008	1.020009e+001	0.000000e+000
1.403137738977733e-008	1.333261e+001	0.000000e+000
1.485994881863131e-008	1.644921e+001	0.000000e+000
1.568852024748528e-008	1.954988e+001	0.000000e+000
1.651709167633926e-008	2.263464e+001	0.000000e+000
1.734566310519324e-008	2.570348e+001	0.000000e+000
1.817423453404721e-008	2.875640e+001	0.000000e+000
1.900280596290119e-008	3.179339e+001	0.000000e+000
1.936709167731113e-008	3.310169e+001	0.000000e+000
1.973137739172107e-008	3.442071e+001	0.000000e+000
2.009566310613100e-008	3.575045e+001	0.000000e+000
2.045994882054094e-008	3.709091e+001	0.000000e+000
2.082423453495088e-008	3.844209e+001	0.000000e+000
2.118852024936081e-008	3.980399e+001	0.000000e+000
2.155280596377075e-008	4.117661e+001	0.000000e+000
2.170280596382190e-008	4.175868e+001	0.000000e+000
2.185280596387305e-008	4.236097e+001	0.000000e+000
2.200280596392421e-008	4.298349e+001	0.000000e+000
2.215280596397536e-008	4.362622e+001	0.000000e+000
2.230280596402651e-008	4.428917e+001	0.000000e+000
2.245280596407766e-008	4.497235e+001	0.000000e+000
2.260280596412881e-008	4.567575e+001	0.000000e+000
2.275994882132525e-008	4.645925e+001	0.000000e+000
2.291709167852170e-008	4.728624e+001	0.000000e+000
2.307423453571814e-008	4.815670e+001	0.000000e+000
2.323137739291459e-008	4.907064e+001	0.000000e+000
2.338852025011103e-008	5.002806e+001	0.000000e+000
2.354566310730747e-008	5.102895e+001	0.000000e+000
2.370280596450392e-008	5.207333e+001	0.000000e+000
2.383852025026448e-008	5.300321e+001	0.000000e+000
2.397423453602505e-008	5.394120e+001	0.000000e+000
2.410994882178561e-008	5.488730e+001	0.000000e+000
2.424566310754618e-008	5.584152e+001	0.000000e+000
2.438137739330674e-008	5.680385e+001	0.000000e+000
2.451709167906731e-008	5.777429e+001	0.000000e+000
2.465280596482787e-008	5.875285e+001	0.000000e+000
2.489566310776783e-008	6.049463e+001	0.000000e+000
2.513852025070779e-008	6.222353e+001	0.000000e+000
2.538137739364775e-008	6.393953e+001	0.000000e+000
2.562423453658771e-008	6.564265e+001	0.000000e+000
2.586709167952766e-008	6.733287e+001	0.000000e+000
2.610994882246762e-008	6.901020e+001	0.000000e+000
2.635280596540758e-008	7.067464e+001	0.000000e+000
2.701709167991982e-008	7.515227e+001	0.000000e+000
2.768137739443206e-008	7.947570e+001	0.000000e+000
2.834566310894430e-008	8.364493e+001	0.000000e+000
2.900994882345654e-008	8.765997e+001	0.000000e+000
2.967423453796878e-008	9.152080e+001	0.000000e+000
3.033852025248102e-008	9.522745e+001	0.000000e+000
3.100280596699326e-008	9.877989e+001	0.000000e+000
3.163852025292433e-008	1.020122e+002	0.000000e+000
