time	V(vds)	V(n004)
0.000000000000000e+000	2.545617e-002	5.000000e+000
2.800010999969016e-008	2.545617e-002	5.000000e+000
3.000011000037217e-008	4.922671e-003	5.000000e+000
3.000012100025373e-008	-1.561083e-002	4.500005e+000
3.000014300001686e-008	-9.774361e-002	3.500016e+000
3.000015974877202e-008	-1.602711e-001	2.738709e+000
3.000017641079100e-008	-2.224726e-001	1.981345e+000
3.000020973309425e-008	-3.468673e-001	4.666944e-001
3.000021999918778e-008	-3.851927e-001	0.000000e+000
3.000022666399538e-008	-3.851886e-001	0.000000e+000
3.000023999361057e-008	-3.851802e-001	0.000000e+000
3.000026665110622e-008	-3.851635e-001	0.000000e+000
3.000031996609753e-008	-3.851298e-001	0.000000e+000
3.000042659781488e-008	-3.850618e-001	0.000000e+000
3.000063986124957e-008	-3.849240e-001	0.000000e+000
3.000106638638422e-008	-3.846432e-001	0.000000e+000
3.000191943838826e-008	-3.840682e-001	0.000000e+000
3.000362554066161e-008	-3.828883e-001	0.000000e+000
3.000703774520830e-008	-3.805448e-001	0.000000e+000
3.001208576276782e-008	-3.772181e-001	0.000000e+000
3.001745545357093e-008	-3.736977e-001	0.000000e+000
3.002362400361669e-008	-3.695874e-001	0.000000e+000
3.003143563863608e-008	-3.645371e-001	0.000000e+000
3.004082161153776e-008	-3.587451e-001	0.000000e+000
3.005959355734111e-008	-3.473505e-001	0.000000e+000
3.008003363058620e-008	-3.349853e-001	0.000000e+000
3.011350913247057e-008	-3.149061e-001	0.000000e+000
3.017746639556729e-008	-2.773945e-001	0.000000e+000
3.030538092349544e-008	-2.062231e-001	0.000000e+000
3.050210300829803e-008	-1.059950e-001	0.000000e+000
3.066046724148341e-008	-3.450509e-002	0.000000e+000
3.076994222958596e-008	8.709993e-003	0.000000e+000
3.084966919246479e-008	3.701847e-002	0.000000e+000
3.090977172479081e-008	5.720016e-002	0.000000e+000
3.095669694197500e-008	7.305927e-002	0.000000e+000
3.099503537336290e-008	8.717676e-002	0.000000e+000
3.102889307125822e-008	1.021556e-001	0.000000e+000
3.106437342081936e-008	1.223054e-001	0.000000e+000
3.110178491139148e-008	1.491532e-001	0.000000e+000
3.114959791841732e-008	1.887917e-001	0.000000e+000
3.120374509474333e-008	2.360845e-001	0.000000e+000
3.126372409047173e-008	2.886544e-001	0.000000e+000
3.137925921360696e-008	3.888387e-001	0.000000e+000
3.146770380900443e-008	4.648546e-001	0.000000e+000
3.153491889840154e-008	5.223945e-001	0.000000e+000
3.159996464496828e-008	5.778719e-001	0.000000e+000
3.166917137385761e-008	6.360114e-001	0.000000e+000
3.174116936129068e-008	6.948345e-001	0.000000e+000
3.188577331336706e-008	8.078481e-001	0.000000e+000
3.198273932324136e-008	8.816506e-001	0.000000e+000
3.207722231758636e-008	9.537146e-001	0.000000e+000
3.218685532858923e-008	1.039040e+000	0.000000e+000
3.230012894650525e-008	1.130753e+000	0.000000e+000
3.243114851843310e-008	1.242486e+000	0.000000e+000
3.254784262940458e-008	1.347517e+000	0.000000e+000
3.263813435315510e-008	1.432836e+000	0.000000e+000
3.271378343563947e-008	1.507173e+000	0.000000e+000
3.280508192177178e-008	1.599498e+000	0.000000e+000
3.290329607039122e-008	1.700758e+000	0.000000e+000
3.311775842625153e-008	1.925004e+000	0.000000e+000
3.326174314102759e-008	2.075824e+000	0.000000e+000
3.343893834224787e-008	2.260493e+000	0.000000e+000
3.361968739339083e-008	2.447118e+000	0.000000e+000
3.386377807335084e-008	2.696005e+000	0.000000e+000
3.413551210446064e-008	2.969362e+000	0.000000e+000
3.437675657677608e-008	3.209067e+000	0.000000e+000
3.454234885451324e-008	3.372039e+000	0.000000e+000
3.467443008241256e-008	3.501189e+000	0.000000e+000
3.479898358360600e-008	3.622489e+000	0.000000e+000
3.492324450286855e-008	3.743211e+000	0.000000e+000
3.508498197350718e-008	3.900209e+000	0.000000e+000
3.524498773041507e-008	4.055665e+000	0.000000e+000
3.539065997724966e-008	4.197554e+000	0.000000e+000
3.554019365956118e-008	4.343719e+000	0.000000e+000
3.566641427511785e-008	4.467554e+000	0.000000e+000
3.577008721687702e-008	4.569620e+000	0.000000e+000
3.587370621914443e-008	4.671925e+000	0.000000e+000
3.596348099703384e-008	4.760768e+000	0.000000e+000
3.605322204495998e-008	4.849751e+000	0.000000e+000
3.614283540509522e-008	4.938747e+000	0.000000e+000
