time	V(vds)	V(vpulse)
0.000000000000000e+000	7.938270e-002	6.000000e+000
9.401000001033055e-009	7.938270e-002	6.000000e+000
1.000100000037030e-008	7.844406e-002	6.000000e+000
1.000110000023979e-008	7.750215e-002	5.400001e+000
1.000200000079998e-008	6.028079e-002	0.000000e+000
1.000321842026253e-008	5.974522e-002	0.000000e+000
1.000443683972507e-008	5.932337e-002	0.000000e+000
1.000565525918762e-008	5.901525e-002	0.000000e+000
1.000687367865016e-008	5.882084e-002	0.000000e+000
1.000809209811271e-008	5.874016e-002	0.000000e+000
1.000931051757525e-008	5.877320e-002	0.000000e+000
1.001052893703780e-008	5.891996e-002	0.000000e+000
1.003526036599613e-008	6.024652e-002	0.000000e+000
1.005999179495446e-008	6.161364e-002	0.000000e+000
1.008472322391279e-008	6.302133e-002	0.000000e+000
1.010945465287112e-008	6.446958e-002	0.000000e+000
1.013418608182945e-008	6.595840e-002	0.000000e+000
1.015891751078777e-008	6.748779e-002	0.000000e+000
1.018364893974610e-008	6.905773e-002	0.000000e+000
1.026476139850963e-008	7.507437e-002	0.000000e+000
1.034339175420840e-008	8.298101e-002	0.000000e+000
1.040915578558177e-008	9.301297e-002	0.000000e+000
1.046287002176571e-008	1.063627e-001	0.000000e+000
1.050606613164917e-008	1.245375e-001	0.000000e+000
1.054326658443683e-008	1.516323e-001	0.000000e+000
1.057973390491962e-008	1.964710e-001	0.000000e+000
1.061861243031870e-008	2.698620e-001	0.000000e+000
1.066929784625248e-008	3.951799e-001	0.000000e+000
1.072623694552133e-008	5.550345e-001	0.000000e+000
1.078630742189224e-008	7.321087e-001	0.000000e+000
1.088437007884524e-008	1.026840e+000	0.000000e+000
1.108049539275124e-008	1.623940e+000	0.000000e+000
1.128330028715707e-008	2.248595e+000	0.000000e+000
1.150267512316228e-008	2.931462e+000	0.000000e+000
1.172613186412042e-008	3.632535e+000	0.000000e+000
1.189516702151949e-008	4.165778e+000	0.000000e+000
1.205297729678367e-008	4.665343e+000	0.000000e+000
1.223161552946217e-008	5.232041e+000	0.000000e+000
1.242636257781093e-008	5.850877e+000	0.000000e+000
1.267997631199114e-008	6.658026e+000	0.000000e+000
1.298066653991625e-008	7.616580e+000	0.000000e+000
1.394153672541754e-008	1.069000e+001	0.000000e+000
1.479867958161360e-008	1.344568e+001	0.000000e+000
1.565582243780966e-008	1.620934e+001	0.000000e+000
1.651296529400571e-008	1.898096e+001	0.000000e+000
1.737010815020178e-008	2.176055e+001	0.000000e+000
1.822725100639784e-008	2.454811e+001	0.000000e+000
1.908439386259390e-008	2.734364e+001	0.000000e+000
1.994153671878995e-008	3.014714e+001	0.000000e+000
2.054153671812720e-008	3.211572e+001	0.000000e+000
2.114153671746444e-008	3.409510e+001	0.000000e+000
2.174153671680168e-008	3.609470e+001	0.000000e+000
2.234153671613892e-008	3.813326e+001	0.000000e+000
2.294153671547616e-008	4.024781e+001	0.000000e+000
2.354153671481341e-008	4.251155e+001	0.000000e+000
2.414153671415065e-008	4.499670e+001	0.000000e+000
2.486788748708169e-008	4.867395e+001	0.000000e+000
2.509346144242974e-008	4.999755e+001	0.000000e+000
2.556504780266977e-008	5.309485e+001	0.000000e+000
2.583920037657617e-008	5.502148e+001	0.000000e+000
2.618315718579123e-008	5.751410e+001	0.000000e+000
2.662119893449833e-008	6.074893e+001	0.000000e+000
2.716517221931780e-008	6.480770e+001	0.000000e+000
2.876507609189671e-008	7.685185e+001	0.000000e+000
2.984486200882652e-008	8.506263e+001	0.000000e+000
3.104486200750101e-008	9.430450e+001	0.000000e+000
3.224486200617549e-008	1.037362e+002	0.000000e+000
3.284486200551273e-008	1.085534e+002	0.000000e+000
3.344486200484997e-008	1.134594e+002	0.000000e+000
3.404486200418722e-008	1.184743e+002	0.000000e+000
3.464486200352446e-008	1.236227e+002	0.000000e+000
3.524486200286170e-008	1.289341e+002	0.000000e+000
3.584486200219894e-008	1.344438e+002	0.000000e+000
3.644486200153618e-008	1.401942e+002	0.000000e+000
3.704486200087342e-008	1.462346e+002	0.000000e+000
3.764486200021067e-008	1.526213e+002	0.000000e+000
3.824486199954791e-008	1.594154e+002	0.000000e+000
3.884486199888515e-008	1.666780e+002	0.000000e+000
4.004486199755963e-008	1.827998e+002	0.000000e+000
4.124486199623412e-008	2.011021e+002	0.000000e+000
4.184486199557136e-008	2.109527e+002	0.000000e+000
4.244486199490860e-008	2.211450e+002	0.000000e+000
4.304486199424584e-008	2.315730e+002	0.000000e+000
4.364486199358308e-008	2.421389e+002	0.000000e+000
4.482715773752866e-008	2.630679e+002	0.000000e+000
4.647937373175592e-008	2.919569e+002	0.000000e+000
4.867245109358075e-008	3.294251e+002	0.000000e+000
5.086552845540557e-008	3.641699e+002	0.000000e+000
5.305860581723039e-008	3.961913e+002	0.000000e+000
5.525168317905521e-008	4.254894e+002	0.000000e+000
5.744476054088003e-008	4.520641e+002	0.000000e+000
5.963783790270485e-008	4.759154e+002	0.000000e+000
6.183091526452966e-008	4.970433e+002	0.000000e+000
6.311662954882375e-008	5.076402e+002	0.000000e+000
6.440234383311785e-008	5.170210e+002	0.000000e+000
6.568805811741193e-008	5.251857e+002	0.000000e+000
6.697377240170602e-008	5.321343e+002	0.000000e+000
6.825948668600012e-008	5.378669e+002	0.000000e+000
6.954520097029420e-008	5.423835e+002	0.000000e+000
7.083091525458829e-008	5.456840e+002	0.000000e+000
7.125948668268631e-008	5.464929e+002	0.000000e+000
7.168805811078435e-008	5.471614e+002	0.000000e+000
7.211662953888238e-008	5.476897e+002	0.000000e+000
7.254520096698041e-008	5.480777e+002	0.000000e+000
7.297377239507844e-008	5.483253e+002	0.000000e+000
7.340234382317647e-008	5.484327e+002	0.000000e+000
7.383091525127450e-008	5.483997e+002	0.000000e+000
7.460234382185096e-008	5.479827e+002	0.000000e+000
7.537377239242740e-008	5.471139e+002	0.000000e+000
7.614520096300386e-008	5.457933e+002	0.000000e+000
7.691662953358031e-008	5.440209e+002	0.000000e+000
7.768805810415677e-008	5.417966e+002	0.000000e+000
7.845948667473323e-008	5.391204e+002	0.000000e+000
7.923091524530967e-008	5.359925e+002	0.000000e+000
8.094520095770180e-008	5.273199e+002	0.000000e+000
8.265948667009392e-008	5.166217e+002	0.000000e+000
8.437377238248603e-008	5.038979e+002	0.000000e+000
8.608805809487815e-008	4.891484e+002	0.000000e+000
8.780234380727028e-008	4.723734e+002	0.000000e+000
8.951662951966239e-008	4.535727e+002	0.000000e+000
9.123091523205451e-008	4.327464e+002	0.000000e+000
9.277377237320742e-008	4.124086e+002	0.000000e+000
9.431662951436032e-008	3.909125e+002	0.000000e+000
9.585948665551324e-008	3.682583e+002	0.000000e+000
9.740234379666615e-008	3.444459e+002	0.000000e+000
9.894520093781905e-008	3.194752e+002	0.000000e+000
1.004880580789720e-007	2.933464e+002	0.000000e+000
1.020309152201249e-007	2.660594e+002	0.000000e+000
1.032309152187994e-007	2.447123e+002	0.000000e+000
1.038309152181366e-007	2.341334e+002	0.000000e+000
1.044309152174738e-007	2.236701e+002	0.000000e+000
1.050309152168111e-007	2.134160e+002	0.000000e+000
1.056309152161483e-007	2.034761e+002	0.000000e+000
1.062309152154856e-007	1.939528e+002	0.000000e+000
1.074309152141600e-007	1.764529e+002	0.000000e+000
1.086309152128345e-007	1.611458e+002	0.000000e+000
1.092309152121718e-007	1.542407e+002	0.000000e+000
1.098309152115090e-007	1.477584e+002	0.000000e+000
1.104309152108463e-007	1.416377e+002	0.000000e+000
1.110309152101835e-007	1.358207e+002	0.000000e+000
1.116309152095207e-007	1.302564e+002	0.000000e+000
1.122309152088580e-007	1.249007e+002	0.000000e+000
1.128309152081952e-007	1.197166e+002	0.000000e+000
1.134309152075325e-007	1.146732e+002	0.000000e+000
1.140309152068697e-007	1.097447e+002	0.000000e+000
1.146309152062069e-007	1.049100e+002	0.000000e+000
1.152309152055442e-007	1.001516e+002	0.000000e+000
1.164309152042187e-007	9.080852e+001	0.000000e+000
1.176309152028932e-007	8.162776e+001	0.000000e+000
1.188309152015676e-007	7.255090e+001	0.000000e+000
1.206309151995794e-007	5.910174e+001	0.000000e+000
1.212309151989166e-007	5.477747e+001	0.000000e+000
1.218309151982538e-007	5.070317e+001	0.000000e+000
1.224996384642518e-007	4.680387e+001	0.000000e+000
1.228424756777313e-007	4.514031e+001	0.000000e+000
1.236513985317794e-007	4.179123e+001	0.000000e+000
1.247411764854212e-007	3.788609e+001	0.000000e+000
1.253411764847584e-007	3.585290e+001	0.000000e+000
1.259411764840956e-007	3.385730e+001	0.000000e+000
1.265411764834329e-007	3.188123e+001	0.000000e+000
1.277411764821074e-007	2.795602e+001	0.000000e+000
1.289411764807819e-007	2.404785e+001	0.000000e+000
1.301411764794563e-007	2.015212e+001	0.000000e+000
1.319411764774681e-007	1.433704e+001	0.000000e+000
1.325411764768053e-007	1.240782e+001	0.000000e+000
1.331411764761425e-007	1.048431e+001	0.000000e+000
1.337411764754798e-007	8.566511e+000	0.000000e+000
1.343411764748170e-007	6.654419e+000	0.000000e+000
1.349411764741543e-007	4.748036e+000	0.000000e+000
1.355411764734915e-007	2.847362e+000	0.000000e+000
1.361411764728288e-007	9.523976e-001	0.000000e+000
1.367411764721660e-007	-9.313789e-001	0.000000e+000
1.369652969478163e-007	-1.577425e+000	0.000000e+000
1.370995575140227e-007	-1.819853e+000	0.000000e+000
1.372518002931700e-007	-1.892226e+000	0.000000e+000
1.372955063701220e-007	-1.882092e+000	0.000000e+000
1.373414931036404e-007	-1.865038e+000	0.000000e+000
1.373935665117260e-007	-1.851811e+000	0.000000e+000
1.374418168824387e-007	-1.843325e+000	0.000000e+000
1.374960990688234e-007	-1.836676e+000	0.000000e+000
1.375469711878408e-007	-1.832228e+000	0.000000e+000
1.375948617213935e-007	-1.829201e+000	0.000000e+000
1.376381864818393e-007	-1.827152e+000	0.000000e+000
1.376750501727586e-007	-1.825812e+000	0.000000e+000
1.377126364193737e-007	-1.824747e+000	0.000000e+000
1.377563652142644e-007	-1.823793e+000	0.000000e+000
1.378123978251072e-007	-1.822886e+000	0.000000e+000
1.378772102045289e-007	-1.822154e+000	0.000000e+000
1.379606561057595e-007	-1.821542e+000	0.000000e+000
1.380549861842301e-007	-1.821128e+000	0.000000e+000
1.381731280988841e-007	-1.820848e+000	0.000000e+000
1.383117233973163e-007	-1.820689e+000	0.000000e+000
1.384927950116160e-007	-1.820604e+000	0.000000e+000
1.387237575419670e-007	-1.820564e+000	0.000000e+000
1.390589668623377e-007	-1.820543e+000	0.000000e+000
1.395682571216084e-007	-1.820525e+000	0.000000e+000
1.497682571103415e-007	-1.820181e+000	0.000000e+000
1.499999999991092e-007	-1.820174e+000	0.000000e+000
