time	V(vds)	V(vpulse)
0.000000000000000e+000	9.576411e-002	5.000000e+000
1.000099999993662e-008	9.576414e-002	5.000000e+000
1.000129999997879e-008	9.104145e-002	3.500000e+000
1.000169999989045e-008	8.466472e-002	1.500000e+000
1.000199999993262e-008	8.032804e-002	0.000000e+000
1.000207999995832e-008	7.978715e-002	0.000000e+000
1.000363734758715e-008	7.921812e-002	0.000000e+000
1.000519469521598e-008	7.877429e-002	0.000000e+000
1.000675204284482e-008	7.845567e-002	0.000000e+000
1.000830939047365e-008	7.826225e-002	0.000000e+000
1.000986673810248e-008	7.819404e-002	0.000000e+000
1.001142408573131e-008	7.825104e-002	0.000000e+000
1.001298143336014e-008	7.843324e-002	0.000000e+000
1.003812298390794e-008	7.994559e-002	0.000000e+000
1.006326453445574e-008	8.158661e-002	0.000000e+000
1.008840608500353e-008	8.335631e-002	0.000000e+000
1.011354763555133e-008	8.525469e-002	0.000000e+000
1.013868918609913e-008	8.728174e-002	0.000000e+000
1.016383073664692e-008	8.943747e-002	0.000000e+000
1.018897228719472e-008	9.172187e-002	0.000000e+000
1.023897228721177e-008	9.734368e-002	0.000000e+000
1.028897228722882e-008	1.049386e-001	0.000000e+000
1.033897228724587e-008	1.161956e-001	0.000000e+000
1.038897228726292e-008	1.343735e-001	0.000000e+000
1.043299748242771e-008	1.618327e-001	0.000000e+000
1.047032849939462e-008	2.035638e-001	0.000000e+000
1.051164129285860e-008	2.794895e-001	0.000000e+000
1.055162512507597e-008	3.838127e-001	0.000000e+000
1.060162512509302e-008	5.421165e-001	0.000000e+000
1.065162512511007e-008	7.131232e-001	0.000000e+000
1.070162512512712e-008	8.889292e-001	0.000000e+000
1.075162512514417e-008	1.066479e+000	0.000000e+000
1.080162512516122e-008	1.245037e+000	0.000000e+000
1.085162512517827e-008	1.424378e+000	0.000000e+000
1.090162512519532e-008	1.604393e+000	0.000000e+000
1.095162512521238e-008	1.785009e+000	0.000000e+000
1.100162512522943e-008	1.966167e+000	0.000000e+000
1.105162512524648e-008	2.147822e+000	0.000000e+000
1.110162512526353e-008	2.329938e+000	0.000000e+000
1.115162512528058e-008	2.512482e+000	0.000000e+000
1.120162512529763e-008	2.695431e+000	0.000000e+000
1.125162512531468e-008	2.878763e+000	0.000000e+000
1.130162512533173e-008	3.062458e+000	0.000000e+000
1.135162512534878e-008	3.246499e+000	0.000000e+000
1.140162512536583e-008	3.430866e+000	0.000000e+000
1.145162512538288e-008	3.615541e+000	0.000000e+000
1.150162512539993e-008	3.800504e+000	0.000000e+000
1.155162512541698e-008	3.985734e+000	0.000000e+000
1.160162512543403e-008	4.171210e+000	0.000000e+000
1.165162512545108e-008	4.356912e+000	0.000000e+000
1.170162512546813e-008	4.542820e+000	0.000000e+000
1.175162512548518e-008	4.728915e+000	0.000000e+000
1.180162512550223e-008	4.915180e+000	0.000000e+000
1.185162512551928e-008	5.101599e+000	0.000000e+000
1.190162512553633e-008	5.288158e+000	0.000000e+000
1.200162512557043e-008	5.661648e+000	0.000000e+000
1.210162512560453e-008	6.035569e+000	0.000000e+000
1.220162512563863e-008	6.409874e+000	0.000000e+000
1.235162512568978e-008	6.971961e+000	0.000000e+000
1.247305369715976e-008	7.427471e+000	0.000000e+000
1.259448226862974e-008	7.883339e+000	0.000000e+000
1.271591084009972e-008	8.339564e+000	0.000000e+000
1.283733941156970e-008	8.796146e+000	0.000000e+000
1.295876798303968e-008	9.253086e+000	0.000000e+000
1.308019655450966e-008	9.710383e+000	0.000000e+000
1.320162512597964e-008	1.016804e+001	0.000000e+000
1.400876798339774e-008	1.322117e+001	0.000000e+000
1.481591084081583e-008	1.628522e+001	0.000000e+000
1.562305369823393e-008	1.936019e+001	0.000000e+000
1.643019655565203e-008	2.244609e+001	0.000000e+000
1.723733941307013e-008	2.554291e+001	0.000000e+000
1.804448227048823e-008	2.865066e+001	0.000000e+000
1.885162512790632e-008	3.176933e+001	0.000000e+000
1.916591084229921e-008	3.297640e+001	0.000000e+000
1.948019655669210e-008	3.419927e+001	0.000000e+000
1.979448227108498e-008	3.543795e+001	0.000000e+000
2.010876798547787e-008	3.669242e+001	0.000000e+000
2.042305369987076e-008	3.796270e+001	0.000000e+000
2.073733941426365e-008	3.924877e+001	0.000000e+000
2.105162512865653e-008	4.055064e+001	0.000000e+000
2.118733941441710e-008	4.112824e+001	0.000000e+000
2.132305370017767e-008	4.172579e+001	0.000000e+000
2.145876798593823e-008	4.234331e+001	0.000000e+000
2.159448227169879e-008	4.298078e+001	0.000000e+000
2.173019655745936e-008	4.363822e+001	0.000000e+000
2.186591084321993e-008	4.431562e+001	0.000000e+000
2.200162512898049e-008	4.501298e+001	0.000000e+000
2.209448227186930e-008	4.551328e+001	0.000000e+000
2.218733941475810e-008	4.603517e+001	0.000000e+000
2.228019655764691e-008	4.657865e+001	0.000000e+000
2.237305370053572e-008	4.714373e+001	0.000000e+000
2.246591084342453e-008	4.773040e+001	0.000000e+000
2.255876798631334e-008	4.833866e+001	0.000000e+000
2.265162512920214e-008	4.896851e+001	0.000000e+000
2.273733941494566e-008	4.957671e+001	0.000000e+000
2.282305370068918e-008	5.020135e+001	0.000000e+000
2.290876798643269e-008	5.084245e+001	0.000000e+000
2.299448227217620e-008	5.149998e+001	0.000000e+000
2.308019655791972e-008	5.217397e+001	0.000000e+000
2.316591084366323e-008	5.286440e+001	0.000000e+000
2.325162512940675e-008	5.357128e+001	0.000000e+000
2.342305370089378e-008	5.502234e+001	0.000000e+000
2.359448227238081e-008	5.648669e+001	0.000000e+000
2.376591084386784e-008	5.796434e+001	0.000000e+000
2.393733941535487e-008	5.945529e+001	0.000000e+000
2.410876798684190e-008	6.095953e+001	0.000000e+000
2.428019655832893e-008	6.247706e+001	0.000000e+000
2.445162512981595e-008	6.400790e+001	0.000000e+000
2.534448227297757e-008	7.184600e+001	0.000000e+000
2.623733941613918e-008	7.985653e+001	0.000000e+000
2.713019655930079e-008	8.803948e+001	0.000000e+000
2.802305370246241e-008	9.639486e+001	0.000000e+000
2.891591084562402e-008	1.049227e+002	0.000000e+000
2.980876798878563e-008	1.136229e+002	0.000000e+000
3.070162513194724e-008	1.224955e+002	0.000000e+000
3.133019656073302e-008	1.288769e+002	0.000000e+000
3.195876798951880e-008	1.358673e+002	0.000000e+000
3.258733941830457e-008	1.434667e+002	0.000000e+000
3.321591084709034e-008	1.516751e+002	0.000000e+000
3.384448227587612e-008	1.604926e+002	0.000000e+000
3.447305370466189e-008	1.699190e+002	0.000000e+000
3.510162513344767e-008	1.799545e+002	0.000000e+000
3.541591084784056e-008	1.855397e+002	0.000000e+000
3.573019656223344e-008	1.913212e+002	0.000000e+000
3.604448227662633e-008	1.972991e+002	0.000000e+000
3.635876799101922e-008	2.034734e+002	0.000000e+000
3.667305370541210e-008	2.098440e+002	0.000000e+000
3.698733941980499e-008	2.164110e+002	0.000000e+000
3.730162513419788e-008	2.231744e+002	0.000000e+000
3.756591084857372e-008	2.288687e+002	0.000000e+000
3.783019656294956e-008	2.346301e+002	0.000000e+000
3.809448227732540e-008	2.404585e+002	0.000000e+000
3.835876799170123e-008	2.463540e+002	0.000000e+000
3.862305370607706e-008	2.523165e+002	0.000000e+000
3.888733942045290e-008	2.583461e+002	0.000000e+000
3.915162513482874e-008	2.644427e+002	0.000000e+000
3.937305370633282e-008	2.695230e+002	0.000000e+000
3.959448227783690e-008	2.745749e+002	0.000000e+000
3.981591084934098e-008	2.795984e+002	0.000000e+000
4.003733942084506e-008	2.845933e+002	0.000000e+000
4.025876799234914e-008	2.895598e+002	0.000000e+000
4.048019656385322e-008	2.944979e+002	0.000000e+000
4.070162513535730e-008	2.994075e+002	0.000000e+000
4.205162513581766e-008	3.289801e+002	0.000000e+000
4.340162513627802e-008	3.575330e+002	0.000000e+000
4.475162513673837e-008	3.850661e+002	0.000000e+000
4.610162513719873e-008	4.115793e+002	0.000000e+000
4.745162513765909e-008	4.370727e+002	0.000000e+000
4.880162513811945e-008	4.615464e+002	0.000000e+000
5.015162513857981e-008	4.850002e+002	0.000000e+000
5.020162513859686e-008	4.858398e+002	0.000000e+000
5.085162513881851e-008	4.966148e+002	0.000000e+000
5.150162513904016e-008	5.070821e+002	0.000000e+000
5.215162513926182e-008	5.172417e+002	0.000000e+000
5.280162513948347e-008	5.270935e+002	0.000000e+000
5.345162513970513e-008	5.366377e+002	0.000000e+000
5.410162513992678e-008	5.458741e+002	0.000000e+000
5.475162514014843e-008	5.548029e+002	0.000000e+000
5.614448228348055e-008	5.728915e+002	0.000000e+000
5.753733942681266e-008	5.893313e+002	0.000000e+000
5.893019657014478e-008	6.041224e+002	0.000000e+000
6.032305371347689e-008	6.172648e+002	0.000000e+000
6.171591085680902e-008	6.287584e+002	0.000000e+000
6.310876800014113e-008	6.386033e+002	0.000000e+000
6.450162514347324e-008	6.467994e+002	0.000000e+000
6.529448228660075e-008	6.506414e+002	0.000000e+000
6.608733942972827e-008	6.539071e+002	0.000000e+000
6.688019657285578e-008	6.565964e+002	0.000000e+000
6.767305371598329e-008	6.587093e+002	0.000000e+000
6.846591085911081e-008	6.602458e+002	0.000000e+000
6.925876800223832e-008	6.612060e+002	0.000000e+000
7.005162514536582e-008	6.615897e+002	0.000000e+000
7.027305371686990e-008	6.615921e+002	0.000000e+000
7.049448228837398e-008	6.615492e+002	0.000000e+000
7.071591085987806e-008	6.614611e+002	0.000000e+000
7.093733943138215e-008	6.613277e+002	0.000000e+000
7.115876800288623e-008	6.611490e+002	0.000000e+000
7.138019657439030e-008	6.609251e+002	0.000000e+000
7.160162514589438e-008	6.606560e+002	0.000000e+000
7.280876800344889e-008	6.583659e+002	0.000000e+000
7.401591086100339e-008	6.547635e+002	0.000000e+000
7.522305371855788e-008	6.498489e+002	0.000000e+000
7.643019657611238e-008	6.436220e+002	0.000000e+000
7.763733943366689e-008	6.360828e+002	0.000000e+000
7.884448229122138e-008	6.272314e+002	0.000000e+000
8.005162514877588e-008	6.170677e+002	0.000000e+000
