time	V(N003,N006)	-I(Ls1)
0.000000000000000e+000	7.252781e+001	8.875348e+000
9.999999999940612e-009	7.253152e+001	8.790266e+000
3.000000000003868e-008	7.253825e+001	8.616405e+000
7.000000000001797e-008	7.254814e+001	8.250950e+000
1.499999999999765e-007	7.255547e+001	7.463846e+000
2.500000000000332e-007	7.254219e+001	6.390808e+000
3.500000000000898e-007	7.249963e+001	5.219167e+000
4.500000000001465e-007	7.242248e+001	3.953945e+000
5.500000000002031e-007	7.230362e+001	2.607549e+000
6.500000000002598e-007	7.212857e+001	1.198440e+000
7.111091308441460e-007	2.879285e+001	3.527869e-001
7.516944679490829e-007	-7.174468e+001	-1.487013e-001
7.517679161423568e-007	-7.187464e+001	-1.494136e-001
7.519148125291215e-007	-7.187473e+001	-1.505909e-001
7.522086053026508e-007	-7.187492e+001	-1.529441e-001
7.527961908497093e-007	-7.187547e+001	-1.576505e-001
7.534985570652446e-007	-7.187607e+001	-1.632783e-001
7.547277608521783e-007	-7.187699e+001	-1.731316e-001
7.559502477156536e-007	-7.187775e+001	-1.829375e-001
7.578313086077735e-007	-7.187863e+001	-1.980374e-001
7.597852376192010e-007	-7.187926e+001	-2.137357e-001
7.617779859509996e-007	-7.187961e+001	-2.297626e-001
7.644684918276835e-007	-7.187964e+001	-2.514314e-001
7.694336898319502e-007	-7.187886e+001	-2.914896e-001
7.741766395010299e-007	-7.187735e+001	-3.298358e-001
7.795254309136360e-007	-7.187483e+001	-3.731872e-001
7.853564341334021e-007	-7.187138e+001	-4.205689e-001
7.915092793480631e-007	-7.186711e+001	-4.707060e-001
7.984575061809312e-007	-7.186167e+001	-5.274980e-001
8.064409171841709e-007	-7.185483e+001	-5.929750e-001
8.160195646975729e-007	-7.184598e+001	-6.718544e-001
8.285849568375522e-007	-7.183363e+001	-7.758523e-001
8.459612580217178e-007	-7.181568e+001	-9.206232e-001
8.714474801399096e-007	-7.178846e+001	-1.134812e+000
9.063695463600464e-007	-7.175084e+001	-1.431630e+000
9.573483302728267e-007	-7.169763e+001	-1.871311e+000
1.043361956006234e-006	-7.161538e+001	-2.624828e+000
1.143361956006291e-006	-7.153367e+001	-3.511842e+000
1.243361956006347e-006	-7.147004e+001	-4.403385e+000
1.343361956006404e-006	-7.142212e+001	-5.293224e+000
1.355861956006330e-006	-7.141768e+001	-5.403719e+000
1.380861956006398e-006	-7.141120e+001	-5.622886e+000
1.430861956006318e-006	-7.140289e+001	-6.055321e+000
1.530861956006374e-006	-7.140007e+001	-6.898422e+000
1.630861956006431e-006	-7.141431e+001	-7.706583e+000
1.730861956006488e-006	-7.144719e+001	-8.465303e+000
1.830861956006544e-006	-7.149743e+001	-9.163138e+000
1.930861956006601e-006	-7.156338e+001	-9.788929e+000
2.030861956006658e-006	-7.164314e+001	-1.033198e+001
2.130861956006714e-006	-7.173452e+001	-1.078221e+001
2.230861956006771e-006	-7.183508e+001	-1.113036e+001
2.330861956006828e-006	-7.194215e+001	-1.136810e+001
2.430861956006884e-006	-7.205287e+001	-1.148822e+001
2.530861956006941e-006	-7.216422e+001	-1.148474e+001
2.630861956006998e-006	-7.227301e+001	-1.135308e+001
2.730861956007054e-006	-7.237598e+001	-1.109013e+001
2.830861956007111e-006	-7.247254e+001	-1.072299e+001
2.868361956007105e-006	-7.250492e+001	-1.053958e+001
2.918361956007025e-006	-7.254552e+001	-1.026950e+001
2.925592217858713e-006	-7.255112e+001	-1.022808e+001
2.940052741562090e-006	-7.256177e+001	-1.014047e+001
2.968973788968626e-006	-7.258176e+001	-9.955235e+000
3.026815883781699e-006	-7.261631e+001	-9.547330e+000
3.126815883781756e-006	-7.266134e+001	-8.751886e+000
3.226815883781813e-006	-7.268586e+001	-7.847761e+000
3.326815883781869e-006	-7.268468e+001	-6.828287e+000
3.426815883781926e-006	-7.265448e+001	-5.702070e+000
3.526815883781983e-006	-7.259162e+001	-4.479321e+000
3.626815883782039e-006	-7.249122e+001	-3.171767e+000
3.726815883782096e-006	-7.233695e+001	-1.792569e+000
3.826815883782152e-006	-2.527687e+001	-4.210821e-001
3.880515706502618e-006	7.187936e+001	2.392873e-001
3.880616410505480e-006	7.201418e+001	2.402546e-001
3.880817818510988e-006	7.201392e+001	2.418512e-001
3.881220634522221e-006	7.201370e+001	2.450436e-001
3.882026266544469e-006	7.201365e+001	2.514301e-001
3.883367099246715e-006	7.201351e+001	2.620642e-001
3.884706496550070e-006	7.201330e+001	2.726937e-001
3.886659172762418e-006	7.201285e+001	2.882025e-001
3.888643630676819e-006	7.201227e+001	3.039777e-001
3.891126358371473e-006	7.201132e+001	3.237395e-001
3.895761933106956e-006	7.200909e+001	3.607002e-001
3.901450813733514e-006	7.200578e+001	4.061556e-001
3.907183183419214e-006	7.200186e+001	4.520799e-001
3.914532015755930e-006	7.199617e+001	5.111274e-001
3.922054549722115e-006	7.198977e+001	5.717677e-001
3.931124830909918e-006	7.198145e+001	6.451542e-001
3.941389719690908e-006	7.197147e+001	7.285491e-001
3.953741079570005e-006	7.195887e+001	8.293759e-001
3.968868830740669e-006	7.194290e+001	9.535619e-001
3.988157377141392e-006	7.192204e+001	1.112978e+000
4.013461781296555e-006	7.189441e+001	1.323857e+000
4.048413862830710e-006	7.185664e+001	1.618131e+000
4.097918206897666e-006	7.180537e+001	2.040141e+000
4.173754748210004e-006	7.173380e+001	2.695187e+000
4.273754748210061e-006	7.165322e+001	3.567728e+000
4.373754748210118e-006	7.159021e+001	4.442852e+000
4.473754748210174e-006	7.154691e+001	5.311303e+000
4.573754748210231e-006	7.152363e+001	6.162362e+000
4.673754748210288e-006	7.152011e+001	6.985001e+000
4.773754748210344e-006	7.153565e+001	7.768026e+000
4.873754748210401e-006	7.156924e+001	8.500233e+000
4.973754748210458e-006	7.161952e+001	9.170559e+000
5.073754748210514e-006	7.168485e+001	9.768251e+000
5.173754748210571e-006	7.176330e+001	1.028302e+001
5.273754748210627e-006	7.185268e+001	1.070522e+001
5.373754748210684e-006	7.195057e+001	1.102597e+001
5.473754748210741e-006	7.205430e+001	1.123737e+001
5.573754748210797e-006	7.216106e+001	1.133259e+001
5.673754748210854e-006	7.226785e+001	1.130602e+001
5.773754748210911e-006	7.237155e+001	1.115342e+001
5.873754748210967e-006	7.246895e+001	1.087197e+001
5.973754748211024e-006	7.255958e+001	1.048844e+001
5.986254748210950e-006	7.257008e+001	1.043063e+001
6.011254748211018e-006	7.258961e+001	1.029986e+001
6.061254748210938e-006	7.262698e+001	1.002318e+001
6.069979502596476e-006	7.263315e+001	9.971967e+000
6.087429011367553e-006	7.264473e+001	9.863376e+000
6.122328028909706e-006	7.266592e+001	9.632017e+000
6.192126063994229e-006	7.270085e+001	9.120897e+000
6.292126063994286e-006	7.273475e+001	8.295938e+000
6.392126063994343e-006	7.274680e+001	7.362943e+000
6.492126063994399e-006	7.273233e+001	6.319818e+000
6.592126063994456e-006	7.268801e+001	5.175519e+000
6.692126063994512e-006	7.260996e+001	3.940547e+000
6.792126063994569e-006	7.249151e+001	2.626851e+000
6.892126063994626e-006	7.231822e+001	1.251667e+000
6.958048296505951e-006	2.830754e+001	3.613572e-001
7.000430594011897e-006	-7.192032e+001	-1.479803e-001
7.000507698478155e-006	-7.205129e+001	-1.487006e-001
7.000661907410888e-006	-7.205134e+001	-1.498808e-001
7.000970325276353e-006	-7.205149e+001	-1.522399e-001
7.001587161007284e-006	-7.205201e+001	-1.569583e-001
7.002347253078599e-006	-7.205257e+001	-1.627747e-001
7.003608361018246e-006	-7.205339e+001	-1.724291e-001
7.004840549172924e-006	-7.205403e+001	-1.818683e-001
7.006477784386430e-006	-7.205468e+001	-1.944192e-001
7.008186822626567e-006	-7.205514e+001	-2.075305e-001
7.009970739625063e-006	-7.205541e+001	-2.212287e-001
7.012143607426765e-006	-7.205545e+001	-2.379316e-001
7.015485536042768e-006	-7.205507e+001	-2.636541e-001
7.018755522739117e-006	-7.205429e+001	-2.888598e-001
7.022139574046305e-006	-7.205308e+001	-3.149877e-001
7.025873746170381e-006	-7.205136e+001	-3.438684e-001
7.029957436813835e-006	-7.204908e+001	-3.755143e-001
7.035338067958247e-006	-7.204554e+001	-4.173187e-001
7.044359215827977e-006	-7.203865e+001	-4.876502e-001
7.055934188617257e-006	-7.202863e+001	-5.783094e-001
7.071000775384084e-006	-7.201421e+001	-6.970088e-001
7.088855881915617e-006	-7.199587e+001	-8.386575e-001
7.110320653820178e-006	-7.197281e+001	-1.010322e+000
7.136402006737395e-006	-7.194417e+001	-1.220806e+000
7.167151808071086e-006	-7.191036e+001	-1.471489e+000
7.205487423020060e-006	-7.186905e+001	-1.787469e+000
7.251832117724337e-006	-7.182135e+001	-2.173921e+000
7.311362407785502e-006	-7.176476e+001	-2.676041e+000
7.386633508799307e-006	-7.170210e+001	-3.316940e+000
7.486633508799363e-006	-7.163414e+001	-4.172000e+000
7.586633508799420e-006	-7.157993e+001	-5.026192e+000
7.599133508799346e-006	-7.157462e+001	-5.132409e+000
7.624133508799414e-006	-7.156631e+001	-5.343338e+000
7.674133508799334e-006	-7.155353e+001	-5.761076e+000
7.746576707342570e-006	-7.154371e+001	-6.354249e+000
7.846576707342626e-006	-7.154546e+001	-7.145596e+000
7.946576707342683e-006	-7.156423e+001	-7.896873e+000
8.046576707342740e-006	-7.160026e+001	-8.595232e+000
8.146576707342796e-006	-7.165215e+001	-9.229849e+000
8.246576707342853e-006	-7.171820e+001	-9.790227e+000
8.346576707342910e-006	-7.179643e+001	-1.026636e+001
8.446576707342966e-006	-7.188463e+001	-1.064891e+001
8.546576707343023e-006	-7.198033e+001	-1.092933e+001
8.646576707343080e-006	-7.208089e+001	-1.110005e+001
8.746576707343136e-006	-7.218346e+001	-1.115460e+001
8.846576707343193e-006	-7.228505e+001	-1.108775e+001
8.946576707343249e-006	-7.238256e+001	-1.089563e+001
9.046576707343306e-006	-7.247279e+001	-1.057582e+001
9.146576707343363e-006	-7.255551e+001	-1.015504e+001
9.159076707343289e-006	-7.256495e+001	-1.009271e+001
9.184076707343357e-006	-7.258267e+001	-9.956501e+000
