Freq.	V(N012,N016)
1.00000000000000e+005	(-2.53398995571394e+001dB,-1.60447806829965e+002°)
1.00100100100100e+005	(-2.52700154779730e+001dB,-1.60583736077430e+002°)
1.00200200200200e+005	(-2.52001132841444e+001dB,-1.60720099425708e+002°)
1.00300300300300e+005	(-2.51301927598539e+001dB,-1.60856899693009e+002°)
1.00400400400400e+005	(-2.50602536900346e+001dB,-1.60994139720230e+002°)
1.00500500500500e+005	(-2.49902958603720e+001dB,-1.61131822371155e+002°)
1.00600600600601e+005	(-2.49203190573230e+001dB,-1.61269950532664e+002°)
1.00700700700701e+005	(-2.48503230681364e+001dB,-1.61408527114943e+002°)
1.00800800800801e+005	(-2.47803076808727e+001dB,-1.61547555051691e+002°)
1.00900900900901e+005	(-2.47102726844256e+001dB,-1.61687037300338e+002°)
1.01001001001001e+005	(-2.46402178685428e+001dB,-1.61826976842253e+002°)
1.01101101101101e+005	(-2.45701430238483e+001dB,-1.61967376682966e+002°)
1.01201201201201e+005	(-2.45000479418643e+001dB,-1.62108239852382e+002°)
1.01301301301301e+005	(-2.44299324150342e+001dB,-1.62249569404999e+002°)
1.01401401401401e+005	(-2.43597962367459e+001dB,-1.62391368420136e+002°)
1.01501501501501e+005	(-2.42896392013556e+001dB,-1.62533640002151e+002°)
1.01601601601602e+005	(-2.42194611042120e+001dB,-1.62676387280665e+002°)
1.01701701701702e+005	(-2.41492617416813e+001dB,-1.62819613410795e+002°)
1.01801801801802e+005	(-2.40790409111727e+001dB,-1.62963321573376e+002°)
1.01901901901902e+005	(-2.40087984111641e+001dB,-1.63107514975196e+002°)
1.02002002002002e+005	(-2.39385340412290e+001dB,-1.63252196849226e+002°)
1.02102102102102e+005	(-2.38682476020631e+001dB,-1.63397370454857e+002°)
1.02202202202202e+005	(-2.37979388955126e+001dB,-1.63543039078132e+002°)
1.02302302302302e+005	(-2.37276077246018e+001dB,-1.63689206031987e+002°)
1.02402402402402e+005	(-2.36572538935627e+001dB,-1.63835874656488e+002°)
1.02502502502502e+005	(-2.35868772078639e+001dB,-1.63983048319077e+002°)
1.02602602602603e+005	(-2.35164774742411e+001dB,-1.64130730414810e+002°)
1.02702702702703e+005	(-2.34460545007279e+001dB,-1.64278924366606e+002°)
1.02802802802803e+005	(-2.33756080966869e+001dB,-1.64427633625490e+002°)
1.02902902902903e+005	(-2.33051380728423e+001dB,-1.64576861670848e+002°)
1.03003003003003e+005	(-2.32346442413122e+001dB,-1.64726612010669e+002°)
1.03103103103103e+005	(-2.31641264156424e+001dB,-1.64876888181806e+002°)
1.03203203203203e+005	(-2.30935844108406e+001dB,-1.65027693750223e+002°)
1.03303303303303e+005	(-2.30230180434111e+001dB,-1.65179032311256e+002°)
1.03403403403403e+005	(-2.29524271313905e+001dB,-1.65330907489869e+002°)
1.03503503503503e+005	(-2.28818114943841e+001dB,-1.65483322940909e+002°)
1.03603603603604e+005	(-2.28111709536033e+001dB,-1.65636282349375e+002°)
1.03703703703704e+005	(-2.27405053319030e+001dB,-1.65789789430675e+002°)
1.03803803803804e+005	(-2.26698144538208e+001dB,-1.65943847930893e+002°)
1.03903903903904e+005	(-2.25990981456162e+001dB,-1.66098461627054e+002°)
1.04004004004004e+005	(-2.25283562353111e+001dB,-1.66253634327392e+002°)
1.04104104104104e+005	(-2.24575885527308e+001dB,-1.66409369871622e+002°)
1.04204204204204e+005	(-2.23867949295462e+001dB,-1.66565672131206e+002°)
1.04304304304304e+005	(-2.23159751993167e+001dB,-1.66722545009632e+002°)
1.04404404404404e+005	(-2.22451291975335e+001dB,-1.66879992442684e+002°)
1.04504504504504e+005	(-2.21742567616650e+001dB,-1.67038018398720e+002°)
