time	I(Ls1)
0.000000000000000e+000	1.517666e-005
9.999999999940612e-009	5.113730e-006
3.000000000003868e-008	4.818806e-008
5.140540297317135e-008	5.118074e-008
8.004470047418347e-008	5.441811e-008
1.373232954764245e-007	6.212862e-008
2.373232954764812e-007	7.465285e-008
3.373232954765378e-007	8.696249e-008
4.373232954765945e-007	9.874410e-008
5.373232954766511e-007	1.446156e-007
5.498232954765769e-007	1.373009e-007
5.748232954766452e-007	1.142249e-007
5.966982954766237e-007	1.162308e-007
6.029482954765866e-007	1.237670e-007
6.154482954765124e-007	1.414114e-007
6.352308677657920e-007	1.475411e-007
7.074933225351306e-007	1.568369e-007
8.038432622277988e-007	1.920105e-002
8.887292436111308e-007	7.759710e-002
8.995904111888577e-007	9.452560e-002
9.213127463445284e-007	1.476359e-001
9.647574166558696e-007	2.947855e-001
1.051646757278335e-006	7.135007e-001
1.151646757278392e-006	1.368296e+000
1.251646757278449e-006	2.197905e+000
1.351646757278505e-006	3.165066e+000
1.451646757278562e-006	4.214946e+000
1.551646757278619e-006	5.285699e+000
1.651646757278675e-006	6.312037e+000
1.751646757278732e-006	7.229017e+000
1.851646757278789e-006	7.975831e+000
1.951646757278845e-006	8.499366e+000
2.051646757278902e-006	8.757331e+000
2.151646757278958e-006	8.720771e+000
2.251646757279015e-006	8.375813e+000
2.351646757279072e-006	7.724553e+000
2.451646757279128e-006	6.785017e+000
2.551646757279185e-006	5.590213e+000
2.651646757279242e-006	4.186322e+000
2.751646757279298e-006	2.630170e+000
2.851646757279355e-006	9.906761e-001
2.911231401270514e-006	2.014486e-001
2.953911237097914e-006	-1.776301e-002
2.953987112491556e-006	-1.718967e-002
2.955065041520578e-006	-4.740066e-004
2.955085939543040e-006	-1.531481e-004
2.955116059844259e-006	2.832841e-004
2.955152208095318e-006	7.126389e-004
2.955190711284887e-006	9.857829e-004
2.955225099787783e-006	1.006939e-003
2.955261924000082e-006	8.363874e-004
2.955262533990656e-006	8.315264e-004
2.955263753971803e-006	8.196610e-004
2.955266193933881e-006	7.952782e-004
2.955271073858037e-006	7.440034e-004
2.955280833706565e-006	6.328248e-004
2.955300353403622e-006	3.887186e-004
2.955339392797518e-006	-1.204479e-004
2.955374144443740e-006	-5.311749e-004
2.955410833945004e-006	-8.305663e-004
2.955449049201701e-006	-9.313131e-004
2.955484017329053e-006	-8.164300e-004
2.955513021003515e-006	-5.979374e-004
2.955513512438099e-006	-5.930781e-004
2.955514495307484e-006	-5.823598e-004
2.955520392523793e-006	-5.160270e-004
2.955528255478871e-006	-4.230758e-004
2.955543981389029e-006	-2.288353e-004
2.955575433209344e-006	1.559832e-004
2.955614910636530e-006	5.638535e-004
2.955658045690869e-006	8.286305e-004
2.955696581319334e-006	8.385811e-004
2.955734048762544e-006	6.316051e-004
2.955766186240553e-006	3.350789e-004
2.955766685725988e-006	3.295328e-004
2.955767684696860e-006	3.176933e-004
2.955769682638602e-006	2.938535e-004
2.955773678522088e-006	2.456162e-004
2.955781670289058e-006	1.477621e-004
2.955797653822999e-006	-4.604380e-005
2.955829620890881e-006	-4.046572e-004
2.955859945382279e-006	-6.584783e-004
2.955904750751763e-006	-8.253668e-004
2.955941622374706e-006	-7.596053e-004
2.955974765870032e-006	-5.278432e-004
2.956008018829880e-006	-1.942345e-004
2.956008646219730e-006	-1.870513e-004
2.956009900999430e-006	-1.719385e-004
2.956012410559048e-006	-1.415914e-004
2.956017429678283e-006	-8.060769e-005
2.956027467916752e-006	4.066064e-005
2.956047544393691e-006	2.689157e-004
2.956081216507617e-006	5.781926e-004
2.956122958272175e-006	7.856752e-004
2.956166209074204e-006	7.584054e-004
2.956202895919823e-006	5.613495e-004
2.956207848560117e-006	5.187454e-004
2.956217753840706e-006	4.150738e-004
2.956237564401883e-006	1.923401e-004
2.956262401228923e-006	-8.590207e-005
2.956312074883002e-006	-5.484857e-004
2.956358515762139e-006	-7.856513e-004
2.956396214183563e-006	-7.629165e-004
2.956429849378019e-006	-5.638447e-004
2.956463716228099e-006	-2.405627e-004
2.956503970975985e-006	1.858802e-004
2.956554440231062e-006	6.297764e-004
2.956592163230265e-006	7.901453e-004
2.956633220856531e-006	7.304321e-004
2.956668187249593e-006	5.066169e-004
2.956698666508684e-006	2.068599e-004
2.956732140940678e-006	-1.571550e-004
2.956774449320351e-006	-5.505605e-004
2.956815566408600e-006	-7.730048e-004
2.956851688348892e-006	-7.781739e-004
2.956885612619403e-006	-6.076115e-004
2.956919907437473e-006	-3.024147e-004
2.956957861674882e-006	9.631022e-005
2.957006386706965e-006	5.464217e-004
2.957047854687056e-006	7.634789e-004
2.957088213153842e-006	7.484975e-004
2.957125684272498e-006	5.392740e-004
2.957156988670807e-006	2.482734e-004
2.957189891911703e-006	-1.058611e-004
2.957229847374253e-006	-4.864441e-004
2.957273867989314e-006	-7.470169e-004
2.957310904415540e-006	-7.757078e-004
2.957345009438816e-006	-6.220951e-004
2.957379604236329e-006	-3.277083e-004
2.957416141673684e-006	5.051101e-005
2.957463920886128e-006	4.997042e-004
2.957507317098533e-006	7.440035e-004
2.957547507445677e-006	7.486519e-004
2.957586222954991e-006	5.482423e-004
2.957617881955499e-006	2.637143e-004
2.957650700020171e-006	-8.485647e-005
2.957689862982107e-006	-4.584986e-004
2.957734489768531e-006	-7.301075e-004
2.957771934776346e-006	-7.691922e-004
2.957806169124992e-006	-6.245570e-004
2.957840959364258e-006	-3.370316e-004
2.957876725298526e-006	2.789880e-005
2.957924176334248e-006	4.735915e-004
2.957968441599530e-006	7.291844e-004
2.958008563467814e-006	7.375319e-004
2.958052387949835e-006	5.112914e-004
2.958084184346730e-006	2.265298e-004
2.958118154965800e-006	-1.302040e-004
2.958157217978173e-006	-4.879693e-004
2.958201757446858e-006	-7.343671e-004
2.958238747228538e-006	-7.518407e-004
2.958272745909579e-006	-5.934314e-004
2.958307175788882e-006	-3.017058e-004
2.958344029635462e-006	7.146881e-005
2.958391994775352e-006	5.062683e-004
2.958434366298526e-006	7.297550e-004
2.958474921656859e-006	7.240910e-004
2.958513766356235e-006	5.201503e-004
2.958545231639305e-006	2.402062e-004
2.958578778215846e-006	-1.071763e-004
2.958618787543945e-006	-4.720231e-004
2.958663571997217e-006	-7.223496e-004
2.958700619291920e-006	-7.443290e-004
2.958734653550621e-006	-5.913457e-004
2.958769149842945e-006	-3.051154e-004
2.958805509136559e-006	5.828132e-005
2.958853185293852e-006	4.882891e-004
2.958896095570530e-006	7.173229e-004
2.958936685856870e-006	7.169978e-004
2.958976114501247e-006	5.159526e-004
2.959007675990347e-006	2.400904e-004
2.959041402117489e-006	-1.045832e-004
2.959081310371274e-006	-4.640210e-004
2.959126407474843e-006	-7.130264e-004
2.959163493911413e-006	-7.346477e-004
2.959197518922737e-006	-5.832637e-004
2.959232007180256e-006	-3.004741e-004
2.959268180609525e-006	5.666830e-005
2.959315757733623e-006	4.807676e-004
2.959358716980243e-006	7.076713e-004
2.959399428873301e-006	7.023398e-004
