Freq.	V(N003,N006)
1.00000000000000e+005	(-2.50090764303797e+001dB,-1.60647612492142e+002°)
1.00100100100100e+005	(-2.49352354159519e+001dB,-1.60797585264668e+002°)
1.00200200200200e+005	(-2.48613665297828e+001dB,-1.60948119498638e+002°)
1.00300300300300e+005	(-2.47874695798450e+001dB,-1.61099219128128e+002°)
1.00400400400400e+005	(-2.47135443761075e+001dB,-1.61250888119660e+002°)
1.00500500500500e+005	(-2.46395907305815e+001dB,-1.61403130472469e+002°)
1.00600600600601e+005	(-2.45656084573675e+001dB,-1.61555950218772e+002°)
1.00700700700701e+005	(-2.44915973727033e+001dB,-1.61709351424037e+002°)
1.00800800800801e+005	(-2.44175572950134e+001dB,-1.61863338187246e+002°)
1.00900900900901e+005	(-2.43434880449584e+001dB,-1.62017914641173e+002°)
1.01001001001001e+005	(-2.42693894454865e+001dB,-1.62173084952649e+002°)
1.01101101101101e+005	(-2.41952613218850e+001dB,-1.62328853322839e+002°)
1.01201201201201e+005	(-2.41211035018338e+001dB,-1.62485223987510e+002°)
1.01301301301301e+005	(-2.40469158154594e+001dB,-1.62642201217309e+002°)
1.01401401401401e+005	(-2.39726980953900e+001dB,-1.62799789318036e+002°)
1.01501501501501e+005	(-2.38984501768117e+001dB,-1.62957992630919e+002°)
1.01601601601602e+005	(-2.38241718975259e+001dB,-1.63116815532888e+002°)
1.01701701701702e+005	(-2.37498630980081e+001dB,-1.63276262436857e+002°)
1.01801801801802e+005	(-2.36755236214671e+001dB,-1.63436337791997e+002°)
1.01901901901902e+005	(-2.36011533139061e+001dB,-1.63597046084012e+002°)
1.02002002002002e+005	(-2.35267520241849e+001dB,-1.63758391835422e+002°)
1.02102102102102e+005	(-2.34523196040825e+001dB,-1.63920379605838e+002°)
1.02202202202202e+005	(-2.33778559083623e+001dB,-1.64083013992241e+002°)
1.02302302302302e+005	(-2.33033607948373e+001dB,-1.64246299629261e+002°)
1.02402402402402e+005	(-2.32288341244372e+001dB,-1.64410241189456e+002°)
1.02502502502502e+005	(-2.31542757612768e+001dB,-1.64574843383592e+002°)
1.02602602602603e+005	(-2.30796855727255e+001dB,-1.64740110960917e+002°)
1.02702702702703e+005	(-2.30050634294780e+001dB,-1.64906048709449e+002°)
1.02802802802803e+005	(-2.29304092056271e+001dB,-1.65072661456243e+002°)
1.02902902902903e+005	(-2.28557227787369e+001dB,-1.65239954067678e+002°)
1.03003003003003e+005	(-2.27810040299178e+001dB,-1.65407931449731e+002°)
1.03103103103103e+005	(-2.27062528439034e+001dB,-1.65576598548255e+002°)
1.03203203203203e+005	(-2.26314691091284e+001dB,-1.65745960349253e+002°)
1.03303303303303e+005	(-2.25566527178074e+001dB,-1.65916021879157e+002°)
1.03403403403403e+005	(-2.24818035660166e+001dB,-1.66086788205102e+002°)
1.03503503503503e+005	(-2.24069215537757e+001dB,-1.66258264435196e+002°)
1.03603603603604e+005	(-2.23320065851319e+001dB,-1.66430455718800e+002°)
1.03703703703704e+005	(-2.22570585682460e+001dB,-1.66603367246792e+002°)
1.03803803803804e+005	(-2.21820774154785e+001dB,-1.66777004251839e+002°)
1.03903903903904e+005	(-2.21070630434795e+001dB,-1.66951372008670e+002°)
1.04004004004004e+005	(-2.20320153732782e+001dB,-1.67126475834335e+002°)
1.04104104104104e+005	(-2.19569343303753e+001dB,-1.67302321088476e+002°)
1.04204204204204e+005	(-2.18818198448368e+001dB,-1.67478913173586e+002°)
1.04304304304304e+005	(-2.18066718513895e+001dB,-1.67656257535275e+002°)
