Freq.	V(n004)
Step Information: X=50m  (Run: 1/10)
1.00000000000000e+05	(-4.06114197078444e+01dB,-1.05011447991222e+02°)
1.01157945425990e+05	(-4.00009801750926e+01dB,-1.05456511306497e+02°)
1.02329299228075e+05	(-3.93778796852143e+01dB,-1.05926097574970e+02°)
1.03514216667934e+05	(-3.87413830850455e+01dB,-1.06422287786984e+02°)
1.04712854805090e+05	(-3.80906951905915e+01dB,-1.06947399062881e+02°)
1.05925372517729e+05	(-3.74249543704005e+01dB,-1.07504017994940e+02°)
1.07151930523761e+05	(-3.67432252875668e+01dB,-1.08095039575352e+02°)
1.08392691402120e+05	(-3.60444906704456e+01dB,-1.08723712777418e+02°)
1.09647819614319e+05	(-3.53276419588079e+01dB,-1.09393694080279e+02°)
1.10917481526240e+05	(-3.45914686437123e+01dB,-1.10109110498793e+02°)
1.12201845430196e+05	(-3.38346460843002e+01dB,-1.10874634009239e+02°)
1.13501081567232e+05	(-3.30557215408215e+01dB,-1.11695569658719e+02°)
1.14815362149688e+05	(-3.22530981071613e+01dB,-1.12577960122256e+02°)
1.16144861384034e+05	(-3.14250161528004e+01dB,-1.13528710036035e+02°)
1.17489755493953e+05	(-3.05695317852156e+01dB,-1.14555734093721e+02°)
1.18850222743702e+05	(-2.96844917054735e+01dB,-1.15668133642209e+02°)
1.20226443461741e+05	(-2.87675036288467e+01dB,-1.16876407333947e+02°)
1.21618600064637e+05	(-2.78159011381119e+01dB,-1.18192702236695e+02°)
1.23026877081238e+05	(-2.68267013579342e+01dB,-1.19631112572756e+02°)
1.24451461177139e+05	(-2.57965530550330e+01dB,-1.21208033792933e+02°)
1.25892541179417e+05	(-2.47216714443425e+01dB,-1.22942579729598e+02°)
1.27350308101666e+05	(-2.35977536785470e+01dB,-1.24857069779933e+02°)
1.28824955169314e+05	(-2.24198648965886e+01dB,-1.26977591138844e+02°)
1.30316677845230e+05	(-2.11822772472793e+01dB,-1.29334638191149e+02°)
