Freq.	V(n004)
Step Information: X=50m  (Run: 1/10)
1.00000000000000e+05	(-4.67563714944204e+01dB,-9.73346909806860e+01°)
1.01157945425990e+05	(-4.61320286645447e+01dB,-9.75603108287252e+01°)
1.02329299228075e+05	(-4.54938122319433e+01dB,-9.77991587662785e+01°)
1.03514216667934e+05	(-4.48408444636202e+01dB,-9.80524576322643e+01°)
1.04712854805090e+05	(-4.41721663666086e+01dB,-9.83215857018067e+01°)
1.05925372517729e+05	(-4.34867274367696e+01dB,-9.86081021131663e+01°)
1.07151930523761e+05	(-4.27833737514143e+01dB,-9.89137774386622e+01°)
1.08392691402120e+05	(-4.20608340770658e+01dB,-9.92406306517908e+01°)
1.09647819614319e+05	(-4.13177035858541e+01dB,-9.95909741023158e+01°)
1.10917481526240e+05	(-4.05524246747057e+01dB,-9.99674685906578e+01°)
1.12201845430196e+05	(-3.97632642538592e+01dB,-1.00373191278433e+02°)
1.13501081567232e+05	(-3.89482867060607e+01dB,-1.00811720049504e+02°)
1.14815362149688e+05	(-3.81053215024725e+01dB,-1.01287239141388e+02°)
1.16144861384034e+05	(-3.72319241784904e+01dB,-1.01804672541520e+02°)
1.17489755493953e+05	(-3.63253289982579e+01dB,-1.02369853997284e+02°)
1.18850222743702e+05	(-3.53823911371231e+01dB,-1.02989745841640e+02°)
1.20226443461741e+05	(-3.43995155395295e+01dB,-1.03672723676876e+02°)
1.21618600064637e+05	(-3.33725686995877e+01dB,-1.04428951051972e+02°)
1.23026877081238e+05	(-3.22967683694339e+01dB,-1.05270878828250e+02°)
1.24451461177139e+05	(-3.11665444953735e+01dB,-1.06213919918470e+02°)
1.25892541179417e+05	(-2.99753623321667e+01dB,-1.07277374750253e+02°)
1.27350308101666e+05	(-2.87154954477888e+01dB,-1.08485721614024e+02°)
1.28824955169314e+05	(-2.73777318991883e+01dB,-1.09870448435008e+02°)
1.30316677845230e+05	(-2.59509909155439e+01dB,-1.11472705088759e+02°)
1.31825673855641e+05	(-2.44218198349860e+01dB,-1.13347228212318e+02°)
1.33352143216333e+05	(-2.27737324817873e+01dB,-1.15568289161513e+02°)
1.34896288259166e+05	(-2.09863439859557e+01dB,-1.18238945547591e+02°)
1.36458313658893e+05	(-1.90342645575801e+01dB,-1.21505840203571e+02°)
1.38038426460289e+05	(-1.68857703995396e+01dB,-1.25583580770634e+02°)
1.39636836105594e+05	(-1.45014745542722e+01dB,-1.30796093337494e+02°)
1.41253754462276e+05	(-1.18338620311999e+01dB,-1.37648577677522e+02°)
1.42889395851111e+05	(-8.83042578663962e+00dB,-1.46954536873874e+02°)
1.44543977074593e+05	(-5.44826279949464e+00dB,-1.60058163757189e+02°)
1.46217717445672e+05	(-1.70125485386456e+00dB,-1.79209945351160e+02°)
1.47910838816821e+05	(2.19400971188583e+00dB,1.51816256075374e+02°)
1.49623565609444e+05	(5.25546996014661e+00dB,1.07612943722774e+02°)
1.51356124843621e+05	(4.93029654681809e+00dB,5.28403779089286e+01°)
1.53108746168203e+05	(1.35828613622978e+00dB,1.13555694579668e+01°)
1.54881661891248e+05	(-2.68353912169036e+00dB,-1.36941012230968e+01°)
1.56675107010815e+05	(-6.29104868461755e+00dB,-2.94281391300100e+01°)
1.58489319246112e+05	(-9.40172382490000e+00dB,-4.00362068201983e+01°)
1.60324539069005e+05	(-1.20911809966746e+01dB,-4.76064908654327e+01°)
1.62181009735893e+05	(-1.44402767624903e+01dB,-5.32510207826194e+01°)
1.64058977319954e+05	(-1.65150124302511e+01dB,-5.76073048768521e+01°)
1.65958690743756e+05	(-1.83664824937097e+01dB,-6.10637564764611e+01°)
1.67880401812256e+05	(-2.00339679873686e+01dB,-6.38690707352253e+01°)
1.69824365246175e+05	(-2.15478850932939e+01dB,-6.61891667151285e+01°)
1.71790838715759e+05	(-2.29320658983966e+01dB,-6.81386304376690e+01°)
1.73780082874938e+05	(-2.42054289770550e+01dB,-6.97989580197562e+01°)
1.75792361395870e+05	(-2.53831876661298e+01dB,-7.12295957182034e+01°)
1.77827941003893e+05	(-2.64777263346516e+01dB,-7.24748681121140e+01°)
1.79887091512879e+05	(-2.74992415977217e+01dB,-7.35684656622015e+01°)
1.81970085860999e+05	(-2.84562169465330e+01dB,-7.45364333378053e+01°)
1.84077200146896e+05	(-2.93557784191717e+01dB,-7.53992105318525e+01°)
1.86208713666287e+05	(-3.02039644246571e+01dB,-7.61730542421799e+01°)
1.88364908948981e+05	(-3.10059328903738e+01dB,-7.68710516349279e+01°)
1.90546071796325e+05	(-3.17661221015745e+01dB,-7.75038532871530e+01°)
1.92752491319094e+05	(-3.24883769238462e+01dB,-7.80802127026508e+01°)
1.94984459975805e+05	(-3.31760488542594e+01dB,-7.86073890816055e+01°)
1.97242273611486e+05	(-3.38320760724420e+01dB,-7.90914520060554e+01°)
1.99526231496889e+05	(-3.44590480512506e+01dB,-7.95375147340537e+01°)
2.01836636368157e+05	(-3.50592581322015e+01dB,-7.99499148278757e+01°)
2.04173794466954e+05	(-3.56347466347254e+01dB,-8.03323554462856e+01°)
2.06538015581054e+05	(-3.61873364563904e+01dB,-8.06880169192741e+01°)
2.08929613085405e+05	(-3.67186626688316e+01dB,-8.10196456328985e+01°)
2.11348903983665e+05	(-3.72301972763932e+01dB,-8.13296254188453e+01°)
2.13796208950224e+05	(-3.77232700500269e+01dB,-8.16200353300916e+01°)
2.16271852372703e+05	(-3.81990861555679e+01dB,-8.18926967321209e+01°)
2.18776162394956e+05	(-3.86587411472703e+01dB,-8.21492119415722e+01°)
2.21309470960565e+05	(-3.91032337829477e+01dB,-8.23909961277701e+01°)
2.23872113856835e+05	(-3.95334770279204e+01dB,-8.26193038065772e+01°)
2.26464430759307e+05	(-3.99503075450835e+01dB,-8.28352509648981e+01°)
2.29086765276778e+05	(-4.03544939132431e+01dB,-8.30398336327394e+01°)
2.31739464996849e+05	(-4.07467437720533e+01dB,-8.32339435499782e+01°)
2.34422881531993e+05	(-4.11277100568567e+01dB,-8.34183814438596e+01°)
2.37137370566167e+05	(-4.14979964585765e+01dB,-8.35938683312272e+01°)
2.39883291901950e+05	(-4.18581622210433e+01dB,-8.37610551795916e+01°)
2.42661009508243e+05	(-4.22087263696405e+01dB,-8.39205311981553e+01°)
