time	V(N003,N006)	V(N018,N020)	I(D12)
0.000000000000000e+000	1.328810e+002	1.322144e+002	3.439477e-002
8.622300074444256e-010	1.329375e+002	1.322709e+002	3.439743e-002
2.586690022333277e-009	1.330504e+002	1.323838e+002	3.440505e-002
6.035610052110979e-009	1.332750e+002	1.326084e+002	3.442499e-002
1.293345011166638e-008	1.337205e+002	1.330539e+002	3.447569e-002
2.293345011160700e-008	1.343588e+002	1.336921e+002	3.456973e-002
3.293345011154761e-008	1.349878e+002	1.343209e+002	3.469005e-002
4.293345011148822e-008	1.356066e+002	1.349395e+002	3.483925e-002
5.293345011142883e-008	1.362150e+002	1.355475e+002	3.501747e-002
6.293345011136944e-008	1.368129e+002	1.361451e+002	3.522519e-002
7.293345011131006e-008	1.374001e+002	1.367318e+002	3.546290e-002
8.293345011125067e-008	1.379765e+002	1.373077e+002	3.573097e-002
9.293345011119128e-008	1.385420e+002	1.378726e+002	3.602943e-002
1.029334501111319e-007	1.390964e+002	1.384264e+002	3.635863e-002
1.129334501110725e-007	1.396395e+002	1.389688e+002	3.671903e-002
1.329334501109537e-007	1.406916e+002	1.400192e+002	3.753484e-002
1.429334501108943e-007	1.412002e+002	1.405269e+002	3.799105e-002
1.629334501107756e-007	1.421820e+002	1.415066e+002	3.900097e-002
1.743620215392791e-007	1.427220e+002	1.420452e+002	3.963651e-002
1.857905929677827e-007	1.432455e+002	1.425672e+002	4.031685e-002
1.972191643962862e-007	1.437526e+002	1.430727e+002	4.104199e-002
2.086477358247898e-007	1.442432e+002	1.435617e+002	4.181194e-002
2.200763072532934e-007	1.447173e+002	1.440342e+002	4.262669e-002
2.315048786817969e-007	1.451751e+002	1.444900e+002	4.348624e-002
2.429334501103005e-007	1.456163e+002	1.449294e+002	4.439060e-002
2.529334501102411e-007	1.459880e+002	1.452993e+002	4.522061e-002
2.629334501101817e-007	1.463464e+002	1.456558e+002	4.608626e-002
2.729334501101223e-007	1.466914e+002	1.459989e+002	4.698742e-002
