Freq.	V(N004,N003)
1.00000000000000e+005	(-1.51258166556337e+001dB,-4.33156934496790e+001°)
1.01010101010101e+005	(-1.47198580624985e+001dB,-4.44074975141638e+001°)
1.02020202020202e+005	(-1.43114984812540e+001dB,-4.55375320230108e+001°)
1.03030303030303e+005	(-1.39006874297461e+001dB,-4.67077905401280e+001°)
1.04040404040404e+005	(-1.34873848163138e+001dB,-4.79203861642647e+001°)
1.05050505050505e+005	(-1.30715625534577e+001dB,-4.91775579870188e+001°)
1.06060606060606e+005	(-1.26532064075741e+001dB,-5.04816774920107e+001°)
1.07070707070707e+005	(-1.22323181134568e+001dB,-5.18352547577907e+001°)
1.08080808080808e+005	(-1.18089177844532e+001dB,-5.32409442866692e+001°)
1.09090909090909e+005	(-1.13830466509631e+001dB,-5.47015502324207e+001°)
1.10101010101010e+005	(-1.09547701611142e+001dB,-5.62200307402962e+001°)
1.11111111111111e+005	(-1.05241814775666e+001dB,-5.77995010415695e+001°)
1.12121212121212e+005	(-1.00914054029885e+001dB,-5.94432348606502e+001°)
1.13131313131313e+005	(-9.65660276316644e+000dB,-6.11546635946289e+001°)
1.14141414141414e+005	(-9.21997527012717e+000dB,-6.29373726126343e+001°)
1.15151515151515e+005	(-8.78177087703506e+000dB,-6.47950938962409e+001°)
1.16161616161616e+005	(-8.34228962072397e+000dB,-6.67316941047125e+001°)
1.17171717171717e+005	(-7.90188992507062e+000dB,-6.87511570048364e+001°)
1.18181818181818e+005	(-7.46099530736891e+000dB,-7.08575590626824e+001°)
1.19191919191919e+005	(-7.02010138871225e+000dB,-7.30550368666243e+001°)
1.20202020202020e+005	(-6.57978305652353e+000dB,-7.53477449561748e+001°)
1.21212121212121e+005	(-6.14070156159560e+000dB,-7.77398025956975e+001°)
1.22222222222222e+005	(-5.70361125298821e+000dB,-8.02352280902405e+001°)
1.23232323232323e+005	(-5.26936556304310e+000dB,-8.28378594354059e+001°)
1.24242424242424e+005	(-4.83892175511008e+000dB,-8.55512604742666e+001°)
1.25252525252525e+005	(-4.41334384507470e+000dB,-8.83786123550128e+001°)
1.26262626262626e+005	(-3.99380301539216e+000dB,-9.13225909922356e+001°)
1.27272727272727e+005	(-3.58157477290808e+000dB,-9.43852324654403e+001°)
1.28282828282828e+005	(-3.17803208006414e+000dB,-9.75677898405565e+001°)
1.29292929292929e+005	(-2.78463373771447e+000dB,-1.00870586720648e+002°)
1.30303030303030e+005	(-2.40290744221495e+000dB,-1.04292874792959e+002°)
1.31313131313131e+005	(-2.03442720110263e+000dB,-1.07832704523119e+002°)
1.32323232323232e+005	(-1.68078518080074e+000dB,-1.11486819644642e+002°)
1.33333333333333e+005	(-1.34355856722556e+000dB,-1.15250586825516e+002°)
1.34343434343434e+005	(-1.02427261000352e+000dB,-1.19117971473787e+002°)
1.35353535353535e+005	(-7.24361627014864e-001dB,-1.23081568755877e+002°)
1.36363636363636e+005	(-4.45130275300585e-001dB,-1.27132695413710e+002°)
1.37373737373737e+005	(-1.87717740605486e-001dB,-1.31261543031492e+002°)
1.38383838383838e+005	(4.69324368897786e-002dB,-1.35457387509137e+002°)
1.39393939393939e+005	(2.58094461417900e-001dB,-1.39708843443599e+002°)
1.40404040404040e+005	(4.45272491709567e-001dB,-1.44004146877619e+002°)
1.41414141414141e+005	(6.08202056445662e-001dB,-1.48331446393833e+002°)
1.42424242424242e+005	(7.46840829680089e-001dB,-1.52679081493867e+002°)
1.43434343434343e+005	(8.61349969025777e-001dB,-1.57035828843119e+002°)
1.44444444444444e+005	(9.52068090948439e-001dB,-1.61391101004674e+002°)
1.45454545454545e+005	(1.01948052637218e+000dB,-1.65735088009748e+002°)
1.46464646464646e+005	(1.06418670369472e+000dB,-1.70058838541170e+002°)
1.47474747474747e+005	(1.08686835350807e+000dB,-1.74354283641591e+002°)
1.48484848484848e+005	(1.08826078709858e+000dB,-1.78614210886083e+002°)
1.49494949494949e+005	(1.06912887199166e+000dB,1.77167799622483e+002°)
1.50505050505050e+005	(1.03024862436886e+000dB,1.72997464427845e+002°)
1.51515151515151e+005	(9.72394659383613e-001dB,1.68879898048971e+002°)
1.52525252525252e+005	(8.96333159706351e-001dB,1.64819714757337e+002°)
1.53535353535353e+005	(8.02819583587089e-001dB,1.60821121312316e+002°)
1.54545454545454e+005	(6.92600052543599e-001dB,1.56887993865290e+002°)
1.55555555555555e+005	(5.66415230473661e-001dB,1.53023935061231e+002°)
1.56565656565656e+005	(4.25005511302557e-001dB,1.49232310009649e+002°)
1.57575757575757e+005	(2.69116443828556e-001dB,1.45516262057135e+002°)
1.58585858585858e+005	(9.95035093582519e-002dB,1.41878711043168e+002°)
1.59595959595959e+005	(-8.30644009849304e-002dB,1.38322337901779e+002°)
1.60606060606060e+005	(-2.77803215551966e-001dB,1.34849560086064e+002°)
1.61616161616161e+005	(-4.83913786790807e-001dB,1.31462502390847e+002°)
1.62626262626262e+005	(-7.00583831284378e-001dB,1.28162967418048e+002°)
1.63636363636363e+005	(-9.26991499015890e-001dB,1.24952409279821e+002°)
1.64646464646464e+005	(-1.16231024885924e+000dB,1.21831913286588e+002°)
1.65656565656565e+005	(-1.40571464095783e+000dB,1.18802183437308e+002°)
1.66666666666666e+005	(-1.65638663670599e+000dB,1.15863538619512e+002°)
1.67676767676767e+005	(-1.91352201565310e+000dB,1.13015917615760e+002°)
1.68686868686868e+005	(-2.17633656585104e+000dB,1.10258892353453e+002°)
1.69696969696969e+005	(-2.44407176941738e+000dB,1.07591688351683e+002°)
1.70707070707070e+005	(-2.71599977856023e+000dB,1.05013211014243e+002°)
1.71717171717171e+005	(-2.99142755078901e+000dB,1.02522076276244e+002°)
1.72727272727272e+005	(-3.26970007939290e+000dB,1.00116644105690e+002°)
1.73737373737373e+005	(-3.55020271256106e+000dB,9.77950534580700e+001°)
1.74747474747474e+005	(-3.83236259978567e+000dB,9.55552574482069e+001°)
1.75757575757575e+005	(-4.11564933708224e+000dB,9.33950577089975e+001°)
1.76767676767676e+005	(-4.39957490389944e+000dB,9.13121371261690e+001°)
1.77777777777777e+005	(-4.68369299591947e+000dB,8.93040903527830e+001°)
1.78787878787878e+005	(-4.96759786117323e+000dB,8.73684517038305e+001°)
1.79797979797979e+005	(-5.25092274398203e+000dB,8.55027202021001e+001°)
1.80808080808080e+005	(-5.53333803403106e+000dB,8.37043816880510e+001°)
1.81818181818181e+005	(-5.81454920797296e+000dB,8.19709280183406e+001°)
1.82828282828282e+005	(-6.09429463965160e+000dB,8.02998734617636e+001°)
1.83838383838383e+005	(-6.37234334332084e+000dB,7.86887684607861e+001°)
1.84848484848484e+005	(-6.64849270282456e+000dB,7.71352109653565e+001°)
1.85858585858585e+005	(-6.92256622908228e+000dB,7.56368555671318e+001°)
1.86868686868686e+005	(-7.19441137866995e+000dB,7.41914206703731e+001°)
1.87878787878787e+005	(-7.46389745793452e+000dB,7.27966939338609e+001°)
1.88888888888888e+005	(-7.73091362996300e+000dB,7.14505362091101e+001°)
1.89898989898989e+005	(-7.99536703579568e+000dB,7.01508841862605e+001°)
1.90909090909090e+005	(-8.25718103643801e+000dB,6.88957519421835e+001°)
1.91919191919191e+005	(-8.51629357837186e+000dB,6.76832315669959e+001°)
1.92929292929292e+005	(-8.77265568226609e+000dB,6.65114930264049e+001°)
1.93939393939393e+005	(-9.02623005231332e+000dB,6.53787833988912e+001°)
1.94949494949494e+005	(-9.27698980195449e+000dB,6.42834256091908e+001°)
1.95959595959595e+005	(-9.52491729058647e+000dB,6.32238167631977e+001°)
1.96969696969696e+005	(-9.77000306508347e+000dB,6.21984261744639e+001°)
1.97979797979797e+005	(-1.00122448995171e+001dB,6.12057931590020e+001°)
1.98989898989898e+005	(-1.02516469262631e+001dB,6.02445246630924e+001°)
2.00000000000000e+005	(-1.04882188516715e+001dB,5.93132927782199e+001°)
