Freq.	V(N005,N003)
1.00000000000000e+005	(-2.21273805087036e+001dB,5.77273998459759e+001°)
1.01010101010101e+005	(-2.16226953004690e+001dB,5.69328615896683e+001°)
1.02020202020202e+005	(-2.11151035631275e+001dB,5.61098834151881e+001°)
1.03030303030303e+005	(-2.06044014795414e+001dB,5.52567803750526e+001°)
1.04040404040404e+005	(-2.00903823098106e+001dB,5.43717336404812e+001°)
1.05050505050505e+005	(-1.95728365840185e+001dB,5.34527771933499e+001°)
1.06060606060606e+005	(-1.90515524153814e+001dB,5.24977829894456e+001°)
1.07070707070707e+005	(-1.85263159641333e+001dB,5.15044444080215e+001°)
1.08080808080808e+005	(-1.79969120899078e+001dB,5.04702577834514e+001°)
1.09090909090909e+005	(-1.74631252396141e+001dB,4.93925017956662e+001°)
1.10101010101010e+005	(-1.69247406292841e+001dB,4.82682144782688e+001°)
1.11111111111111e+005	(-1.63815457926285e+001dB,4.70941675886784e+001°)
1.12121212121212e+005	(-1.58333325867291e+001dB,4.58668380762329e+001°)
1.13131313131313e+005	(-1.52798997671968e+001dB,4.45823763862120e+001°)
1.14141414141414e+005	(-1.47210562721507e+001dB,4.32365713565175e+001°)
1.15151515151515e+005	(-1.41566253875823e+001dB,4.18248115084111e+001°)
1.16161616161616e+005	(-1.35864500072046e+001dB,4.03420426163169e+001°)
1.17171717171717e+005	(-1.30103992489385e+001dB,3.87827215827397e+001°)
1.18181818181818e+005	(-1.24283767488010e+001dB,3.71407668687348e+001°)
1.19191919191919e+005	(-1.18403310217797e+001dB,3.54095060738832e+001°)
1.20202020202020e+005	(-1.12462683580123e+001dB,3.35816217711559e+001°)
1.21212121212121e+005	(-1.06462688092359e+001dB,3.16490974465648e+001°)
1.22222222222222e+005	(-1.00405059099203e+001dB,2.96031664559848e+001°)
1.23232323232323e+005	(-9.42927085954899e+000dB,2.74342683986744e+001°)
1.24242424242424e+005	(-8.81300194875654e+000dB,2.51320193456986e+001°)
1.25252525252525e+005	(-8.19232001157826e+000dB,2.26852050893669e+001°)
1.26262626262626e+005	(-7.56807057980552e+000dB,2.00818101208364e+001°)
1.27272727272727e+005	(-6.94137312928941e+000dB,1.73090994559828e+001°)
1.28282828282828e+005	(-6.31367723663328e+000dB,1.43537756137282e+001°)
1.29292929292929e+005	(-5.68682446909632e+000dB,1.12022385885661e+001°)
1.30303030303030e+005	(-5.06311324720459e+000dB,7.84098157980575e+000°)
1.31313131313131e+005	(-4.44536159353429e+000dB,4.25715771506219e+000°)
1.32323232323232e+005	(-3.83695954098723e+000dB,4.39350040932297e-001°)
1.33333333333333e+005	(-3.24189916760730e+000dB,-3.62143562150709e+000°)
1.34343434343434e+005	(-2.66476632002491e+000dB,-7.93056283143571e+000°)
1.35353535353535e+005	(-2.11067529069734e+000dB,-1.24883961476565e+001°)
1.36363636363636e+005	(-1.58512797372931e+000dB,-1.72888926614386e+001°)
1.37373737373737e+005	(-1.09378476292431e+000dB,-2.23183509584759e+001°)
1.38383838383838e+005	(-6.42147646627116e-001dB,-2.75545819963531e+001°)
1.39393939393939e+005	(-2.35176493402200e-001dB,-3.29667897551763e+001°)
1.40404040404040e+005	(1.23116486307297e-001dB,-3.85163935802442e+001°)
1.41414141414141e+005	(4.30029746922875e-001dB,-4.41588716304930e+001°)
1.42424242424242e+005	(6.84423565936841e-001dB,-4.98464791237052e+001°)
1.43434343434343e+005	(8.86805792924687e-001dB,-5.55314654614652e+001°)
1.44444444444444e+005	(1.03923289341679e+000dB,-6.11692707465992e+001°)
1.45454545454545e+005	(1.14504838091340e+000dB,-6.67211874833943e+001°)
1.46464646464646e+005	(1.20851405976110e+000dB,-7.21561250517237e+001°)
1.47474747474747e+005	(1.23440387389948e+000dB,-7.74513468702661e+001°)
1.48484848484848e+005	(1.22762399546594e+000dB,-8.25922730866361e+001°)
1.49494949494949e+005	(1.19290280027140e+000dB,-8.75715883662589e+001°)
1.50505050505050e+005	(1.13457037661280e+000dB,-9.23879446041279e+001°)
1.51515151515151e+005	(1.05642703988258e+000dB,-9.70445213224654e+001°)
1.52525252525252e+005	(9.61687594092208e-001dB,-1.01547638223193e+002°)
1.53535353535353e+005	(8.52982705197367e-001dB,-1.05905537701849e+002°)
1.54545454545454e+005	(7.32398686166771e-001dB,-1.10127390348213e+002°)
1.55555555555555e+005	(6.01539830812367e-001dB,-1.14222531164245e+002°)
1.56565656565656e+005	(4.61601273803609e-001dB,-1.18199907697438e+002°)
1.57575757575757e+005	(3.13444044334455e-001dB,-1.22067709059453e+002°)
1.58585858585858e+005	(1.57666995047158e-001dB,-1.25833141803198e+002°)
1.59595959595959e+005	(-5.32749364819622e-003dB,-1.29502320684951e+002°)
1.60606060606060e+005	(-1.75275622219080e-001dB,-1.33080246564339e+002°)
1.61616161616161e+005	(-3.52002713559544e-001dB,-1.36570848385817e+002°)
1.62626262626262e+005	(-5.35382215772050e-001dB,-1.39977070487290e+002°)
1.63636363636363e+005	(-7.25302843186448e-001dB,-1.43300990085307e+002°)
1.64646464646464e+005	(-9.21643323261669e-001dB,-1.46543952684457e+002°)
1.65656565656565e+005	(-1.12425408651631e+000dB,-1.49706715481867e+002°)
1.66666666666666e+005	(-1.33294514959724e+000dB,-1.52789590752515e+002°)
1.67676767676767e+005	(-1.54747938195456e+000dB,-1.55792582853926e+002°)
1.68686868686868e+005	(-1.76757031000256e+000dB,-1.58715513981565e+002°)
1.69696969696969e+005	(-1.99288360035422e+000dB,-1.61558135190932e+002°)
1.70707070707070e+005	(-2.22304137816313e+000dB,-1.64320220489439e+002°)
1.71717171717171e+005	(-2.45762857869513e+000dB,-1.67001642972527e+002°)
1.72727272727272e+005	(-2.69620059816119e+000dB,-1.69602433003404e+002°)
1.73737373737373e+005	(-2.93829159895757e+000dB,-1.72122819283389e+002°)
1.74747474747474e+005	(-3.18342292812127e+000dB,-1.74563254309518e+002°)
1.75757575757575e+005	(-3.43111121838968e+000dB,-1.76924426161614e+002°)
1.76767676767676e+005	(-3.68087585128894e+000dB,-1.79207258811854e+002°)
1.77777777777777e+005	(-3.93224556474836e+000dB,1.78587096771360e+002°)
1.78787878787878e+005	(-4.18476407905864e+000dB,1.76457278515473e+002°)
1.79797979797979e+005	(-4.43799469159076e+000dB,1.74401734089174e+002°)
1.80808080808080e+005	(-4.69152385135556e+000dB,1.72418744895376e+002°)
1.81818181818181e+005	(-4.94496376945118e+000dB,1.70506451680635e+002°)
1.82828282828282e+005	(-5.19795415203619e+000dB,1.68662880515524e+002°)
1.83838383838383e+005	(-5.45016316067392e+000dB,1.66885968177065e+002°)
1.84848484848484e+005	(-5.70128771302347e+000dB,1.65173586217800e+002°)
1.85858585858585e+005	(-5.95105323724791e+000dB,1.63523563228139e+002°)
1.86868686868686e+005	(-6.19921298834046e+000dB,1.61933704985450e+002°)
1.87878787878787e+005	(-6.44554702572280e+000dB,1.60401812334721e+002°)
1.88888888888888e+005	(-6.68986094049323e+000dB,1.58925696763474e+002°)
1.89898989898989e+005	(-6.93198440879721e+000dB,1.57503193721614e+002°)
1.90909090909090e+005	(-7.17176963584347e+000dB,1.56132173799216e+002°)
1.91919191919191e+005	(-7.40908974370140e+000dB,1.54810551916364e+002°)
1.92929292929292e+005	(-7.64383714557536e+000dB,1.53536294703288e+002°)
1.93939393939393e+005	(-7.87592193996455e+000dB,1.52307426260146e+002°)
1.94949494949494e+005	(-8.10527035006609e+000dB,1.51122032487070e+002°)
1.95959595959595e+005	(-8.33182322695081e+000dB,1.49978264169448e+002°)
1.96969696969696e+005	(-8.55553462936745e+000dB,1.48874338993081e+002°)
1.97979797979797e+005	(-8.77637048840866e+000dB,1.47808542650570e+002°)
1.98989898989898e+005	(-8.99430736157590e+000dB,1.46779229185478e+002°)
2.00000000000000e+005	(-9.20933127788866e+000dB,1.45784820705419e+002°)
