Freq.	V(N010,N011)
1.00000000000000e+005	(-2.18597310325879e+001dB,-1.27060245329416e+002°)
1.00200200200200e+005	(-2.17707206412884e+001dB,-1.27207061623443e+002°)
1.00400400400400e+005	(-2.16816648511837e+001dB,-1.27354629414788e+002°)
1.00600600600601e+005	(-2.15925624774846e+001dB,-1.27502955595476e+002°)
1.00800800800801e+005	(-2.15034123307347e+001dB,-1.27652047147078e+002°)
1.01001001001001e+005	(-2.14142132167062e+001dB,-1.27801911142471e+002°)
1.01201201201201e+005	(-2.13249639362958e+001dB,-1.27952554747642e+002°)
1.01401401401401e+005	(-2.12356632854206e+001dB,-1.28103985223542e+002°)
1.01601601601602e+005	(-2.11463100549154e+001dB,-1.28256209927989e+002°)
1.01801801801802e+005	(-2.10569030304297e+001dB,-1.28409236317619e+002°)
1.02002002002002e+005	(-2.09674409923265e+001dB,-1.28563071949885e+002°)
1.02202202202202e+005	(-2.08779227155811e+001dB,-1.28717724485120e+002°)
1.02402402402402e+005	(-2.07883469696810e+001dB,-1.28873201688640e+002°)
1.02602602602603e+005	(-2.06987125185279e+001dB,-1.29029511432912e+002°)
1.02802802802803e+005	(-2.06090181203399e+001dB,-1.29186661699771e+002°)
1.03003003003003e+005	(-2.05192625275558e+001dB,-1.29344660582697e+002°)
1.03203203203203e+005	(-2.04294444867407e+001dB,-1.29503516289154e+002°)
1.03403403403403e+005	(-2.03395627384938e+001dB,-1.29663237142982e+002°)
1.03603603603604e+005	(-2.02496160173580e+001dB,-1.29823831586855e+002°)
1.03803803803804e+005	(-2.01596030517311e+001dB,-1.29985308184799e+002°)
1.04004004004004e+005	(-2.00695225637804e+001dB,-1.30147675624772e+002°)
1.04204204204204e+005	(-1.99793732693590e+001dB,-1.30310942721316e+002°)
1.04404404404404e+005	(-1.98891538779251e+001dB,-1.30475118418261e+002°)
1.04604604604605e+005	(-1.97988630924641e+001dB,-1.30640211791512e+002°)
1.04804804804805e+005	(-1.97084996094145e+001dB,-1.30806232051892e+002°)
1.05005005005005e+005	(-1.96180621185958e+001dB,-1.30973188548063e+002°)
1.05205205205205e+005	(-1.95275493031416e+001dB,-1.31141090769509e+002°)
1.05405405405405e+005	(-1.94369598394354e+001dB,-1.31309948349601e+002°)
1.05605605605606e+005	(-1.93462923970508e+001dB,-1.31479771068727e+002°)
1.05805805805806e+005	(-1.92555456386964e+001dB,-1.31650568857500e+002°)
1.06006006006006e+005	(-1.91647182201642e+001dB,-1.31822351800044e+002°)
1.06206206206206e+005	(-1.90738087902845e+001dB,-1.31995130137349e+002°)
1.06406406406406e+005	(-1.89828159908840e+001dB,-1.32168914270712e+002°)
1.06606606606607e+005	(-1.88917384567507e+001dB,-1.32343714765256e+002°)
1.06806806806807e+005	(-1.88005748156036e+001dB,-1.32519542353523e+002°)
1.07007007007007e+005	(-1.87093236880690e+001dB,-1.32696407939155e+002°)
1.07207207207207e+005	(-1.86179836876622e+001dB,-1.32874322600656e+002°)
1.07407407407407e+005	(-1.85265534207764e+001dB,-1.33053297595240e+002°)
1.07607607607608e+005	(-1.84350314866780e+001dB,-1.33233344362757e+002°)
1.07807807807808e+005	(-1.83434164775092e+001dB,-1.33414474529712e+002°)
1.08008008008008e+005	(-1.82517069782980e+001dB,-1.33596699913373e+002°)
1.08208208208208e+005	(-1.81599015669757e+001dB,-1.33780032525957e+002°)
1.08408408408408e+005	(-1.80679988144030e+001dB,-1.33964484578919e+002°)
1.08608608608608e+005	(-1.79759972844038e+001dB,-1.34150068487325e+002°)
1.08808808808809e+005	(-1.78838955338085e+001dB,-1.34336796874315e+002°)
1.09009009009009e+005	(-1.77916921125054e+001dB,-1.34524682575663e+002°)
1.09209209209209e+005	(-1.76993855635028e+001dB,-1.34713738644437e+002°)
1.09409409409409e+005	(-1.76069744229998e+001dB,-1.34903978355740e+002°)
1.09609609609609e+005	(-1.75144572204676e+001dB,-1.35095415211564e+002°)
1.09809809809810e+005	(-1.74218324787415e+001dB,-1.35288062945733e+002°)
1.10010010010010e+005	(-1.73290987141237e+001dB,-1.35481935528950e+002°)
1.10210210210210e+005	(-1.72362544364970e+001dB,-1.35677047173939e+002°)
1.10410410410410e+005	(-1.71432981494510e+001dB,-1.35873412340700e+002°)
1.10610610610610e+005	(-1.70502283504192e+001dB,-1.36071045741857e+002°)
1.10810810810811e+005	(-1.69570435308300e+001dB,-1.36269962348117e+002°)
1.11011011011011e+005	(-1.68637421762692e+001dB,-1.36470177393837e+002°)
1.11211211211211e+005	(-1.67703227666566e+001dB,-1.36671706382693e+002°)
1.11411411411411e+005	(-1.66767837764363e+001dB,-1.36874565093466e+002°)
1.11611611611611e+005	(-1.65831236747811e+001dB,-1.37078769585936e+002°)
1.11811811811812e+005	(-1.64893409258113e+001dB,-1.37284336206889e+002°)
1.12012012012012e+005	(-1.63954339888293e+001dB,-1.37491281596237e+002°)
1.12212212212212e+005	(-1.63014013185689e+001dB,-1.37699622693262e+002°)
1.12412412412412e+005	(-1.62072413654618e+001dB,-1.37909376742973e+002°)
1.12612612612612e+005	(-1.61129525759196e+001dB,-1.38120561302580e+002°)
1.12812812812813e+005	(-1.60185333926339e+001dB,-1.38333194248102e+002°)
1.13013013013013e+005	(-1.59239822548936e+001dB,-1.38547293781091e+002°)
1.13213213213213e+005	(-1.58292975989206e+001dB,-1.38762878435482e+002°)
1.13413413413413e+005	(-1.57344778582247e+001dB,-1.38979967084583e+002°)
1.13613613613613e+005	(-1.56395214639771e+001dB,-1.39198578948184e+002°)
1.13813813813814e+005	(-1.55444268454056e+001dB,-1.39418733599810e+002°)
1.14014014014014e+005	(-1.54491924302087e+001dB,-1.39640450974107e+002°)
1.14214214214214e+005	(-1.53538166449927e+001dB,-1.39863751374368e+002°)
1.14414414414414e+005	(-1.52582979157305e+001dB,-1.40088655480201e+002°)
1.14614614614614e+005	(-1.51626346682431e+001dB,-1.40315184355349e+002°)
1.14814814814815e+005	(-1.50668253287052e+001dB,-1.40543359455646e+002°)
1.15015015015015e+005	(-1.49708683241756e+001dB,-1.40773202637143e+002°)
1.15215215215215e+005	(-1.48747620831525e+001dB,-1.41004736164369e+002°)
1.15415415415415e+005	(-1.47785050361558e+001dB,-1.41237982718770e+002°)
1.15615615615615e+005	(-1.46820956163362e+001dB,-1.41472965407297e+002°)
1.15815815815816e+005	(-1.45855322601130e+001dB,-1.41709707771164e+002°)
1.16016016016016e+005	(-1.44888134078414e+001dB,-1.41948233794782e+002°)
1.16216216216216e+005	(-1.43919375045098e+001dB,-1.42188567914858e+002°)
1.16416416416416e+005	(-1.42949030004698e+001dB,-1.42430735029676e+002°)
1.16616616616616e+005	(-1.41977083521978e+001dB,-1.42674760508560e+002°)
1.16816816816817e+005	(-1.41003520230922e+001dB,-1.42920670201527e+002°)
1.17017017017017e+005	(-1.40028324843051e+001dB,-1.43168490449120e+002°)
1.17217217217217e+005	(-1.39051482156121e+001dB,-1.43418248092452e+002°)
1.17417417417417e+005	(-1.38072977063197e+001dB,-1.43669970483436e+002°)
1.17617617617617e+005	(-1.37092794562139e+001dB,-1.43923685495224e+002°)
1.17817817817818e+005	(-1.36110919765496e+001dB,-1.44179421532860e+002°)
1.18018018018018e+005	(-1.35127337910851e+001dB,-1.44437207544140e+002°)
1.18218218218218e+005	(-1.34142034371607e+001dB,-1.44697073030695e+002°)
1.18418418418418e+005	(-1.33154994668262e+001dB,-1.44959048059293e+002°)
1.18618618618618e+005	(-1.32166204480170e+001dB,-1.45223163273375e+002°)
1.18818818818819e+005	(-1.31175649657832e+001dB,-1.45489449904822e+002°)
1.19019019019019e+005	(-1.30183316235719e+001dB,-1.45757939785955e+002°)
1.19219219219219e+005	(-1.29189190445668e+001dB,-1.46028665361787e+002°)
1.19419419419419e+005	(-1.28193258730871e+001dB,-1.46301659702512e+002°)
1.19619619619619e+005	(-1.27195507760483e+001dB,-1.46576956516253e+002°)
1.19819819819820e+005	(-1.26195924444878e+001dB,-1.46854590162063e+002°)
1.20020020020020e+005	(-1.25194495951587e+001dB,-1.47134595663186e+002°)
1.20220220220220e+005	(-1.24191209721945e+001dB,-1.47417008720585e+002°)
1.20420420420420e+005	(-1.23186053488484e+001dB,-1.47701865726733e+002°)
1.20620620620620e+005	(-1.22179015293105e+001dB,-1.47989203779678e+002°)
1.20820820820821e+005	(-1.21170083506069e+001dB,-1.48279060697387e+002°)
1.21021021021021e+005	(-1.20159246845842e+001dB,-1.48571475032354e+002°)
1.21221221221221e+005	(-1.19146494399835e+001dB,-1.48866486086505e+002°)
1.21421421421421e+005	(-1.18131815646093e+001dB,-1.49164133926364e+002°)
1.21621621621621e+005	(-1.17115200475953e+001dB,-1.49464459398522e+002°)
1.21821821821822e+005	(-1.16096639217751e+001dB,-1.49767504145370e+002°)
1.22022022022022e+005	(-1.15076122661598e+001dB,-1.50073310621123e+002°)
1.22222222222222e+005	(-1.14053642085294e+001dB,-1.50381922108129e+002°)
1.22422422422422e+005	(-1.13029189281433e+001dB,-1.50693382733445e+002°)
1.22622622622622e+005	(-1.12002756585746e+001dB,-1.51007737485700e+002°)
1.22822822822822e+005	(-1.10974336906751e+001dB,-1.51325032232227e+002°)
1.23023023023023e+005	(-1.09943923756774e+001dB,-1.51645313736456e+002°)
1.23223223223223e+005	(-1.08911511284391e+001dB,-1.51968629675578e+002°)
1.23423423423423e+005	(-1.07877094308377e+001dB,-1.52295028658449e+002°)
1.23623623623623e+005	(-1.06840668353225e+001dB,-1.52624560243746e+002°)
1.23823823823823e+005	(-1.05802229686302e+001dB,-1.52957274958351e+002°)
1.24024024024024e+005	(-1.04761775356735e+001dB,-1.53293224315948e+002°)
1.24224224224224e+005	(-1.03719303236086e+001dB,-1.53632460835831e+002°)
1.24424424424424e+005	(-1.02674812060927e+001dB,-1.53975038061890e+002°)
1.24624624624624e+005	(-1.01628301477369e+001dB,-1.54321010581768e+002°)
1.24824824824824e+005	(-1.00579772087667e+001dB,-1.54670434046152e+002°)
1.25025025025025e+005	(-9.95292254989666e+000dB,-1.55023365188191e+002°)
1.25225225225225e+005	(-9.84766643743160e+000dB,-1.55379861843000e+002°)
1.25425425425425e+005	(-9.74220924860182e+000dB,-1.55739982967211e+002°)
1.25625625625625e+005	(-9.63655147714478e+000dB,-1.56103788658565e+002°)
1.25825825825825e+005	(-9.53069373914276e+000dB,-1.56471340175466e+002°)
1.26026026026026e+005	(-9.42463677912839e+000dB,-1.56842699956490e+002°)
1.26226226226226e+005	(-9.31838147646895e+000dB,-1.57217931639779e+002°)
1.26426426426426e+005	(-9.21192885204159e+000dB,-1.57597100082273e+002°)
1.26626626626626e+005	(-9.10528007521170e+000dB,-1.57980271378727e+002°)
1.26826826826826e+005	(-8.99843647112647e+000dB,-1.58367512880444e+002°)
1.27027027027027e+005	(-8.89139952833717e+000dB,-1.58758893213661e+002°)
1.27227227227227e+005	(-8.78417090676246e+000dB,-1.59154482297505e+002°)
1.27427427427427e+005	(-8.67675244600686e+000dB,-1.59554351361444e+002°)
1.27627627627627e+005	(-8.56914617404752e+000dB,-1.59958572962139e+002°)
1.27827827827827e+005	(-8.46135431630363e+000dB,-1.60367220999608e+002°)
1.28028028028028e+005	(-8.35337930510211e+000dB,-1.60780370732581e+002°)
1.28228228228228e+005	(-8.24522378955436e+000dB,-1.61198098792955e+002°)
1.28428428428428e+005	(-8.13689064585799e+000dB,-1.61620483199202e+002°)
1.28628628628628e+005	(-8.02838298803856e+000dB,-1.62047603368617e+002°)
1.28828828828828e+005	(-7.91970417914516e+000dB,-1.62479540128249e+002°)
1.29029029029029e+005	(-7.81085784291499e+000dB,-1.62916375724372e+002°)
1.29229229229229e+005	(-7.70184787592058e+000dB,-1.63358193830317e+002°)
1.29429429429429e+005	(-7.59267846021445e+000dB,-1.63805079552501e+002°)
1.29629629629629e+005	(-7.48335407648429e+000dB,-1.64257119434451e+002°)
1.29829829829829e+005	(-7.37387951773293e+000dB,-1.64714401458617e+002°)
1.30030030030030e+005	(-7.26425990349507e+000dB,-1.65177015045771e+002°)
1.30230230230230e+005	(-7.15450069460383e+000dB,-1.65645051051731e+002°)
1.30430430430430e+005	(-7.04460770851802e+000dB,-1.66118601761185e+002°)
1.30630630630630e+005	(-6.93458713522080e+000dB,-1.66597760878328e+002°)
1.30830830830830e+005	(-6.82444555369903e+000dB,-1.67082623514040e+002°)
1.31031031031031e+005	(-6.71418994901134e+000dB,-1.67573286169300e+002°)
1.31231231231231e+005	(-6.60382772995132e+000dB,-1.68069846714508e+002°)
1.31431431431431e+005	(-6.49336674731031e+000dB,-1.68572404364384e+002°)
1.31631631631631e+005	(-6.38281531274284e+000dB,-1.69081059648077e+002°)
1.31831831831831e+005	(-6.27218221823422e+000dB,-1.69595914374105e+002°)
1.32032032032032e+005	(-6.16147675616878e+000dB,-1.70117071589726e+002°)
1.32232232232232e+005	(-6.05070873999247e+000dB,-1.70644635534314e+002°)
1.32432432432432e+005	(-5.93988852546195e+000dB,-1.71178711586296e+002°)
1.32632632632632e+005	(-5.82902703246694e+000dB,-1.71719406203183e+002°)
1.32832832832832e+005	(-5.71813576740991e+000dB,-1.72266826854211e+002°)
1.33033033033033e+005	(-5.60722684612141e+000dB,-1.72821081945071e+002°)
1.33233233233233e+005	(-5.49631301728514e+000dB,-1.73382280734215e+002°)
1.33433433433433e+005	(-5.38540768634057e+000dB,-1.73950533240161e+002°)
1.33633633633633e+005	(-5.27452493982551e+000dB,-1.74525950139256e+002°)
1.33833833833833e+005	(-5.16367957011357e+000dB,-1.75108642653275e+002°)
1.34034034034034e+005	(-5.05288710049488e+000dB,-1.75698722426274e+002°)
1.34234234234234e+005	(-4.94216381054008e+000dB,-1.76296301390062e+002°)
1.34434434434434e+005	(-4.83152676167892e+000dB,-1.76901491617661e+002°)
1.34634634634634e+005	(-4.72099382291638e+000dB,-1.77514405164101e+002°)
1.34834834834834e+005	(-4.61058369659790e+000dB,-1.78135153893915e+002°)
1.35035035035035e+005	(-4.50031594412634e+000dB,-1.78763849294658e+002°)
1.35235235235235e+005	(-4.39021101152054e+000dB,-1.79400602275809e+002°)
1.35435435435435e+005	(-4.28029025469416e+000dB,1.79954477047583e+002°)
1.35635635635635e+005	(-4.17057596432039e+000dB,1.79301279587167e+002°)
1.35835835835835e+005	(-4.06109139013520e+000dB,1.78639697530056e+002°)
1.36036036036036e+005	(-3.95186076451667e+000dB,1.77969624604704e+002°)
1.36236236236236e+005	(-3.84290932516510e+000dB,1.77290956364427e+002°)
1.36436436436436e+005	(-3.73426333669147e+000dB,1.76603590489081e+002°)
1.36636636636636e+005	(-3.62595011090791e+000dB,1.75907427105351e+002°)
1.36836836836836e+005	(-3.51799802559680e+000dB,1.75202369126031e+002°)
1.37037037037037e+005	(-3.41043654151980e+000dB,1.74488322608601e+002°)
1.37237237237237e+005	(-3.30329621741119e+000dB,1.73765197133319e+002°)
1.37437437437437e+005	(-3.19660872268438e+000dB,1.73032906200925e+002°)
1.37637637637637e+005	(-3.09040684756467e+000dB,1.72291367649962e+002°)
1.37837837837837e+005	(-2.98472451034552e+000dB,1.71540504093536e+002°)
1.38038038038037e+005	(-2.87959676145218e+000dB,1.70780243375238e+002°)
1.38238238238238e+005	(-2.77505978398234e+000dB,1.70010519043727e+002°)
1.38438438438438e+005	(-2.67115089038237e+000dB,1.69231270845323e+002°)
1.38638638638638e+005	(-2.56790851490696e+000dB,1.68442445233727e+002°)
1.38838838838838e+005	(-2.46537220150321e+000dB,1.67643995895782e+002°)
1.39039039039038e+005	(-2.36358258675353e+000dB,1.66835884291912e+002°)
1.39239239239239e+005	(-2.26258137751140e+000dB,1.66018080209664e+002°)
1.39439439439439e+005	(-2.16241132286357e+000dB,1.65190562328440e+002°)
1.39639639639639e+005	(-2.06311618005933e+000dB,1.64353318793290e+002°)
1.39839839839839e+005	(-1.96474067405627e+000dB,1.63506347795255e+002°)
1.40040040040039e+005	(-1.86733045034753e+000dB,1.62649658155495e+002°)
1.40240240240240e+005	(-1.77093202075555e+000dB,1.61783269910084e+002°)
1.40440440440440e+005	(-1.67559270190402e+000dB,1.60907214892040e+002°)
1.40640640640640e+005	(-1.58136054611188e+000dB,1.60021537306827e+002°)
1.40840840840840e+005	(-1.48828426449323e+000dB,1.59126294297254e+002°)
1.41041041041040e+005	(-1.39641314209261e+000dB,1.58221556493381e+002°)
1.41241241241241e+005	(-1.30579694493923e+000dB,1.57307408542753e+002°)
1.41441441441441e+005	(-1.21648581896404e+000dB,1.56383949616010e+002°)
1.41641641641641e+005	(-1.12853018079183e+000dB,1.55451293882689e+002°)
1.41841841841841e+005	(-1.04198060049530e+000dB,1.54509570951826e+002°)
1.42042042042041e+005	(-9.56887676480057e-001dB,1.53558926271810e+002°)
1.42242242242242e+005	(-8.73301902757101e-001dB,1.52599521483857e+002°)
1.42442442442442e+005	(-7.91273528952824e-001dB,1.51631534723381e+002°)
1.42642642642642e+005	(-7.10852413504485e-001dB,1.50655160863632e+002°)
1.42842842842842e+005	(-6.32087870590250e-001dB,1.49670611696005e+002°)
1.43043043043042e+005	(-5.55028511446592e-001dB,1.48678116041655e+002°)
1.43243243243243e+005	(-4.79722080829268e-001dB,1.47677919789284e+002°)
1.43443443443443e+005	(-4.06215289477788e-001dB,1.46670285854342e+002°)
1.43643643643643e+005	(-3.34553643542461e-001dB,1.45655494055328e+002°)
1.43843843843843e+005	(-2.64781272028522e-001dB,1.44633840903412e+002°)
1.44044044044043e+005	(-1.96940753399800e-001dB,1.43605639302240e+002°)
1.44244244244244e+005	(-1.31072942563189e-001dB,1.42571218155490e+002°)
1.44444444444444e+005	(-6.72167995230448e-002dB,1.41530921880580e+002°)
1.44644644644644e+005	(-5.40922104895281e-003dB,1.40485109827762e+002°)
1.44844844844844e+005	(5.43151232603089e-002dB,1.39434155604826e+002°)
1.45045045045044e+005	(1.11923949111294e-001dB,1.38378446308596e+002°)
1.45245245245245e+005	(1.67387508439436e-001dB,1.37318381665448e+002°)
1.45445445445445e+005	(2.20678731727768e-001dB,1.36254373084138e+002°)
1.45645645645645e+005	(2.71773360362352e-001dB,1.35186842625271e+002°)
1.45845845845845e+005	(3.20650067722505e-001dB,1.34116221892799e+002°)
1.46046046046045e+005	(3.67290567780857e-001dB,1.33042950853928e+002°)
1.46246246246246e+005	(4.11679710085412e-001dB,1.31967476594781e+002°)
1.46446446446446e+005	(4.53805560111782e-001dB,1.30890252020035e+002°)
1.46646646646646e+005	(4.93659464107873e-001dB,1.29811734505534e+002°)
1.46846846846846e+005	(5.31236097702403e-001dB,1.28732384513562e+002°)
1.47047047047046e+005	(5.66533497711634e-001dB,1.27652664181015e+002°)
1.47247247247247e+005	(5.99553076752133e-001dB,1.26573035891117e+002°)
1.47447447447447e+005	(6.30299620448378e-001dB,1.25493960839595e+002°)
1.47647647647647e+005	(6.58781267209425e-001dB,1.24415897606367e+002°)
1.47847847847847e+005	(6.85009470735730e-001dB,1.23339300743714e+002°)
1.48048048048047e+005	(7.08998945601169e-001dB,1.22264619391754e+002°)
1.48248248248248e+005	(7.30767596434323e-001dB,1.21192295931666e+002°)
1.48448448448448e+005	(7.50336431392692e-001dB,1.20122764686616e+002°)
1.48648648648648e+005	(7.67729460782033e-001dB,1.19056450679732e+002°)
1.48848848848848e+005	(7.82973581816505e-001dB,1.17993768457706e+002°)
1.49049049049048e+005	(7.96098450642635e-001dB,1.16935120987766e+002°)
1.49249249249249e+005	(8.07136342858923e-001dB,1.15880898634808e+002°)
