Freq.	V(N002,N005)
Step Information: Fs=100K  (Run: 1/9)
1.00000000000000e+05	(-1.69011416618149e+01dB,-1.74448026582182e+02°)
1.00100100100100e+05	(-1.68675571385684e+01dB,-1.74604604276928e+02°)
1.00200200200200e+05	(-1.68340185286477e+01dB,-1.74761222293827e+02°)
1.00300300300300e+05	(-1.68005256921657e+01dB,-1.74917879364986e+02°)
1.00400400400400e+05	(-1.67670784873069e+01dB,-1.75074574224559e+02°)
1.00500500500500e+05	(-1.67336767703251e+01dB,-1.75231305608867e+02°)
1.00600600600601e+05	(-1.67003203955403e+01dB,-1.75388072256517e+02°)
1.00700700700701e+05	(-1.66670092153368e+01dB,-1.75544872908519e+02°)
1.00800800800801e+05	(-1.66337430801605e+01dB,-1.75701706308407e+02°)
1.00900900900901e+05	(-1.66005218385174e+01dB,-1.75858571202357e+02°)
1.01001001001001e+05	(-1.65673453369712e+01dB,-1.76015466339310e+02°)
1.01101101101101e+05	(-1.65342134201419e+01dB,-1.76172390471083e+02°)
1.01201201201201e+05	(-1.65011259307042e+01dB,-1.76329342352497e+02°)
1.01301301301301e+05	(-1.64680827093860e+01dB,-1.76486320741490e+02°)
1.01401401401401e+05	(-1.64350835949671e+01dB,-1.76643324399239e+02°)
1.01501501501501e+05	(-1.64021284242786e+01dB,-1.76800352090278e+02°)
1.01601601601602e+05	(-1.63692170322014e+01dB,-1.76957402582617e+02°)
1.01701701701702e+05	(-1.63363492516658e+01dB,-1.77114474647862e+02°)
1.01801801801802e+05	(-1.63035249136508e+01dB,-1.77271567061333e+02°)
1.01901901901902e+05	(-1.62707438471838e+01dB,-1.77428678602181e+02°)
1.02002002002002e+05	(-1.62380058793402e+01dB,-1.77585808053510e+02°)
1.02102102102102e+05	(-1.62053108352435e+01dB,-1.77742954202494e+02°)
1.02202202202202e+05	(-1.61726585380650e+01dB,-1.77900115840493e+02°)
1.02302302302302e+05	(-1.61400488090245e+01dB,-1.78057291763174e+02°)
1.02402402402402e+05	(-1.61074814673901e+01dB,-1.78214480770628e+02°)
1.02502502502502e+05	(-1.60749563304791e+01dB,-1.78371681667490e+02°)
