Freq.	V(N002,N005)
1.00000000000000e+05	(-1.69011416618149e+01dB,-1.74448026582182e+02°)
1.00100100100100e+05	(-1.68675571385684e+01dB,-1.74604604276928e+02°)
1.00200200200200e+05	(-1.68340185286477e+01dB,-1.74761222293827e+02°)
1.00300300300300e+05	(-1.68005256921657e+01dB,-1.74917879364986e+02°)
1.00400400400400e+05	(-1.67670784873069e+01dB,-1.75074574224559e+02°)
1.00500500500500e+05	(-1.67336767703251e+01dB,-1.75231305608867e+02°)
1.00600600600601e+05	(-1.67003203955403e+01dB,-1.75388072256517e+02°)
1.00700700700701e+05	(-1.66670092153368e+01dB,-1.75544872908519e+02°)
1.00800800800801e+05	(-1.66337430801605e+01dB,-1.75701706308407e+02°)
1.00900900900901e+05	(-1.66005218385174e+01dB,-1.75858571202357e+02°)
1.01001001001001e+05	(-1.65673453369712e+01dB,-1.76015466339310e+02°)
1.01101101101101e+05	(-1.65342134201419e+01dB,-1.76172390471083e+02°)
1.01201201201201e+05	(-1.65011259307042e+01dB,-1.76329342352497e+02°)
1.01301301301301e+05	(-1.64680827093860e+01dB,-1.76486320741490e+02°)
1.01401401401401e+05	(-1.64350835949671e+01dB,-1.76643324399239e+02°)
1.01501501501501e+05	(-1.64021284242786e+01dB,-1.76800352090278e+02°)
1.01601601601602e+05	(-1.63692170322014e+01dB,-1.76957402582617e+02°)
1.01701701701702e+05	(-1.63363492516658e+01dB,-1.77114474647862e+02°)
1.01801801801802e+05	(-1.63035249136508e+01dB,-1.77271567061333e+02°)
1.01901901901902e+05	(-1.62707438471838e+01dB,-1.77428678602181e+02°)
1.02002002002002e+05	(-1.62380058793402e+01dB,-1.77585808053510e+02°)
1.02102102102102e+05	(-1.62053108352435e+01dB,-1.77742954202494e+02°)
1.02202202202202e+05	(-1.61726585380650e+01dB,-1.77900115840493e+02°)
1.02302302302302e+05	(-1.61400488090245e+01dB,-1.78057291763174e+02°)
1.02402402402402e+05	(-1.61074814673901e+01dB,-1.78214480770628e+02°)
1.02502502502502e+05	(-1.60749563304791e+01dB,-1.78371681667490e+02°)
1.02602602602603e+05	(-1.60424732136588e+01dB,-1.78528893263050e+02°)
1.02702702702703e+05	(-1.60100319303467e+01dB,-1.78686114371379e+02°)
1.02802802802803e+05	(-1.59776322920121e+01dB,-1.78843343811438e+02°)
1.02902902902903e+05	(-1.59452741081770e+01dB,-1.79000580407201e+02°)
1.03003003003003e+05	(-1.59129571864172e+01dB,-1.79157822987768e+02°)
1.03103103103103e+05	(-1.58806813323639e+01dB,-1.79315070387485e+02°)
1.03203203203203e+05	(-1.58484463497052e+01dB,-1.79472321446054e+02°)
1.03303303303303e+05	(-1.58162520401877e+01dB,-1.79629575008653e+02°)
1.03403403403403e+05	(-1.57840982036186e+01dB,-1.79786829926054e+02°)
1.03503503503503e+05	(-1.57519846378674e+01dB,-1.79944085054731e+02°)
1.03603603603604e+05	(-1.57199111388680e+01dB,1.79898660743020e+02°)
1.03703703703704e+05	(-1.56878775006211e+01dB,1.79741408598968e+02°)
1.03803803803804e+05	(-1.56558835151967e+01dB,1.79584159638833e+02°)
1.03903903903904e+05	(-1.56239289727361e+01dB,1.79426914982172e+02°)
1.04004004004004e+05	(-1.55920136614553e+01dB,1.79269675742267e+02°)
1.04104104104104e+05	(-1.55601373676469e+01dB,1.79112443026008e+02°)
1.04204204204204e+05	(-1.55282998756838e+01dB,1.78955217933788e+02°)
1.04304304304304e+05	(-1.54965009680217e+01dB,1.78798001559383e+02°)
1.04404404404404e+05	(-1.54647404252025e+01dB,1.78640794989843e+02°)
1.04504504504504e+05	(-1.54330180258574e+01dB,1.78483599305385e+02°)
1.04604604604605e+05	(-1.54013335467104e+01dB,1.78326415579276e+02°)
1.04704704704705e+05	(-1.53696867625817e+01dB,1.78169244877724e+02°)
1.04804804804805e+05	(-1.53380774463916e+01dB,1.78012088259772e+02°)
1.04904904904905e+05	(-1.53065053691639e+01dB,1.77854946777184e+02°)
1.05005005005005e+05	(-1.52749703000298e+01dB,1.77697821474337e+02°)
1.05105105105105e+05	(-1.52434720062319e+01dB,1.77540713388116e+02°)
1.05205205205205e+05	(-1.52120102531285e+01dB,1.77383623547801e+02°)
1.05305305305305e+05	(-1.51805848041972e+01dB,1.77226552974962e+02°)
1.05405405405405e+05	(-1.51491954210398e+01dB,1.77069502683352e+02°)
1.05505505505505e+05	(-1.51178418633863e+01dB,1.76912473678800e+02°)
1.05605605605606e+05	(-1.50865238890993e+01dB,1.76755466959106e+02°)
1.05705705705706e+05	(-1.50552412541787e+01dB,1.76598483513934e+02°)
1.05805805805806e+05	(-1.50239937127666e+01dB,1.76441524324708e+02°)
1.05905905905906e+05	(-1.49927810171514e+01dB,1.76284590364507e+02°)
1.06006006006006e+05	(-1.49616029177732e+01dB,1.76127682597962e+02°)
1.06106106106106e+05	(-1.49304591632287e+01dB,1.75970801981154e+02°)
1.06206206206206e+05	(-1.48993495002757e+01dB,1.75813949461508e+02°)
1.06306306306306e+05	(-1.48682736738388e+01dB,1.75657125977691e+02°)
1.06406406406406e+05	(-1.48372314270141e+01dB,1.75500332459516e+02°)
1.06506506506506e+05	(-1.48062225010747e+01dB,1.75343569827833e+02°)
1.06606606606607e+05	(-1.47752466354758e+01dB,1.75186838994434e+02°)
1.06706706706707e+05	(-1.47443035678605e+01dB,1.75030140861951e+02°)
1.06806806806807e+05	(-1.47133930340646e+01dB,1.74873476323759e+02°)
1.06906906906907e+05	(-1.46825147681229e+01dB,1.74716846263874e+02°)
1.07007007007007e+05	(-1.46516685022740e+01dB,1.74560251556856e+02°)
1.07107107107107e+05	(-1.46208539669664e+01dB,1.74403693067712e+02°)
1.07207207207207e+05	(-1.45900708908644e+01dB,1.74247171651799e+02°)
1.07307307307307e+05	(-1.45593190008532e+01dB,1.74090688154729e+02°)
1.07407407407407e+05	(-1.45285980220454e+01dB,1.73934243412271e+02°)
1.07507507507507e+05	(-1.44979076777864e+01dB,1.73777838250253e+02°)
1.07607607607607e+05	(-1.44672476896605e+01dB,1.73621473484477e+02°)
