Freq.	V(N002,N005)
1.00000000000000e+05	(-2.42636438754718e+01dB,-1.15240278968848e+02°)
1.00100100100100e+05	(-2.42150999494606e+01dB,-1.15293936669921e+02°)
1.00200200200200e+05	(-2.41665276420375e+01dB,-1.15347754169992e+02°)
1.00300300300300e+05	(-2.41179267058078e+01dB,-1.15401732346190e+02°)
1.00400400400400e+05	(-2.40692968923656e+01dB,-1.15455872082546e+02°)
1.00500500500500e+05	(-2.40206379522839e+01dB,-1.15510174270069e+02°)
1.00600600600601e+05	(-2.39719496351046e+01dB,-1.15564639806814e+02°)
1.00700700700701e+05	(-2.39232316893293e+01dB,-1.15619269597962e+02°)
1.00800800800801e+05	(-2.38744838624086e+01dB,-1.15674064555891e+02°)
1.00900900900901e+05	(-2.38257059007323e+01dB,-1.15729025600254e+02°)
1.01001001001001e+05	(-2.37768975496196e+01dB,-1.15784153658056e+02°)
1.01101101101101e+05	(-2.37280585533084e+01dB,-1.15839449663733e+02°)
1.01201201201201e+05	(-2.36791886549451e+01dB,-1.15894914559230e+02°)
1.01301301301301e+05	(-2.36302875965747e+01dB,-1.15950549294082e+02°)
1.01401401401401e+05	(-2.35813551191293e+01dB,-1.16006354825494e+02°)
1.01501501501501e+05	(-2.35323909624188e+01dB,-1.16062332118426e+02°)
1.01601601601602e+05	(-2.34833948651191e+01dB,-1.16118482145675e+02°)
1.01701701701702e+05	(-2.34343665647622e+01dB,-1.16174805887960e+02°)
1.01801801801802e+05	(-2.33853057977246e+01dB,-1.16231304334006e+02°)
1.01901901901902e+05	(-2.33362122992170e+01dB,-1.16287978480635e+02°)
1.02002002002002e+05	(-2.32870858032732e+01dB,-1.16344829332849e+02°)
1.02102102102102e+05	(-2.32379260427382e+01dB,-1.16401857903924e+02°)
1.02202202202202e+05	(-2.31887327492582e+01dB,-1.16459065215496e+02°)
1.02302302302302e+05	(-2.31395056532683e+01dB,-1.16516452297656e+02°)
1.02402402402402e+05	(-2.30902444839814e+01dB,-1.16574020189043e+02°)
1.02502502502502e+05	(-2.30409489693769e+01dB,-1.16631769936935e+02°)
1.02602602602603e+05	(-2.29916188361886e+01dB,-1.16689702597347e+02°)
1.02702702702703e+05	(-2.29422538098935e+01dB,-1.16747819235126e+02°)
1.02802802802803e+05	(-2.28928536146997e+01dB,-1.16806120924053e+02°)
1.02902902902903e+05	(-2.28434179735344e+01dB,-1.16864608746936e+02°)
1.03003003003003e+05	(-2.27939466080320e+01dB,-1.16923283795717e+02°)
1.03103103103103e+05	(-2.27444392385220e+01dB,-1.16982147171568e+02°)
1.03203203203203e+05	(-2.26948955840167e+01dB,-1.17041199985001e+02°)
1.03303303303303e+05	(-2.26453153621987e+01dB,-1.17100443355967e+02°)
1.03403403403403e+05	(-2.25956982894087e+01dB,-1.17159878413968e+02°)
1.03503503503503e+05	(-2.25460440806328e+01dB,-1.17219506298158e+02°)
1.03603603603604e+05	(-2.24963524494897e+01dB,-1.17279328157460e+02°)
1.03703703703704e+05	(-2.24466231082183e+01dB,-1.17339345150670e+02°)
1.03803803803804e+05	(-2.23968557676642e+01dB,-1.17399558446574e+02°)
1.03903903903904e+05	(-2.23470501372673e+01dB,-1.17459969224059e+02°)
1.04004004004004e+05	(-2.22972059250482e+01dB,-1.17520578672233e+02°)
1.04104104104104e+05	(-2.22473228375950e+01dB,-1.17581387990536e+02°)
1.04204204204204e+05	(-2.21974005800504e+01dB,-1.17642398388862e+02°)
1.04304304304304e+05	(-2.21474388560974e+01dB,-1.17703611087680e+02°)
1.04404404404404e+05	(-2.20974373679466e+01dB,-1.17765027318157e+02°)
1.04504504504504e+05	(-2.20473958163217e+01dB,-1.17826648322279e+02°)
1.04604604604605e+05	(-2.19973139004460e+01dB,-1.17888475352976e+02°)
1.04704704704705e+05	(-2.19471913180285e+01dB,-1.17950509674257e+02°)
1.04804804804805e+05	(-2.18970277652496e+01dB,-1.18012752561327e+02°)
1.04904904904905e+05	(-2.18468229367469e+01dB,-1.18075205300731e+02°)
1.05005005005005e+05	(-2.17965765256011e+01dB,-1.18137869190478e+02°)
1.05105105105105e+05	(-2.17462882233210e+01dB,-1.18200745540177e+02°)
1.05205205205205e+05	(-2.16959577198296e+01dB,-1.18263835671180e+02°)
1.05305305305305e+05	(-2.16455847034485e+01dB,-1.18327140916713e+02°)
1.05405405405405e+05	(-2.15951688608839e+01dB,-1.18390662622021e+02°)
1.05505505505505e+05	(-2.15447098772110e+01dB,-1.18454402144510e+02°)
1.05605605605606e+05	(-2.14942074358589e+01dB,-1.18518360853893e+02°)
1.05705705705706e+05	(-2.14436612185958e+01dB,-1.18582540132334e+02°)
1.05805805805806e+05	(-2.13930709055130e+01dB,-1.18646941374601e+02°)
1.05905905905906e+05	(-2.13424361750095e+01dB,-1.18711565988214e+02°)
1.06006006006006e+05	(-2.12917567037767e+01dB,-1.18776415393600e+02°)
