Freq.	I(Ls1)	I(Ls2)
1.00000000000000e+05	(-4.99578915898481e+01dB,4.41313277257390e+01°)	(-4.99578915898481e+01dB,4.41313277257390e+01°)
1.00100100100100e+05	(-4.99092662332503e+01dB,4.40133481831184e+01°)	(-4.99092662332503e+01dB,4.40133481831184e+01°)
1.00200200200200e+05	(-4.98606365843003e+01dB,4.38949811152217e+01°)	(-4.98606365843003e+01dB,4.38949811152217e+01°)
1.00300300300300e+05	(-4.98120026597300e+01dB,4.37762249617631e+01°)	(-4.98120026597300e+01dB,4.37762249617630e+01°)
1.00400400400400e+05	(-4.97633644776877e+01dB,4.36570781581652e+01°)	(-4.97633644776877e+01dB,4.36570781581652e+01°)
1.00500500500500e+05	(-4.97147220577486e+01dB,4.35375391355921e+01°)	(-4.97147220577486e+01dB,4.35375391355922e+01°)
1.00600600600601e+05	(-4.96660754209256e+01dB,4.34176063209830e+01°)	(-4.96660754209256e+01dB,4.34176063209830e+01°)
1.00700700700701e+05	(-4.96174245896793e+01dB,4.32972781370857e+01°)	(-4.96174245896793e+01dB,4.32972781370857e+01°)
1.00800800800801e+05	(-4.95687695879290e+01dB,4.31765530024933e+01°)	(-4.95687695879290e+01dB,4.31765530024933e+01°)
1.00900900900901e+05	(-4.95201104410629e+01dB,4.30554293316792e+01°)	(-4.95201104410629e+01dB,4.30554293316792e+01°)
1.01001001001001e+05	(-4.94714471759492e+01dB,4.29339055350358e+01°)	(-4.94714471759492e+01dB,4.29339055350358e+01°)
1.01101101101101e+05	(-4.94227798209462e+01dB,4.28119800189113e+01°)	(-4.94227798209462e+01dB,4.28119800189113e+01°)
1.01201201201201e+05	(-4.93741084059133e+01dB,4.26896511856502e+01°)	(-4.93741084059133e+01dB,4.26896511856502e+01°)
1.01301301301301e+05	(-4.93254329622219e+01dB,4.25669174336329e+01°)	(-4.93254329622219e+01dB,4.25669174336329e+01°)
1.01401401401401e+05	(-4.92767535227657e+01dB,4.24437771573171e+01°)	(-4.92767535227657e+01dB,4.24437771573171e+01°)
1.01501501501501e+05	(-4.92280701219717e+01dB,4.23202287472801e+01°)	(-4.92280701219717e+01dB,4.23202287472801e+01°)
1.01601601601602e+05	(-4.91793827958112e+01dB,4.21962705902623e+01°)	(-4.91793827958112e+01dB,4.21962705902623e+01°)
1.01701701701702e+05	(-4.91306915818102e+01dB,4.20719010692115e+01°)	(-4.91306915818102e+01dB,4.20719010692115e+01°)
1.01801801801802e+05	(-4.90819965190607e+01dB,4.19471185633283e+01°)	(-4.90819965190607e+01dB,4.19471185633283e+01°)
1.01901901901902e+05	(-4.90332976482312e+01dB,4.18219214481128e+01°)	(-4.90332976482312e+01dB,4.18219214481128e+01°)
1.02002002002002e+05	(-4.89845950115777e+01dB,4.16963080954118e+01°)	(-4.89845950115777e+01dB,4.16963080954118e+01°)
1.02102102102102e+05	(-4.89358886529549e+01dB,4.15702768734684e+01°)	(-4.89358886529549e+01dB,4.15702768734683e+01°)
1.02202202202202e+05	(-4.88871786178266e+01dB,4.14438261469707e+01°)	(-4.88871786178266e+01dB,4.14438261469707e+01°)
1.02302302302302e+05	(-4.88384649532772e+01dB,4.13169542771040e+01°)	(-4.88384649532772e+01dB,4.13169542771040e+01°)
1.02402402402402e+05	(-4.87897477080222e+01dB,4.11896596216017e+01°)	(-4.87897477080222e+01dB,4.11896596216017e+01°)
1.02502502502502e+05	(-4.87410269324194e+01dB,4.10619405347997e+01°)	(-4.87410269324194e+01dB,4.10619405347997e+01°)
1.02602602602603e+05	(-4.86923026784798e+01dB,4.09337953676900e+01°)	(-4.86923026784798e+01dB,4.09337953676900e+01°)
1.02702702702703e+05	(-4.86435749998787e+01dB,4.08052224679766e+01°)	(-4.86435749998787e+01dB,4.08052224679766e+01°)
1.02802802802803e+05	(-4.85948439519665e+01dB,4.06762201801325e+01°)	(-4.85948439519665e+01dB,4.06762201801325e+01°)
1.02902902902903e+05	(-4.85461095917798e+01dB,4.05467868454573e+01°)	(-4.85461095917798e+01dB,4.05467868454573e+01°)
1.03003003003003e+05	(-4.84973719780524e+01dB,4.04169208021369e+01°)	(-4.84973719780524e+01dB,4.04169208021370e+01°)
1.03103103103103e+05	(-4.84486311712262e+01dB,4.02866203853036e+01°)	(-4.84486311712262e+01dB,4.02866203853036e+01°)
1.03203203203203e+05	(-4.83998872334622e+01dB,4.01558839270977e+01°)	(-4.83998872334622e+01dB,4.01558839270977e+01°)
1.03303303303303e+05	(-4.83511402286517e+01dB,4.00247097567308e+01°)	(-4.83511402286517e+01dB,4.00247097567308e+01°)
1.03403403403403e+05	(-4.83023902224267e+01dB,3.98930962005500e+01°)	(-4.83023902224267e+01dB,3.98930962005500e+01°)
1.03503503503503e+05	(-4.82536372821717e+01dB,3.97610415821029e+01°)	(-4.82536372821717e+01dB,3.97610415821029e+01°)
1.03603603603604e+05	(-4.82048814770338e+01dB,3.96285442222050e+01°)	(-4.82048814770338e+01dB,3.96285442222050e+01°)
1.03703703703704e+05	(-4.81561228779341e+01dB,3.94956024390072e+01°)	(-4.81561228779341e+01dB,3.94956024390072e+01°)
1.03803803803804e+05	(-4.81073615575785e+01dB,3.93622145480658e+01°)	(-4.81073615575785e+01dB,3.93622145480658e+01°)
1.03903903903904e+05	(-4.80585975904687e+01dB,3.92283788624126e+01°)	(-4.80585975904687e+01dB,3.92283788624125e+01°)
1.04004004004004e+05	(-4.80098310529126e+01dB,3.90940936926275e+01°)	(-4.80098310529126e+01dB,3.90940936926275e+01°)
1.04104104104104e+05	(-4.79610620230357e+01dB,3.89593573469116e+01°)	(-4.79610620230357e+01dB,3.89593573469116e+01°)
1.04204204204204e+05	(-4.79122905807917e+01dB,3.88241681311620e+01°)	(-4.79122905807917e+01dB,3.88241681311620e+01°)
1.04304304304304e+05	(-4.78635168079729e+01dB,3.86885243490481e+01°)	(-4.78635168079729e+01dB,3.86885243490481e+01°)
1.04404404404404e+05	(-4.78147407882216e+01dB,3.85524243020890e+01°)	(-4.78147407882216e+01dB,3.85524243020890e+01°)
1.04504504504504e+05	(-4.77659626070403e+01dB,3.84158662897323e+01°)	(-4.77659626070403e+01dB,3.84158662897323e+01°)
1.04604604604605e+05	(-4.77171823518022e+01dB,3.82788486094348e+01°)	(-4.77171823518022e+01dB,3.82788486094348e+01°)
1.04704704704705e+05	(-4.76684001117624e+01dB,3.81413695567440e+01°)	(-4.76684001117624e+01dB,3.81413695567440e+01°)
1.04804804804805e+05	(-4.76196159780680e+01dB,3.80034274253813e+01°)	(-4.76196159780680e+01dB,3.80034274253813e+01°)
1.04904904904905e+05	(-4.75708300437687e+01dB,3.78650205073267e+01°)	(-4.75708300437687e+01dB,3.78650205073267e+01°)
1.05005005005005e+05	(-4.75220424038272e+01dB,3.77261470929049e+01°)	(-4.75220424038272e+01dB,3.77261470929049e+01°)
1.05105105105105e+05	(-4.74732531551297e+01dB,3.75868054708726e+01°)	(-4.74732531551297e+01dB,3.75868054708726e+01°)
1.05205205205205e+05	(-4.74244623964960e+01dB,3.74469939285080e+01°)	(-4.74244623964960e+01dB,3.74469939285080e+01°)
1.05305305305305e+05	(-4.73756702286899e+01dB,3.73067107517008e+01°)	(-4.73756702286899e+01dB,3.73067107517008e+01°)
1.05405405405405e+05	(-4.73268767544295e+01dB,3.71659542250445e+01°)	(-4.73268767544295e+01dB,3.71659542250445e+01°)
1.05505505505505e+05	(-4.72780820783971e+01dB,3.70247226319296e+01°)	(-4.72780820783971e+01dB,3.70247226319296e+01°)
1.05605605605606e+05	(-4.72292863072491e+01dB,3.68830142546391e+01°)	(-4.72292863072491e+01dB,3.68830142546391e+01°)
1.05705705705706e+05	(-4.71804895496263e+01dB,3.67408273744445e+01°)	(-4.71804895496263e+01dB,3.67408273744445e+01°)
1.05805805805806e+05	(-4.71316919161636e+01dB,3.65981602717041e+01°)	(-4.71316919161636e+01dB,3.65981602717041e+01°)
1.05905905905906e+05	(-4.70828935194997e+01dB,3.64550112259627e+01°)	(-4.70828935194997e+01dB,3.64550112259627e+01°)
1.06006006006006e+05	(-4.70340944742866e+01dB,3.63113785160524e+01°)	(-4.70340944742866e+01dB,3.63113785160524e+01°)
1.06106106106106e+05	(-4.69852948971997e+01dB,3.61672604201957e+01°)	(-4.69852948971997e+01dB,3.61672604201958e+01°)
1.06206206206206e+05	(-4.69364949069468e+01dB,3.60226552161096e+01°)	(-4.69364949069468e+01dB,3.60226552161096e+01°)
1.06306306306306e+05	(-4.68876946242777e+01dB,3.58775611811113e+01°)	(-4.68876946242777e+01dB,3.58775611811113e+01°)
1.06406406406406e+05	(-4.68388941719931e+01dB,3.57319765922256e+01°)	(-4.68388941719931e+01dB,3.57319765922256e+01°)
1.06506506506506e+05	(-4.67900936749544e+01dB,3.55858997262944e+01°)	(-4.67900936749544e+01dB,3.55858997262944e+01°)
1.06606606606607e+05	(-4.67412932600921e+01dB,3.54393288600864e+01°)	(-4.67412932600921e+01dB,3.54393288600864e+01°)
1.06706706706707e+05	(-4.66924930564148e+01dB,3.52922622704101e+01°)	(-4.66924930564148e+01dB,3.52922622704101e+01°)
1.06806806806807e+05	(-4.66436931950182e+01dB,3.51446982342273e+01°)	(-4.66436931950182e+01dB,3.51446982342273e+01°)
1.06906906906907e+05	(-4.65948938090936e+01dB,3.49966350287683e+01°)	(-4.65948938090936e+01dB,3.49966350287683e+01°)
1.07007007007007e+05	(-4.65460950339363e+01dB,3.48480709316492e+01°)	(-4.65460950339363e+01dB,3.48480709316492e+01°)
1.07107107107107e+05	(-4.64972970069541e+01dB,3.46990042209903e+01°)	(-4.64972970069541e+01dB,3.46990042209903e+01°)
1.07207207207207e+05	(-4.64484998676753e+01dB,3.45494331755367e+01°)	(-4.64484998676753e+01dB,3.45494331755367e+01°)
1.07307307307307e+05	(-4.63997037577569e+01dB,3.43993560747797e+01°)	(-4.63997037577569e+01dB,3.43993560747797e+01°)
1.07407407407407e+05	(-4.63509088209924e+01dB,3.42487711990806e+01°)	(-4.63509088209924e+01dB,3.42487711990806e+01°)
1.07507507507507e+05	(-4.63021152033194e+01dB,3.40976768297960e+01°)	(-4.63021152033194e+01dB,3.40976768297960e+01°)
1.07607607607607e+05	(-4.62533230528276e+01dB,3.39460712494043e+01°)	(-4.62533230528276e+01dB,3.39460712494043e+01°)
1.07707707707708e+05	(-4.62045325197656e+01dB,3.37939527416341e+01°)	(-4.62045325197656e+01dB,3.37939527416341e+01°)
