Freq.	I(Ls1)	I(Ls2)
1.00000000000000e+05	(-4.90848743752170e+01dB,5.16232757196057e+01°)	(-5.26720560972561e+01dB,3.42948872648626e+01°)
1.00100100100100e+05	(-4.90326789181172e+01dB,5.15124458537516e+01°)	(-5.26287568125989e+01dB,3.41842425542970e+01°)
1.00200200200200e+05	(-4.89804655073154e+01dB,5.14011791825520e+01°)	(-5.25854584577221e+01dB,3.40733546865528e+01°)
1.00300300300300e+05	(-4.89282341274741e+01dB,5.12894735195897e+01°)	(-5.25421609492773e+01dB,3.39622227121872e+01°)
1.00400400400400e+05	(-4.88759847650381e+01dB,5.11773266686284e+01°)	(-5.24988642042415e+01dB,3.38508456751893e+01°)
1.00500500500500e+05	(-4.88237174082555e+01dB,5.10647364236141e+01°)	(-5.24555681399247e+01dB,3.37392226129312e+01°)
1.00600600600601e+05	(-4.87714320471974e+01dB,5.09517005686781e+01°)	(-5.24122726739777e+01dB,3.36273525561185e+01°)
1.00700700700701e+05	(-4.87191286737794e+01dB,5.08382168781412e+01°)	(-5.23689777244003e+01dB,3.35152345287410e+01°)
1.00800800800801e+05	(-4.86668072817822e+01dB,5.07242831165197e+01°)	(-5.23256832095494e+01dB,3.34028675480239e+01°)
1.00900900900901e+05	(-4.86144678668725e+01dB,5.06098970385312e+01°)	(-5.22823890481474e+01dB,3.32902506243786e+01°)
1.01001001001001e+05	(-4.85621104266248e+01dB,5.04950563891034e+01°)	(-5.22390951592908e+01dB,3.31773827613543e+01°)
1.01101101101101e+05	(-4.85097349605428e+01dB,5.03797589033833e+01°)	(-5.21958014624590e+01dB,3.30642629555889e+01°)
1.01201201201201e+05	(-4.84573414700807e+01dB,5.02640023067476e+01°)	(-5.21525078775230e+01dB,3.29508901967606e+01°)
1.01301301301301e+05	(-4.84049299586658e+01dB,5.01477843148156e+01°)	(-5.21092143247547e+01dB,3.28372634675399e+01°)
1.01401401401401e+05	(-4.83525004317202e+01dB,5.00311026334618e+01°)	(-5.20659207248364e+01dB,3.27233817435414e+01°)
1.01501501501501e+05	(-4.83000528966833e+01dB,4.99139549588319e+01°)	(-5.20226269988698e+01dB,3.26092439932758e+01°)
1.01601601601602e+05	(-4.82475873630340e+01dB,4.97963389773586e+01°)	(-5.19793330683859e+01dB,3.24948491781023e+01°)
1.01701701701702e+05	(-4.81951038423141e+01dB,4.96782523657801e+01°)	(-5.19360388553549e+01dB,3.23801962521817e+01°)
1.01801801801802e+05	(-4.81426023481506e+01dB,4.95596927911592e+01°)	(-5.18927442821964e+01dB,3.22652841624286e+01°)
1.01901901901902e+05	(-4.80900828962792e+01dB,4.94406579109053e+01°)	(-5.18494492717890e+01dB,3.21501118484655e+01°)
1.02002002002002e+05	(-4.80375455045673e+01dB,4.93211453727964e+01°)	(-5.18061537474817e+01dB,3.20346782425759e+01°)
1.02102102102102e+05	(-4.79849901930379e+01dB,4.92011528150038e+01°)	(-5.17628576331036e+01dB,3.19189822696580e+01°)
1.02202202202202e+05	(-4.79324169838932e+01dB,4.90806778661186e+01°)	(-5.17195608529754e+01dB,3.18030228471798e+01°)
1.02302302302302e+05	(-4.78798259015384e+01dB,4.89597181451791e+01°)	(-5.16762633319200e+01dB,3.16867988851331e+01°)
1.02402402402402e+05	(-4.78272169726061e+01dB,4.88382712617007e+01°)	(-5.16329649952740e+01dB,3.15703092859889e+01°)
1.02502502502502e+05	(-4.77745902259801e+01dB,4.87163348157074e+01°)	(-5.15896657688991e+01dB,3.14535529446533e+01°)
1.02602602602603e+05	(-4.77219456928206e+01dB,4.85939063977646e+01°)	(-5.15463655791934e+01dB,3.13365287484226e+01°)
1.02702702702703e+05	(-4.76692834065886e+01dB,4.84709835890149e+01°)	(-5.15030643531038e+01dB,3.12192355769410e+01°)
1.02802802802803e+05	(-4.76166034030706e+01dB,4.83475639612147e+01°)	(-5.14597620181377e+01dB,3.11016723021569e+01°)
1.02902902902903e+05	(-4.75639057204041e+01dB,4.82236450767732e+01°)	(-5.14164585023754e+01dB,3.09838377882807e+01°)
1.03003003003003e+05	(-4.75111903991027e+01dB,4.80992244887935e+01°)	(-5.13731537344824e+01dB,3.08657308917430e+01°)
1.03103103103103e+05	(-4.74584574820816e+01dB,4.79742997411155e+01°)	(-5.13298476437223e+01dB,3.07473504611531e+01°)
1.03203203203203e+05	(-4.74057070146834e+01dB,4.78488683683611e+01°)	(-5.12865401599695e+01dB,3.06286953372590e+01°)
1.03303303303303e+05	(-4.73529390447038e+01dB,4.77229278959811e+01°)	(-5.12432312137226e+01dB,3.05097643529068e+01°)
1.03403403403403e+05	(-4.73001536224179e+01dB,4.75964758403046e+01°)	(-5.11999207361173e+01dB,3.03905563330018e+01°)
1.03503503503503e+05	(-4.72473508006061e+01dB,4.74695097085905e+01°)	(-5.11566086589407e+01dB,3.02710700944696e+01°)
1.03603603603604e+05	(-4.71945306345811e+01dB,4.73420269990813e+01°)	(-5.11132949146440e+01dB,3.01513044462187e+01°)
1.03703703703704e+05	(-4.71416931822139e+01dB,4.72140252010587e+01°)	(-5.10699794363574e+01dB,3.00312581891031e+01°)
1.03803803803804e+05	(-4.70888385039612e+01dB,4.70855017949023e+01°)	(-5.10266621579041e+01dB,2.99109301158863e+01°)
1.03903903903904e+05	(-4.70359666628919e+01dB,4.69564542521498e+01°)	(-5.09833430138144e+01dB,2.97903190112056e+01°)
1.04004004004004e+05	(-4.69830777247146e+01dB,4.68268800355605e+01°)	(-5.09400219393407e+01dB,2.96694236515379e+01°)
1.04104104104104e+05	(-4.69301717578048e+01dB,4.66967765991802e+01°)	(-5.08966988704722e+01dB,2.95482428051656e+01°)
1.04204204204204e+05	(-4.68772488332324e+01dB,4.65661413884094e+01°)	(-5.08533737439502e+01dB,2.94267752321443e+01°)
1.04304304304304e+05	(-4.68243090247896e+01dB,4.64349718400739e+01°)	(-5.08100464972832e+01dB,2.93050196842708e+01°)
1.04404404404404e+05	(-4.67713524090186e+01dB,4.63032653824975e+01°)	(-5.07667170687628e+01dB,2.91829749050526e+01°)
1.04504504504504e+05	(-4.67183790652394e+01dB,4.61710194355779e+01°)	(-5.07233853974789e+01dB,2.90606396296779e+01°)
1.04604604604605e+05	(-4.66653890755787e+01dB,4.60382314108648e+01°)	(-5.06800514233365e+01dB,2.89380125849870e+01°)
1.04704704704705e+05	(-4.66123825249975e+01dB,4.59048987116412e+01°)	(-5.06367150870712e+01dB,2.88150924894450e+01°)
1.04804804804805e+05	(-4.65593595013200e+01dB,4.57710187330069e+01°)	(-5.05933763302663e+01dB,2.86918780531153e+01°)
1.04904904904905e+05	(-4.65063200952624e+01dB,4.56365888619650e+01°)	(-5.05500350953689e+01dB,2.85683679776341e+01°)
1.05005005005005e+05	(-4.64532644004614e+01dB,4.55016064775117e+01°)	(-5.05066913257075e+01dB,2.84445609561871e+01°)
1.05105105105105e+05	(-4.64001925135033e+01dB,4.53660689507284e+01°)	(-5.04633449655086e+01dB,2.83204556734862e+01°)
1.05205205205205e+05	(-4.63471045339534e+01dB,4.52299736448769e+01°)	(-5.04199959599142e+01dB,2.81960508057483e+01°)
