Freq.	V(N002,N005)
1.00000000000000e+05	(-1.95664493938954e+01dB,-1.40037430658973e+02°)
1.00100100100100e+05	(-1.95201256297777e+01dB,-1.40153806412418e+02°)
1.00200200200200e+05	(-1.94738016017977e+01dB,-1.40270508854758e+02°)
1.00300300300300e+05	(-1.94274772925314e+01dB,-1.40387539192712e+02°)
1.00400400400400e+05	(-1.93811526854366e+01dB,-1.40504898637215e+02°)
1.00500500500500e+05	(-1.93348277648608e+01dB,-1.40622588403413e+02°)
1.00600600600601e+05	(-1.92885025160479e+01dB,-1.40740609710660e+02°)
1.00700700700701e+05	(-1.92421769251459e+01dB,-1.40858963782516e+02°)
1.00800800800801e+05	(-1.91958509792147e+01dB,-1.40977651846748e+02°)
1.00900900900901e+05	(-1.91495246662333e+01dB,-1.41096675135321e+02°)
1.01001001001001e+05	(-1.91031979751074e+01dB,-1.41216034884396e+02°)
1.01101101101101e+05	(-1.90568708956777e+01dB,-1.41335732334328e+02°)
1.01201201201201e+05	(-1.90105434187271e+01dB,-1.41455768729657e+02°)
1.01301301301301e+05	(-1.89642155359887e+01dB,-1.41576145319106e+02°)
1.01401401401401e+05	(-1.89178872401541e+01dB,-1.41696863355572e+02°)
1.01501501501501e+05	(-1.88715585248810e+01dB,-1.41817924096120e+02°)
1.01601601601602e+05	(-1.88252293848016e+01dB,-1.41939328801978e+02°)
1.01701701701702e+05	(-1.87788998155303e+01dB,-1.42061078738525e+02°)
1.01801801801802e+05	(-1.87325698136726e+01dB,-1.42183175175286e+02°)
1.01901901901902e+05	(-1.86862393768329e+01dB,-1.42305619385920e+02°)
1.02002002002002e+05	(-1.86399085036229e+01dB,-1.42428412648214e+02°)
1.02102102102102e+05	(-1.85935771936703e+01dB,-1.42551556244068e+02°)
1.02202202202202e+05	(-1.85472454476271e+01dB,-1.42675051459486e+02°)
1.02302302302302e+05	(-1.85009132671781e+01dB,-1.42798899584565e+02°)
1.02402402402402e+05	(-1.84545806550499e+01dB,-1.42923101913482e+02°)
1.02502502502502e+05	(-1.84082476150193e+01dB,-1.43047659744479e+02°)
1.02602602602603e+05	(-1.83619141519220e+01dB,-1.43172574379851e+02°)
1.02702702702703e+05	(-1.83155802716619e+01dB,-1.43297847125931e+02°)
1.02802802802803e+05	(-1.82692459812194e+01dB,-1.43423479293072e+02°)
1.02902902902903e+05	(-1.82229112886610e+01dB,-1.43549472195636e+02°)
1.03003003003003e+05	(-1.81765762031478e+01dB,-1.43675827151971e+02°)
1.03103103103103e+05	(-1.81302407349449e+01dB,-1.43802545484399e+02°)
1.03203203203203e+05	(-1.80839048954305e+01dB,-1.43929628519190e+02°)
1.03303303303303e+05	(-1.80375686971053e+01dB,-1.44057077586550e+02°)
1.03403403403403e+05	(-1.79912321536013e+01dB,-1.44184894020598e+02°)
1.03503503503503e+05	(-1.79448952796917e+01dB,-1.44313079159341e+02°)
1.03603603603604e+05	(-1.78985580912999e+01dB,-1.44441634344657e+02°)
1.03703703703704e+05	(-1.78522206055095e+01dB,-1.44570560922270e+02°)
1.03803803803804e+05	(-1.78058828405729e+01dB,-1.44699860241726e+02°)
1.03903903903904e+05	(-1.77595448159220e+01dB,-1.44829533656368e+02°)
1.04004004004004e+05	(-1.77132065521769e+01dB,-1.44959582523310e+02°)
1.04104104104104e+05	(-1.76668680711560e+01dB,-1.45090008203412e+02°)
1.04204204204204e+05	(-1.76205293958860e+01dB,-1.45220812061250e+02°)
1.04304304304304e+05	(-1.75741905506110e+01dB,-1.45351995465088e+02°)
1.04404404404404e+05	(-1.75278515608029e+01dB,-1.45483559786848e+02°)
1.04504504504504e+05	(-1.74815124531710e+01dB,-1.45615506402081e+02°)
1.04604604604605e+05	(-1.74351732556723e+01dB,-1.45747836689932e+02°)
1.04704704704705e+05	(-1.73888339975208e+01dB,-1.45880552033110e+02°)
1.04804804804805e+05	(-1.73424947091983e+01dB,-1.46013653817852e+02°)
1.04904904904905e+05	(-1.72961554224639e+01dB,-1.46147143433889e+02°)
1.05005005005005e+05	(-1.72498161703641e+01dB,-1.46281022274407e+02°)
1.05105105105105e+05	(-1.72034769872435e+01dB,-1.46415291736017e+02°)
1.05205205205205e+05	(-1.71571379087542e+01dB,-1.46549953218705e+02°)
1.05305305305305e+05	(-1.71107989718666e+01dB,-1.46685008125804e+02°)
