time	I(Ls1)	I(Ls2)
0.000000000000000e+00	-3.439668e+00	-3.439668e+00
2.499999999985154e-08	-3.494334e+00	-3.494334e+00
4.999999999970308e-08	-3.547134e+00	-3.547134e+00
7.499999999955462e-08	-3.598068e+00	-3.598068e+00
9.999999999940616e-08	-3.647137e+00	-3.647137e+00
1.249999999992577e-07	-3.694339e+00	-3.694339e+00
1.499999999991092e-07	-3.739675e+00	-3.739675e+00
1.749999999989607e-07	-3.783146e+00	-3.783146e+00
1.964285714274049e-07	-3.818664e+00	-3.818664e+00
2.178571428558491e-07	-3.852482e+00	-3.852482e+00
2.392857142842933e-07	-3.884601e+00	-3.884601e+00
2.607142857127374e-07	-3.915021e+00	-3.915021e+00
2.821428571411816e-07	-3.943741e+00	-3.943741e+00
3.035714285696258e-07	-3.970761e+00	-3.970761e+00
3.249999999980699e-07	-3.996081e+00	-3.996081e+00
3.449999999979511e-07	-4.017965e+00	-4.017965e+00
3.592857142835805e-07	-4.032626e+00	-4.032626e+00
3.735714285692100e-07	-4.046419e+00	-4.046419e+00
3.878571428548395e-07	-4.059343e+00	-4.059343e+00
4.021428571404689e-07	-4.071400e+00	-4.071400e+00
4.164285714260984e-07	-4.082589e+00	-4.082589e+00
4.307142857117278e-07	-4.092909e+00	-4.092909e+00
4.449999999973572e-07	-4.102362e+00	-4.102362e+00
4.707142857114902e-07	-4.117171e+00	-4.117171e+00
4.964285714256233e-07	-4.128877e+00	-4.128877e+00
5.221428571397563e-07	-4.137482e+00	-4.137482e+00
5.478571428538893e-07	-4.142985e+00	-4.142985e+00
5.735714285680223e-07	-4.145385e+00	-4.145385e+00
5.992857142821553e-07	-4.144684e+00	-4.144684e+00
6.249999999962882e-07	-4.140881e+00	-4.140881e+00
6.692857142817395e-07	-4.126784e+00	-4.126784e+00
7.135714285671909e-07	-4.102520e+00	-4.102520e+00
7.578571428526422e-07	-4.068088e+00	-4.068088e+00
8.021428571380934e-07	-4.023488e+00	-4.023488e+00
8.464285714235447e-07	-3.968721e+00	-3.968721e+00
8.907142857089961e-07	-3.903786e+00	-3.903786e+00
9.349999999944472e-07	-3.828684e+00	-3.828684e+00
9.478571428515137e-07	-3.804857e+00	-3.804857e+00
9.607142857085801e-07	-3.780151e+00	-3.780151e+00
9.735714285656467e-07	-3.754567e+00	-3.754567e+00
9.864285714227133e-07	-3.728105e+00	-3.728105e+00
9.992857142797798e-07	-3.700764e+00	-3.700764e+00
1.012142857136846e-06	-3.672544e+00	-3.672544e+00
1.024999999993913e-06	-3.643447e+00	-3.643447e+00
1.034999999993853e-06	-3.620210e+00	-3.620210e+00
1.044999999993794e-06	-3.596444e+00	-3.596444e+00
1.054999999993735e-06	-3.572148e+00	-3.572148e+00
1.074999999993616e-06	-3.521973e+00	-3.521973e+00
1.104999999993438e-06	-3.442762e+00	-3.442762e+00
1.142142857136074e-06	-3.337914e+00	-3.337914e+00
1.179285714278711e-06	-3.226137e+00	-3.226137e+00
1.216428571421347e-06	-3.107431e+00	-3.107431e+00
1.253571428563984e-06	-2.981797e+00	-2.981797e+00
1.290714285706621e-06	-2.849234e+00	-2.849234e+00
1.327857142849257e-06	-2.709743e+00	-2.709743e+00
1.364999999991894e-06	-2.563323e+00	-2.563323e+00
1.374999999991834e-06	-2.522864e+00	-2.522864e+00
1.384999999991775e-06	-2.481937e+00	-2.481937e+00
1.394999999991715e-06	-2.440547e+00	-2.440547e+00
1.414999999991597e-06	-2.356388e+00	-2.356388e+00
1.444999999991418e-06	-2.226753e+00	-2.226753e+00
1.492142857133996e-06	-2.013802e+00	-2.013802e+00
1.539285714276573e-06	-1.792587e+00	-1.792587e+00
1.586428571419150e-06	-1.563108e+00	-1.563108e+00
1.633571428561727e-06	-1.325365e+00	-1.325365e+00
1.680714285704304e-06	-1.079359e+00	-1.079359e+00
1.727857142846882e-06	-8.250887e-01	-8.250887e-01
