time	I(Ls1)	I(Ls2)
0.000000000000000e+00	-3.655982e+00	-3.655982e+00
2.499999999985154e-08	-3.716847e+00	-3.716847e+00
4.999999999970308e-08	-3.775798e+00	-3.775798e+00
7.499999999955462e-08	-3.832836e+00	-3.832836e+00
9.999999999940616e-08	-3.887962e+00	-3.887962e+00
1.249999999992577e-07	-3.941174e+00	-3.941174e+00
1.499999999991092e-07	-3.992472e+00	-3.992472e+00
1.749999999989607e-07	-4.041858e+00	-4.041858e+00
1.907142857131531e-07	-4.071727e+00	-4.071727e+00
2.064285714273455e-07	-4.100690e+00	-4.100690e+00
2.221428571415379e-07	-4.128746e+00	-4.128746e+00
2.378571428557303e-07	-4.155896e+00	-4.155896e+00
2.535714285699227e-07	-4.182140e+00	-4.182140e+00
2.692857142841151e-07	-4.207477e+00	-4.207477e+00
2.849999999983074e-07	-4.231908e+00	-4.231908e+00
3.007142857124998e-07	-4.255377e+00	-4.255377e+00
3.164285714266923e-07	-4.277835e+00	-4.277835e+00
3.321428571408847e-07	-4.299285e+00	-4.299285e+00
3.478571428550770e-07	-4.319725e+00	-4.319725e+00
3.635714285692694e-07	-4.339156e+00	-4.339156e+00
3.792857142834618e-07	-4.357578e+00	-4.357578e+00
3.949999999976542e-07	-4.374990e+00	-4.374990e+00
4.264285714260390e-07	-4.406789e+00	-4.406789e+00
4.578571428544237e-07	-4.434027e+00	-4.434027e+00
4.892857142828086e-07	-4.456704e+00	-4.456704e+00
5.207142857111933e-07	-4.474819e+00	-4.474819e+00
5.521428571395781e-07	-4.488373e+00	-4.488373e+00
5.835714285679629e-07	-4.497365e+00	-4.497365e+00
6.149999999963476e-07	-4.501797e+00	-4.501797e+00
6.678571428531766e-07	-4.498423e+00	-4.498423e+00
7.207142857100055e-07	-4.480471e+00	-4.480471e+00
7.735714285668346e-07	-4.447939e+00	-4.447939e+00
8.264285714236635e-07	-4.400829e+00	-4.400829e+00
8.792857142804925e-07	-4.339140e+00	-4.339140e+00
9.321428571373215e-07	-4.262872e+00	-4.262872e+00
9.849999999941503e-07	-4.172025e+00	-4.172025e+00
1.003571428565469e-06	-4.136408e+00	-4.136408e+00
1.022142857136787e-06	-4.098946e+00	-4.098946e+00
