time	I(Ls1)	I(Ls2)
0.000000000000000e+00	-4.074048e+00	-4.074048e+00
1.357142857134798e-08	-4.117180e+00	-4.117180e+00
2.714285714269596e-08	-4.159767e+00	-4.159767e+00
4.071428571404394e-08	-4.201810e+00	-4.201810e+00
5.428571428539191e-08	-4.243307e+00	-4.243307e+00
6.785714285673989e-08	-4.284261e+00	-4.284261e+00
8.142857142808787e-08	-4.324669e+00	-4.324669e+00
9.499999999943581e-08	-4.364532e+00	-4.364532e+00
1.392857142848871e-07	-4.491306e+00	-4.491306e+00
1.835714285703384e-07	-4.610176e+00	-4.610176e+00
2.278571428557897e-07	-4.721143e+00	-4.721143e+00
2.721428571412410e-07	-4.824206e+00	-4.824206e+00
3.164285714266923e-07	-4.919365e+00	-4.919365e+00
3.607142857121436e-07	-5.006621e+00	-5.006621e+00
4.049999999975948e-07	-5.085974e+00	-5.085974e+00
4.349999999974166e-07	-5.133763e+00	-5.133763e+00
4.449999999973572e-07	-5.148724e+00	-5.148724e+00
4.749999999971791e-07	-5.190646e+00	-5.190646e+00
5.149999999969415e-07	-5.240003e+00	-5.240003e+00
5.549999999967040e-07	-5.280535e+00	-5.280535e+00
5.949999999964664e-07	-5.312243e+00	-5.312243e+00
6.349999999962289e-07	-5.335125e+00	-5.335125e+00
6.749999999959913e-07	-5.349183e+00	-5.349183e+00
7.149999999957539e-07	-5.354416e+00	-5.354416e+00
7.549999999955162e-07	-5.350824e+00	-5.350824e+00
8.107142857094711e-07	-5.329852e+00	-5.329852e+00
8.664285714234259e-07	-5.289609e+00	-5.289609e+00
9.221428571373808e-07	-5.230096e+00	-5.230096e+00
9.778571428513356e-07	-5.151312e+00	-5.151312e+00
1.033571428565291e-06	-5.053259e+00	-5.053259e+00
1.089285714279245e-06	-4.935935e+00	-4.935935e+00
1.144999999993200e-06	-4.799341e+00	-4.799341e+00
1.172142857135896e-06	-4.725501e+00	-4.725501e+00
1.199285714278592e-06	-4.647092e+00	-4.647092e+00
1.226428571421288e-06	-4.564113e+00	-4.564113e+00
1.253571428563984e-06	-4.476566e+00	-4.476566e+00
1.280714285706680e-06	-4.384449e+00	-4.384449e+00
1.307857142849376e-06	-4.287764e+00	-4.287764e+00
1.334999999992072e-06	-4.186509e+00	-4.186509e+00
1.344999999992012e-06	-4.148100e+00	-4.148100e+00
1.354999999991953e-06	-4.109088e+00	-4.109088e+00
1.364999999991894e-06	-4.069473e+00	-4.069473e+00
1.374999999991834e-06	-4.029258e+00	-4.029258e+00
1.384999999991775e-06	-3.988446e+00	-3.988446e+00
1.404999999991656e-06	-3.905036e+00	-3.905036e+00
1.434999999991478e-06	-3.775496e+00	-3.775496e+00
1.464999999991300e-06	-3.640709e+00	-3.640709e+00
1.494999999991121e-06	-3.500749e+00	-3.500749e+00
1.514999999991003e-06	-3.404609e+00	-3.404609e+00
1.524999999990943e-06	-3.355698e+00	-3.355698e+00
1.534999999990884e-06	-3.306232e+00	-3.306232e+00
1.544999999990825e-06	-3.256212e+00	-3.256212e+00
1.564999999990706e-06	-3.154530e+00	-3.154530e+00
1.594999999990528e-06	-2.997952e+00	-2.997952e+00
1.616428571418972e-06	-2.883073e+00	-2.883073e+00
1.637857142847416e-06	-2.765903e+00	-2.765903e+00
1.659285714275860e-06	-2.646440e+00	-2.646440e+00
1.680714285704304e-06	-2.524684e+00	-2.524684e+00
1.702142857132748e-06	-2.400637e+00	-2.400637e+00
1.723571428561193e-06	-2.274298e+00	-2.274298e+00
1.744999999989637e-06	-2.145666e+00	-2.145666e+00
1.763571428560955e-06	-2.032468e+00	-2.032468e+00
1.782142857132273e-06	-1.917785e+00	-1.917785e+00
1.800714285703592e-06	-1.801617e+00	-1.801617e+00
1.819285714274910e-06	-1.683963e+00	-1.683963e+00
1.837857142846228e-06	-1.564823e+00	-1.564823e+00
1.856428571417546e-06	-1.444197e+00	-1.444197e+00
1.874999999988865e-06	-1.322086e+00	-1.322086e+00
1.900714285702998e-06	-1.150620e+00	-1.150620e+00
1.926428571417131e-06	-9.769113e-01	-9.769113e-01
1.952142857131264e-06	-8.009591e-01	-8.009591e-01
1.977857142845397e-06	-6.227637e-01	-6.227637e-01
2.003571428559530e-06	-4.423253e-01	-4.423253e-01
2.029285714273663e-06	-2.596436e-01	-2.596436e-01
2.054999999987796e-06	-7.471888e-02	-7.471888e-02
2.064999999987736e-06	-6.408870e-03	-6.408870e-03
2.070635581937407e-06	2.598135e-02	2.598135e-02
2.070646079147713e-06	2.602290e-02	2.602290e-02
2.105035814711701e-06	1.265926e-01	1.265926e-01
2.139425550275689e-06	2.300131e-01	2.300131e-01
2.173815285839677e-06	3.362844e-01	3.362844e-01
2.208205021403664e-06	4.454065e-01	4.454065e-01
2.242594756967652e-06	5.573795e-01	5.573795e-01
2.276984492531639e-06	6.722033e-01	6.722033e-01
2.311374228095627e-06	7.898779e-01	7.898779e-01
2.369945656666708e-06	9.973444e-01	9.973444e-01
2.428517085237789e-06	1.208304e+00	1.208304e+00
2.487088513808869e-06	1.422757e+00	1.422757e+00
2.545659942379950e-06	1.640704e+00	1.640704e+00
2.604231370951031e-06	1.862143e+00	1.862143e+00
2.662802799522112e-06	2.087076e+00	2.087076e+00
2.721374228093192e-06	2.315502e+00	2.315502e+00
2.752802799521577e-06	2.437191e+00	2.437191e+00
2.784231370949962e-06	2.558251e+00	2.558251e+00
2.815659942378346e-06	2.678680e+00	2.678680e+00
2.847088513806732e-06	2.798481e+00	2.798481e+00
2.878517085235116e-06	2.917651e+00	2.917651e+00
2.909945656663501e-06	3.036192e+00	3.036192e+00
2.941374228091886e-06	3.154103e+00	3.154103e+00
2.961374228091767e-06	3.228227e+00	3.228227e+00
2.971374228091708e-06	3.265087e+00	3.265087e+00
2.991374228091589e-06	3.338373e+00	3.338373e+00
3.021374228091411e-06	3.447515e+00	3.447515e+00
3.051374228091232e-06	3.554739e+00	3.554739e+00
3.081374228091054e-06	3.660046e+00	3.660046e+00
3.111374228090876e-06	3.763436e+00	3.763436e+00
3.141374228090698e-06	3.864909e+00	3.864909e+00
3.171374228090520e-06	3.964465e+00	3.964465e+00
3.201374228090342e-06	4.062104e+00	4.062104e+00
3.217088513804534e-06	4.112137e+00	4.112137e+00
3.232802799518726e-06	4.161425e+00	4.161425e+00
3.248517085232919e-06	4.209969e+00	4.209969e+00
3.264231370947111e-06	4.257770e+00	4.257770e+00
3.279945656661304e-06	4.304825e+00	4.304825e+00
3.295659942375496e-06	4.351137e+00	4.351137e+00
3.311374228089688e-06	4.396704e+00	4.396704e+00
3.332802799518132e-06	4.457575e+00	4.457575e+00
3.354231370946577e-06	4.516750e+00	4.516750e+00
3.375659942375021e-06	4.574229e+00	4.574229e+00
3.397088513803465e-06	4.630012e+00	4.630012e+00
3.418517085231909e-06	4.684098e+00	4.684098e+00
3.439945656660354e-06	4.736488e+00	4.736488e+00
3.461374228088798e-06	4.787182e+00	4.787182e+00
3.481374228088679e-06	4.832697e+00	4.832697e+00
3.519945656659878e-06	4.916353e+00	4.916353e+00
3.558517085231078e-06	4.992926e+00	4.992926e+00
3.597088513802277e-06	5.062416e+00	5.062416e+00
3.635659942373477e-06	5.124822e+00	5.124822e+00
3.674231370944676e-06	5.180144e+00	5.180144e+00
3.712802799515876e-06	5.228383e+00	5.228383e+00
3.751374228087075e-06	5.269539e+00	5.269539e+00
3.817088513800971e-06	5.322070e+00	5.322070e+00
3.882802799514866e-06	5.349028e+00	5.349028e+00
3.948517085228762e-06	5.350414e+00	5.350414e+00
4.014231370942658e-06	5.326226e+00	5.326226e+00
4.079945656656552e-06	5.276466e+00	5.276466e+00
4.145659942370448e-06	5.201132e+00	5.201132e+00
4.211374228084343e-06	5.100226e+00	5.100226e+00
4.278517085226802e-06	4.967003e+00	4.967003e+00
4.345659942369260e-06	4.806002e+00	4.806002e+00
4.412802799511719e-06	4.617221e+00	4.617221e+00
4.479945656654177e-06	4.400662e+00	4.400662e+00
4.547088513796636e-06	4.156324e+00	4.156324e+00
4.614231370939094e-06	3.884207e+00	3.884207e+00
4.681374228081552e-06	3.584311e+00	3.584311e+00
4.701374228081433e-06	3.490288e+00	3.490288e+00
4.721374228081315e-06	3.394006e+00	3.394006e+00
4.731374228081255e-06	3.345026e+00	3.345026e+00
4.741374228081196e-06	3.295490e+00	3.295490e+00
4.751374228081136e-06	3.245403e+00	3.245403e+00
4.771374228081018e-06	3.143588e+00	3.143588e+00
4.801374228080840e-06	2.986817e+00	2.986817e+00
4.822802799509284e-06	2.871807e+00	2.871807e+00
4.844231370937728e-06	2.754509e+00	2.754509e+00
4.865659942366172e-06	2.634924e+00	2.634924e+00
4.887088513794616e-06	2.513051e+00	2.513051e+00
4.908517085223061e-06	2.388891e+00	2.388891e+00
4.929945656651504e-06	2.262444e+00	2.262444e+00
4.951374228079949e-06	2.133709e+00	2.133709e+00
4.972802799508393e-06	2.002824e+00	2.002824e+00
4.994231370936837e-06	1.869993e+00	1.869993e+00
5.015659942365281e-06	1.735214e+00	1.735214e+00
5.037088513793726e-06	1.598487e+00	1.598487e+00
5.058517085222170e-06	1.459813e+00	1.459813e+00
5.079945656650613e-06	1.319192e+00	1.319192e+00
