time	I(Ls1)	I(Ls2)
0.000000000000000e+00	-3.770859e+00	-3.114371e+00
2.499999999985154e-08	-3.834216e+00	-3.163498e+00
4.999999999970308e-08	-3.895581e+00	-3.210947e+00
7.499999999955462e-08	-3.954954e+00	-3.256719e+00
9.999999999940616e-08	-4.012336e+00	-3.300814e+00
1.249999999992577e-07	-4.067725e+00	-3.343232e+00
1.499999999991092e-07	-4.121123e+00	-3.383973e+00
1.749999999989607e-07	-4.172528e+00	-3.423037e+00
1.892857142845902e-07	-4.200811e+00	-3.444430e+00
2.035714285702196e-07	-4.228310e+00	-3.465154e+00
2.178571428558491e-07	-4.255024e+00	-3.485211e+00
2.321428571414785e-07	-4.280954e+00	-3.504600e+00
2.464285714271080e-07	-4.306099e+00	-3.523321e+00
2.607142857127374e-07	-4.330460e+00	-3.541374e+00
2.749999999983668e-07	-4.354037e+00	-3.558760e+00
2.949999999982481e-07	-4.385604e+00	-3.581866e+00
3.092857142838775e-07	-4.407167e+00	-3.597530e+00
3.235714285695070e-07	-4.427842e+00	-3.612433e+00
3.378571428551364e-07	-4.447628e+00	-3.626574e+00
3.521428571407659e-07	-4.466527e+00	-3.639954e+00
3.664285714263953e-07	-4.484537e+00	-3.652573e+00
3.807142857120247e-07	-4.501659e+00	-3.664430e+00
3.949999999976542e-07	-4.517893e+00	-3.675525e+00
4.149999999975354e-07	-4.539019e+00	-3.689681e+00
4.307142857117278e-07	-4.554355e+00	-3.699719e+00
4.464285714259202e-07	-4.568503e+00	-3.708732e+00
4.621428571401126e-07	-4.581461e+00	-3.716722e+00
4.778571428543050e-07	-4.593230e+00	-3.723686e+00
4.935714285684973e-07	-4.603811e+00	-3.729626e+00
5.092857142826898e-07	-4.613202e+00	-3.734542e+00
5.249999999968821e-07	-4.621405e+00	-3.738433e+00
5.707142857108964e-07	-4.638652e+00	-3.744059e+00
6.164285714249106e-07	-4.644616e+00	-3.739913e+00
6.621428571389249e-07	-4.639298e+00	-3.725997e+00
7.078571428529391e-07	-4.622696e+00	-3.702309e+00
7.535714285669533e-07	-4.594811e+00	-3.668850e+00
7.992857142809676e-07	-4.555644e+00	-3.625620e+00
8.449999999949817e-07	-4.505193e+00	-3.572619e+00
8.721428571376777e-07	-4.469380e+00	-3.536059e+00
8.992857142803736e-07	-4.429349e+00	-3.495840e+00
9.264285714230696e-07	-4.385101e+00	-3.451963e+00
