time	I(Ls1)	I(Ls2)
0.000000000000000e+00	-4.551743e+00	-3.564650e+00
1.928571428559976e-08	-4.625836e+00	-3.619459e+00
3.857142857119952e-08	-4.698675e+00	-3.673294e+00
5.785714285679928e-08	-4.770262e+00	-3.726154e+00
7.714285714239904e-08	-4.840596e+00	-3.778039e+00
9.642857142799880e-08	-4.909676e+00	-3.828950e+00
1.157142857135986e-07	-4.977503e+00	-3.878887e+00
1.349999999991983e-07	-5.044078e+00	-3.927849e+00
1.692857142847089e-07	-5.159266e+00	-4.012430e+00
2.035714285702196e-07	-5.269214e+00	-4.092832e+00
2.378571428557303e-07	-5.373921e+00	-4.169055e+00
2.721428571412410e-07	-5.473388e+00	-4.241099e+00
3.064285714267516e-07	-5.567614e+00	-4.308963e+00
3.407142857122623e-07	-5.656599e+00	-4.372647e+00
3.749999999977729e-07	-5.740343e+00	-4.432152e+00
3.849999999977136e-07	-5.763494e+00	-4.448472e+00
3.949999999976542e-07	-5.786131e+00	-4.464379e+00
4.249999999974760e-07	-5.850915e+00	-4.509572e+00
4.407142857116684e-07	-5.882988e+00	-4.531743e+00
4.564285714258608e-07	-5.913685e+00	-4.552796e+00
4.721428571400532e-07	-5.943005e+00	-4.572734e+00
4.878571428542456e-07	-5.970949e+00	-4.591554e+00
5.035714285684379e-07	-5.997516e+00	-4.609258e+00
5.192857142826304e-07	-6.022707e+00	-4.625846e+00
5.349999999968227e-07	-6.046522e+00	-4.641316e+00
5.549999999967040e-07	-6.074701e+00	-4.659269e+00
5.921428571393406e-07	-6.121180e+00	-4.687868e+00
6.292857142819771e-07	-6.158902e+00	-4.709298e+00
6.664285714246137e-07	-6.187868e+00	-4.723558e+00
7.035714285672503e-07	-6.208078e+00	-4.730648e+00
7.407142857098869e-07	-6.219531e+00	-4.730569e+00
7.778571428525234e-07	-6.222227e+00	-4.723320e+00
8.149999999951599e-07	-6.216167e+00	-4.708902e+00
8.692857142805518e-07	-6.190459e+00	-4.673975e+00
9.235714285659437e-07	-6.144156e+00	-4.622063e+00
9.778571428513356e-07	-6.077256e+00	-4.553166e+00
1.032142857136728e-06	-5.989761e+00	-4.467283e+00
1.086428571422119e-06	-5.881670e+00	-4.364414e+00
1.140714285707511e-06	-5.752984e+00	-4.244560e+00
1.194999999992903e-06	-5.603701e+00	-4.107721e+00
1.220714285707036e-06	-5.525568e+00	-4.036762e+00
1.246428571421169e-06	-5.442851e+00	-3.962020e+00
1.272142857135302e-06	-5.355552e+00	-3.883495e+00
1.297857142849435e-06	-5.263669e+00	-3.801187e+00
1.323571428563568e-06	-5.167203e+00	-3.715096e+00
1.349285714277701e-06	-5.066153e+00	-3.625221e+00
1.374999999991834e-06	-4.960521e+00	-3.531564e+00
1.384999999991775e-06	-4.918255e+00	-3.494164e+00
1.394999999991715e-06	-4.875314e+00	-3.456207e+00
1.404999999991656e-06	-4.831700e+00	-3.417696e+00
1.414999999991597e-06	-4.787416e+00	-3.378632e+00
1.424999999991537e-06	-4.742463e+00	-3.339017e+00
1.444999999991418e-06	-4.650564e+00	-3.258144e+00
1.474999999991240e-06	-4.507771e+00	-3.132765e+00
1.504999999991062e-06	-4.359117e+00	-3.002560e+00
1.524999999990943e-06	-4.256799e+00	-2.913112e+00
1.544999999990825e-06	-4.151939e+00	-2.821576e+00
1.554999999990765e-06	-4.098565e+00	-2.775033e+00
1.564999999990706e-06	-4.044567e+00	-2.727976e+00
1.574999999990646e-06	-3.989947e+00	-2.680409e+00
1.594999999990528e-06	-3.878860e+00	-2.583761e+00
1.624999999990349e-06	-3.707670e+00	-2.435050e+00
1.646428571418794e-06	-3.581979e+00	-2.326027e+00
1.667857142847238e-06	-3.453704e+00	-2.214897e+00
1.689285714275682e-06	-3.322846e+00	-2.101659e+00
1.710714285704126e-06	-3.189404e+00	-1.986314e+00
1.732142857132570e-06	-3.053378e+00	-1.868862e+00
1.753571428561014e-06	-2.914769e+00	-1.749303e+00
1.774999999989459e-06	-2.773577e+00	-1.627636e+00
1.804999999989280e-06	-2.571632e+00	-1.453818e+00
1.834999999989102e-06	-2.365515e+00	-1.276648e+00
1.864999999988924e-06	-2.155226e+00	-1.096129e+00
1.894999999988746e-06	-1.940765e+00	-9.122583e-01
1.924999999988568e-06	-1.722132e+00	-7.250374e-01
1.954999999988390e-06	-1.499327e+00	-5.344659e-01
1.984999999988211e-06	-1.272350e+00	-3.405438e-01
