time	I(Ls1)	I(Ls2)
0.000000000000000e+00	-6.976755e+00	-2.788578e+00
1.499999999991092e-08	-6.990387e+00	-2.793222e+00
2.999999999982185e-08	-7.002498e+00	-2.797060e+00
4.499999999973277e-08	-7.013089e+00	-2.800092e+00
5.999999999964370e-08	-7.022160e+00	-2.802319e+00
7.499999999955462e-08	-7.029710e+00	-2.803741e+00
8.999999999946555e-08	-7.035740e+00	-2.804357e+00
1.049999999993764e-07	-7.040249e+00	-2.804167e+00
1.349999999991983e-07	-7.044582e+00	-2.801310e+00
1.649999999990201e-07	-7.042373e+00	-2.794851e+00
1.949999999988420e-07	-7.033621e+00	-2.784789e+00
2.249999999986638e-07	-7.018327e+00	-2.771126e+00
2.549999999984857e-07	-6.996490e+00	-2.753859e+00
2.849999999983075e-07	-6.968110e+00	-2.732991e+00
3.149999999981293e-07	-6.933188e+00	-2.708520e+00
3.478571428550770e-07	-6.887116e+00	-2.677315e+00
3.807142857120247e-07	-6.832889e+00	-2.641451e+00
4.135714285689725e-07	-6.770506e+00	-2.600930e+00
4.464285714259202e-07	-6.699967e+00	-2.555751e+00
4.792857142828680e-07	-6.621273e+00	-2.505914e+00
5.121428571398158e-07	-6.534423e+00	-2.451419e+00
5.449999999967634e-07	-6.439418e+00	-2.392266e+00
5.649999999966446e-07	-6.377587e+00	-2.353917e+00
5.749999999965852e-07	-6.345541e+00	-2.334087e+00
5.849999999965258e-07	-6.312743e+00	-2.313821e+00
5.949999999964664e-07	-6.279195e+00	-2.293118e+00
6.149999999963476e-07	-6.209848e+00	-2.250407e+00
6.449999999961695e-07	-6.100224e+00	-2.183077e+00
6.864285714244949e-07	-5.937358e+00	-2.083417e+00
7.278571428528203e-07	-5.762341e+00	-1.976634e+00
7.692857142811457e-07	-5.575174e+00	-1.862727e+00
8.107142857094712e-07	-5.375855e+00	-1.741698e+00
8.521428571377966e-07	-5.164386e+00	-1.613545e+00
8.935714285661219e-07	-4.940765e+00	-1.478270e+00
9.349999999944472e-07	-4.704994e+00	-1.335872e+00
9.449999999943878e-07	-4.646518e+00	-1.300581e+00
9.549999999943284e-07	-4.587389e+00	-1.264907e+00
9.749999999942097e-07	-4.467193e+00	-1.192425e+00
1.004999999994032e-06	-4.282116e+00	-1.080906e+00
1.039285714279542e-06	-4.063137e+00	-9.490555e-01
1.073571428565053e-06	-3.837598e+00	-8.134320e-01
1.107857142850564e-06	-3.605498e+00	-6.740355e-01
1.142142857136074e-06	-3.366838e+00	-5.308659e-01
1.176428571421585e-06	-3.121618e+00	-3.839232e-01
1.210714285707096e-06	-2.869838e+00	-2.332075e-01
1.244999999992606e-06	-2.611497e+00	-7.871877e-02
1.254999999992547e-06	-2.535290e+00	-3.320357e-02
1.261576559590015e-06	-2.485475e+00	-5.750805e-03
1.265997727369766e-06	-2.452792e+00	8.388906e-03
1.266005693673381e-06	-2.452735e+00	8.401875e-03
1.266021626280612e-06	-2.452626e+00	8.412171e-03
1.302633501224128e-06	-2.197060e+00	3.398595e-02
1.339245376167645e-06	-1.936204e+00	6.298771e-02
1.375857251111162e-06	-1.670059e+00	9.541744e-02
1.412469126054679e-06	-1.398625e+00	1.312751e-01
1.449081000998196e-06	-1.121901e+00	1.705608e-01
1.485692875941713e-06	-8.398879e-01	2.132745e-01
1.522304750885229e-06	-5.525853e-01	2.594161e-01
1.530876179456607e-06	-4.848639e-01	2.706577e-01
1.539447608027985e-06	-4.169316e-01	2.820680e-01
1.548019036599362e-06	-3.487885e-01	2.936469e-01
1.556590465170740e-06	-2.804346e-01	3.053944e-01
1.565161893742118e-06	-2.118698e-01	3.173106e-01
1.573733322313495e-06	-1.430943e-01	3.293954e-01
1.582304750884873e-06	-7.410789e-02	3.416488e-01
1.588906938169814e-06	-2.348712e-02	3.506391e-01
1.593334397237151e-06	6.131259e-03	3.558098e-01
1.593342378663652e-06	6.172092e-03	3.558166e-01
1.593358341516436e-06	6.238051e-03	3.558269e-01
1.594521349368878e-06	1.104556e-02	3.565772e-01
1.595684357221321e-06	1.585740e-02	3.573313e-01
1.596847365073763e-06	2.067356e-02	3.580892e-01
1.598010372926205e-06	2.549406e-02	3.588508e-01
1.599173380778647e-06	3.031888e-02	3.596163e-01
1.600336388631089e-06	3.514803e-02	3.603855e-01
1.601499396483531e-06	3.998152e-02	3.611585e-01
1.619672377156135e-06	1.159253e-01	3.735917e-01
1.649672377155957e-06	2.431018e-01	3.956738e-01
1.679672377155779e-06	3.725566e-01	4.197578e-01
1.709672377155601e-06	5.041999e-01	4.458208e-01
1.739672377155423e-06	6.379342e-01	4.738349e-01
1.769672377155244e-06	7.736567e-01	5.037680e-01
1.789672377155126e-06	8.651899e-01	5.247717e-01
1.809672377155007e-06	9.575258e-01	5.466003e-01
1.829672377154888e-06	1.050631e+00	5.692413e-01
1.849672377154769e-06	1.144470e+00	5.926812e-01
1.859672377154710e-06	1.191654e+00	6.046963e-01
1.869672377154651e-06	1.239008e+00	6.169058e-01
1.879672377154591e-06	1.286527e+00	6.293077e-01
1.889672377154532e-06	1.334208e+00	6.419001e-01
1.899672377154472e-06	1.382045e+00	6.546810e-01
1.909672377154413e-06	1.430033e+00	6.676483e-01
1.919672377154354e-06	1.478168e+00	6.808000e-01
1.929672377154294e-06	1.526445e+00	6.941339e-01
1.939672377154235e-06	1.574859e+00	7.076479e-01
1.949672377154175e-06	1.623406e+00	7.213396e-01
1.959672377154116e-06	1.672080e+00	7.352068e-01
1.969672377154057e-06	1.720876e+00	7.492473e-01
1.979672377153997e-06	1.769789e+00	7.634585e-01
1.989672377153938e-06	1.818814e+00	7.778382e-01
1.999672377153879e-06	1.867947e+00	7.923838e-01
2.009672377153819e-06	1.917181e+00	8.070928e-01
2.019672377153760e-06	1.966512e+00	8.219628e-01
2.029672377153700e-06	2.015934e+00	8.369910e-01
2.049672377153582e-06	2.115031e+00	8.675115e-01
2.069672377153463e-06	2.214430e+00	8.986330e-01
2.089672377153344e-06	2.314086e+00	9.303330e-01
2.119672377153166e-06	2.463958e+00	9.789174e-01
2.149672377152988e-06	2.614159e+00	1.028671e+00
2.188243805724187e-06	2.808384e+00	1.094735e+00
2.226815234295387e-06	3.001697e+00	1.161904e+00
2.265386662866586e-06	3.194100e+00	1.230180e+00
2.303958091437786e-06	3.385591e+00	1.299561e+00
2.342529520008985e-06	3.576171e+00	1.370049e+00
2.381100948580185e-06	3.765841e+00	1.441642e+00
2.419672377151384e-06	3.954599e+00	1.514341e+00
2.439672377151265e-06	4.051187e+00	1.551915e+00
2.449672377151206e-06	4.099247e+00	1.570728e+00
2.459672377151147e-06	4.147142e+00	1.589551e+00
2.469672377151087e-06	4.194867e+00	1.608382e+00
2.479672377151028e-06	4.242414e+00	1.627216e+00
2.499672377150909e-06	4.336951e+00	1.664877e+00
2.529672377150731e-06	4.477265e+00	1.721290e+00
2.559672377150553e-06	4.615636e+00	1.777507e+00
2.601100948578878e-06	4.804334e+00	1.855381e+00
2.642529520007204e-06	4.987401e+00	1.931589e+00
