time	I(Ls1)	I(Ls2)
0.000000000000000e+00	-5.829896e+00	-3.815607e+00
2.071428571416270e-08	-5.847711e+00	-3.825959e+00
4.142857142832541e-08	-5.863010e+00	-3.834456e+00
6.214285714248811e-08	-5.875793e+00	-3.841097e+00
8.285714285665082e-08	-5.886061e+00	-3.845882e+00
1.035714285708135e-07	-5.893813e+00	-3.848811e+00
1.242857142849762e-07	-5.899050e+00	-3.849885e+00
1.449999999991389e-07	-5.901771e+00	-3.849103e+00
1.692857142847089e-07	-5.901585e+00	-3.845676e+00
1.935714285702790e-07	-5.897661e+00	-3.839442e+00
2.178571428558491e-07	-5.889997e+00	-3.830401e+00
2.421428571414191e-07	-5.878594e+00	-3.818552e+00
2.664285714269892e-07	-5.863452e+00	-3.803896e+00
2.907142857125592e-07	-5.844572e+00	-3.786433e+00
3.149999999981293e-07	-5.821952e+00	-3.766162e+00
3.492857142836399e-07	-5.783446e+00	-3.732582e+00
3.835714285691506e-07	-5.737132e+00	-3.693046e+00
4.178571428546613e-07	-5.683010e+00	-3.647556e+00
4.521428571401720e-07	-5.621079e+00	-3.596110e+00
4.864285714256827e-07	-5.551340e+00	-3.538709e+00
5.207142857111934e-07	-5.473793e+00	-3.475352e+00
5.549999999967040e-07	-5.388437e+00	-3.406040e+00
5.749999999965852e-07	-5.334987e+00	-3.362783e+00
5.849999999965258e-07	-5.307261e+00	-3.340386e+00
5.949999999964664e-07	-5.278869e+00	-3.317476e+00
6.049999999964070e-07	-5.249810e+00	-3.294055e+00
6.249999999962882e-07	-5.189698e+00	-3.245677e+00
6.549999999961101e-07	-5.094556e+00	-3.169283e+00
6.964285714244355e-07	-4.953003e+00	-3.055961e+00
7.378571428527609e-07	-4.800587e+00	-2.934255e+00
7.792857142810864e-07	-4.637311e+00	-2.804164e+00
8.207142857094118e-07	-4.463172e+00	-2.665687e+00
8.621428571377372e-07	-4.278172e+00	-2.518826e+00
9.035714285660625e-07	-4.082311e+00	-2.363580e+00
9.449999999943878e-07	-3.875588e+00	-2.199949e+00
9.549999999943284e-07	-3.824273e+00	-2.159359e+00
9.649999999942691e-07	-3.772371e+00	-2.118315e+00
9.749999999942097e-07	-3.719886e+00	-2.076822e+00
9.949999999940909e-07	-3.613183e+00	-1.992500e+00
1.024999999993913e-06	-3.448859e+00	-1.862727e+00
1.070714285707927e-06	-3.187536e+00	-1.656499e+00
1.116428571421941e-06	-2.916257e+00	-1.442693e+00
1.162142857135955e-06	-2.635024e+00	-1.221308e+00
1.207857142849970e-06	-2.343836e+00	-9.923432e-01
1.253571428563984e-06	-2.042693e+00	-7.557998e-01
1.299285714277998e-06	-1.731595e+00	-5.116773e-01
1.344999999992012e-06	-1.410542e+00	-2.599758e-01
1.374999999991834e-06	-1.196421e+00	-9.232618e-02
1.384999999991775e-06	-1.124434e+00	-3.631484e-02
1.391576846296533e-06	-1.077600e+00	-2.579313e-03
1.396003007299133e-06	-1.046986e+00	1.556648e-02
1.396011127984898e-06	-1.046932e+00	1.558785e-02
1.416956117015909e-06	-9.114316e-01	5.284164e-02
1.437901106046920e-06	-7.746027e-01	9.117500e-02
1.458846095077931e-06	-6.364451e-01	1.305879e-01
1.479791084108942e-06	-4.969588e-01	1.710804e-01
1.500736073139953e-06	-3.561438e-01	2.126525e-01
1.521681062170964e-06	-2.140001e-01	2.553042e-01
1.542626051201975e-06	-7.052767e-02	2.990354e-01
1.552626051201916e-06	-5.250982e-03	3.194801e-01
