"RSpeed [rpm]","Giris Torku [kNewtonMeter]"
1200,0.023873241
1201.2,6.931969974
1202.4,13.795045167
1203.6,20.531295153
1204.8,27.065572494
1206,33.331702591
1207.2,39.272657343
1208.4,44.843201909
1209.6,50.023175692
1210.8,54.801993033
1212,59.158927847
1214.4,66.612424072
1216.8,72.913706369
1219.2,78.169005423
1221.6,82.242997374
1224,85.167153166
1226.4,87.18818789
1228.8,88.459996156
1231.2,89.115648497
1233.6,89.269321317
1236,89.021590156
1242,87.159098254
1248,84.240329209
1254,80.696142414
1260,77.023845444
1266,73.463737915
1272,70.109581814
1278,67.001599178
1284,64.149999461
1290,61.548777436
1296,59.181878555
1308,55.089562924
1320,51.71975416
1332,48.939771623
1344,46.638460512
1356,44.724505347
1368,43.128714734
1380,41.793640714
1392,40.664658457
1404,39.726303307
1416,38.929461965
1428,38.255917271
1440,37.685692155
1452,37.202231038
1464,36.791739789
1476,36.442659358
1488,36.145253891
1500,35.891285951
1512,35.673758428
1524,35.48670783
1536,35.325037459
1548,35.18438175
1560,35.060995161
1572,34.951660519
1584,34.853612911
1596,34.764476073
1608,34.677100253
1620,34.60503869
1632,34.531530135
1644,34.460337814
1656,34.390392117
1668,34.320768278
1680,34.245678977
1692,34.179469633
1704,34.106645229
1716,34.031697437
1728,33.954287585
1740,33.869311741
1752,33.790970164
1764,33.704719372
1776,33.615183858
1788,33.522310287
1800,33.415611188
